"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",25319,1.77662398597871e-72,5.79097907620776e-80,0.0400812614207116,1.10402328569697e-12,0.0442918994365518,1.7787307485562e-12,0.0251629427088387,6.21882465550949e-05
"tau1","spring-cloud-azure",113,1.93777095736485e-18,1.89852577887949e-09,0.114549601260238,0.140247654883969,0.134121969085367,0.156690158409788,0.102087099373505,0.281950207500792
"tau2","hibernate-ogm",719,1.68730135413335e-35,1.61147109009083e-34,-0.0598918501931004,0.065908639001304,-0.0682880264458215,0.0672442844959005,-0.0692864035185468,0.0633314801627528
"1","javaparser",252,0,0,0,0,0,0,0,0
"tau3","compile-testing",128,2.55642046849779e-21,6.87341771909543e-15,-0.220449693613685,0.00466610760365298,-0.253256898818002,0.00392229974989931,-0.13148887435617,0.139016092661298
"tau4","hibernate-search",2474,1.16693254466289e-56,6.90058951029647e-57,-0.135490241745837,7.04332578701553e-16,-0.158244517946572,2.43450183596341e-15,-0.152619501933978,2.30952446495625e-14
"tau5","jbehave-core",559,6.47462447928008e-31,3.9007294619311e-30,0.29345017785051,2.18416204680369e-16,0.342101400788562,8.5994639036909e-17,0.333730388503311,5.2168319184083e-16
"tau6","ambrose",8,0.000479056596187661,0.000295733816759316,-0.715626447332134,0.0416129612372336,-0.77005354108682,0.0253952098828416,-0.600635719667097,0.115352349230666
"tau7","Git-Credential-Manager-for-Mac-and-Linux",17,2.16690964289437e-08,0.000505465128996217,-0.0804084401128346,0.730753334722013,-0.0860309002014607,0.742680840140592,-0.117427273198613,0.653543653228271
"tau8","error-prone",1974,3.64042984867562e-62,1.63464656785458e-57,0.0911937422370099,1.41578508519289e-05,0.0975707003508193,1.40769278821552e-05,0.0935650484743377,3.1330729720611e-05
"tau9","nanohttpd",124,2.91739930273824e-21,8.16012266289919e-10,-0.0767839086888677,0.341232712088725,-0.0858148207386093,0.343300016732604,-0.0703349952421552,0.437603054564893
"tau10","spring-data-cosmosdb",107,1.15295672067805e-15,1.29697778362119e-10,-0.437630447024959,4.85153845732518e-07,-0.490536752123792,8.1576018344048e-08,-0.391869976086215,2.99115869107502e-05
"tau11","lavagna",277,5.58469222953294e-29,7.6345253939372e-17,0.0130026221915677,0.806333878202502,0.0146318610180671,0.808443533430857,0.00933368525463948,0.877101678817829
"11","Nodes",10,0,0,0,0,0,0,0,0
"tau12","jimfs",185,1.47626279053825e-18,1.49855778357818e-10,-0.0872809134610358,0.178062345072393,-0.0977501756917983,0.185600380765814,-0.0784006332287917,0.2887944643525
"12","gson",10,0,0,0,0,0,0,0,0
"tau13","closure-templates",1176,5.82288953354947e-37,2.41465453695159e-44,0.0467719285467879,0.0588080201685395,0.0551537819313844,0.0586498913966442,0.0389723751203081,0.181693071221274
"tau14","initializr",738,4.86702135102422e-31,7.80710207657422e-25,-0.109520552319537,0.000653131570983747,-0.122437443449118,0.000858950568521001,-0.0881261604550259,0.0166361783116091
"tau15","hbc",49,1.10879780325285e-12,2.46977032885898e-06,-0.33123146848433,0.01175019076933,-0.363667033426292,0.0102120989810792,-0.354848123534113,0.0123557416979053
"13","optaplanner-core",359,0,0,0,0,0,0,0,0
"tau16","greenmail",85,6.90187723859808e-16,7.07803768781579e-07,-0.0380492180770326,0.681055308471395,-0.0457578537338732,0.67752841575929,0.101091868861637,0.357268521910045
"tau17","closure-compiler",14204,5.22476672377228e-71,6.81331094380156e-84,0.0610766779519682,1.099578812459e-14,0.0648325839389298,1.0402316913262e-14,0.0912412184908375,1.2049865873242e-27
"tau18","governator",120,1.60150899671573e-18,3.30354175779961e-16,0.054722605761654,0.50423628437472,0.0625349741745634,0.497435307277101,0.0480457433213374,0.60229226916303
"tau19","truth",875,7.55942192390013e-32,5.50486069471835e-29,0.418813772784822,2.57632950462173e-48,0.478064427390659,3.63992167649906e-51,0.494823210750331,3.13936598739292e-55
"14","jbot",2,0,0,0,0,0,0,0,0
"tau20","docx4j",78,1.256151080797e-09,2.08707371473663e-14,-0.182868332452467,0.0860128745885699,-0.192847174339037,0.0907220870510621,-0.236468699800134,0.0371258565293606
"tau21","shopizer",29,1.34806475779817e-08,1.68941614472332e-06,-0.00912870929175277,0.957336584716869,-0.00488162200678589,0.979949618355941,0.547377607296883,0.00211778675113606
