"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",25319,4.49960668983385e-92,3.44074282224817e-79,0.0138652351389062,0.0162787223894581,0.0148522149461047,0.0181134910037489,0.0582042735653088,1.88194073501488e-20
"tau1","spring-cloud-azure",113,1.39028902946061e-14,1.89852577887949e-09,-0.0460716420259743,0.539396571625827,-0.0644258235664158,0.497805917369456,-0.0418480243921211,0.659866607572691
"tau2","hibernate-ogm",719,3.25696771709537e-46,1.61147109009083e-34,0.154288445663538,3.10031899834398e-06,0.169790825617567,4.69081575025833e-06,0.14859169079232,6.34348260886348e-05
"1","javaparser",252,0,0,0,0,0,0,0,0
"tau3","compile-testing",128,8.92563394917085e-24,6.87341771909543e-15,-0.0477814772033244,0.551223044640632,-0.0528800964994233,0.553304235071319,-0.0641339504300572,0.47200796181839
"tau4","hibernate-search",2474,8.27996194958617e-71,6.90058951029647e-57,-0.0654980290001591,0.000158820838340199,-0.0763593789927697,0.000143709269313081,-0.0561172234117134,0.00523797682270379
"tau5","jbehave-core",559,2.34047147397624e-41,3.9007294619311e-30,0.180440366058564,5.58333263817063e-07,0.212119749846536,4.1559771789662e-07,0.165473235514338,8.47041143606638e-05
"11","ambrose",8,0,0,0,0,0,0,0,0
"tau6","Git-Credential-Manager-for-Mac-and-Linux",17,1.12226448851365e-07,0.000505465128996217,0.154045676500987,0.50370788708858,0.162295954293956,0.533717355951194,0.145577835917422,0.577187604265853
"tau7","error-prone",1974,2.37035625073826e-70,1.63464656785458e-57,0.0576495975937238,0.00612082472137516,0.0615341644449688,0.00624171008315747,0.0445537646324316,0.0477889631766446
"tau8","nanohttpd",124,7.62514906860861e-19,8.16012266289919e-10,-0.197448009396776,0.00727283645328376,-0.246991034076694,0.00568350791378735,-0.137328837712895,0.128270548379148
"tau9","spring-data-cosmosdb",107,4.79168107217666e-22,1.29697778362119e-10,-0.0340154565168731,0.703985895417878,-0.0369035661116269,0.705892421247037,-0.012703072733414,0.896674458585989
"tau10","lavagna",277,1.91367393178358e-29,7.6345253939372e-17,0.0675878536336881,0.191791285131154,0.0682533869756869,0.257572798654481,-0.025053410901452,0.678031020462023
"12","Nodes",10,0,0,0,0,0,0,0,0
"tau11","jimfs",185,2.07333716899879e-18,1.49855778357818e-10,-0.106823910213517,0.0797754091680532,-0.135044000980749,0.0668394522003866,-0.0430311564518486,0.56084321644859
"13","gson",10,0,0,0,0,0,0,0,0
"tau12","closure-templates",1176,1.45148329516743e-58,2.41465453695159e-44,0.0301752932631433,0.241801224647313,0.0338402381049626,0.246221301679949,-0.0107242580081366,0.713331929101194
"tau13","initializr",738,4.65055078124142e-46,7.80710207657422e-25,-0.148342702147882,6.64514565841162e-06,-0.164460012528423,7.09610689884037e-06,-0.0357790444969267,0.33172644216997
"tau14","hbc",49,3.06627962374827e-07,2.46977032885898e-06,-0.475176263299218,7.4076568578007e-05,-0.573656266244848,1.64104542838742e-05,-0.489979046892837,0.000352213355984823
"14","optaplanner-core",359,0,0,0,0,0,0,0,0
"tau15","greenmail",85,3.35530252658158e-12,7.07803768781579e-07,-0.0722297400198263,0.385637543779607,-0.0772916573073038,0.481996075465806,0.158728649607902,0.146792590550287
"tau16","closure-compiler",14204,3.39502929435543e-94,2.96548327216757e-84,0.0759415633218209,1.65640268039328e-20,0.0779067671820888,1.42726367760903e-20,0.0817864531872505,1.62516937293212e-22
"tau17","governator",120,7.13173589860726e-19,3.30354175779961e-16,0.0787518898689255,0.325956538538157,0.0897133043809837,0.32983804040459,0.143061553044,0.119046826551703
"tau18","truth",875,1.47436587984282e-54,5.50486069471835e-29,0.028507821256986,0.341090525729832,0.0322142573100089,0.341200746616022,0.107263845168555,0.00148528565255664
"tau19","jbot",2,0,0,-1,NA,0,0,0,0
"tau20","docx4j",78,1.7069955429946e-06,2.08707371473663e-14,0.116302930866824,0.244321912394987,0.128051427651829,0.26387989966355,0.0539749861411057,0.638826435601165
"tau21","shopizer",29,1.12598411137632e-07,1.68941614472332e-06,0.440351682771593,0.00567328592546959,0.500420936679087,0.00569844532720329,0.743295028229956,3.8505001362631e-06
"tau22","spring-data-gremlin",102,7.25985213081747e-21,1.31129787639212e-10,-0.178936752923515,0.0413595888936789,-0.204019658328746,0.0397064863190771,-0.148576900931885,0.136133629780466
"15","open-location-code",2,0,0,0,0,0,0,0,0
"tau23","ion-java",225,3.14463278081341e-23,1.69171549288363e-19,0.0911442243956599,0.130208341239096,0.101484150310003,0.129088903314238,0.0513674511071001,0.443244138894398
"16","protostuff-core",21,0,0,0,0,0,0,0,0
"tau24","GraphJet",84,5.20401655720637e-18,1.96662757148714e-12,-0.187195097543745,0.0709897432896529,-0.198184098128405,0.0707402823280815,-0.143818361429123,0.191837250347155
"tau25","objenesis",19,1.35486813502556e-05,0.00034941073502196,0.0228605021981703,0.916438151157093,0.0286460518861987,0.90732644101955,-0.0306754239096796,0.90079099474873
"tau26","google-java-format",100,3.23561135563687e-14,3.76420253544368e-11,0.110428640919118,0.204225790537153,0.130737573139332,0.194799386111652,-0.0132080764815044,0.896229510964687
"tau27","hraven",66,2.21168805525072e-12,8.31743878797575e-06,0.278274749207634,0.00377748154818077,0.357933963679469,0.0031701045127283,0.133624277921163,0.284784592691219
"17","guice",6,0,0,0,0,0,0,0,0
"tau28","javaanpr",22,2.87422751646114e-05,8.10987881211156e-06,0.228095380425818,0.24519173380617,0.248171619959022,0.265444119855158,0.540424285856662,0.00941509056287397
