"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",23573,2.06592583413985e-78,6.57895362952301e-77,-0.155120123575342,2.87206776594656e-219,-0.20443142561457,7.90771797497732e-221,-0.198641768832985,2.29529043315524e-208
"1","ion-java",5,0,0,0,0,0,0,0,0
"tau1","spring-cloud-azure",86,4.323989419208e-09,1.22976800788428e-09,-0.303774647245404,8.26014462190291e-05,-0.413248635474304,7.66893303269106e-05,-0.502045589101027,8.44350988380742e-07
"tau2","jimfs",269,4.28181359459518e-17,3.82914989587835e-13,-0.177582369553047,8.14372783348525e-05,-0.239629992871586,7.18981143573839e-05,-0.222988887042685,0.000227103878308391
"tau3","truth",782,4.48984602095482e-32,6.09726979009997e-27,0.00590604951411121,0.818870351099234,0.0154425970430976,0.666340575310784,0.0661919129344095,0.0643025411097156
"tau4","closure-compiler",14194,1.44655004596286e-85,7.81018287897507e-76,-0.105656918011826,1.00416116594832e-57,-0.135095680697967,8.5005983082742e-59,-0.231217919666983,1.37363358832365e-171
"tau5","error-prone",1872,3.93495594008927e-51,2.86167923634219e-52,-0.112543646617947,1.25613395374835e-10,-0.151794924417154,4.06869927790417e-11,-0.143469291453101,4.5014166510616e-10
"tau6","google-java-format",102,5.35197226422821e-07,4.27446424835296e-12,0.192131158120367,0.0117101135596442,0.291081070501248,0.00299651297383273,0.148282608621272,0.136919868177839
"tau7","gson",173,9.55786278714798e-09,4.34740396827339e-26,-0.0715991015386161,0.252264575006368,-0.0872952316164225,0.253434379620363,-0.162524732824898,0.0326462608468189
"11","guice",6,0,0,0,0,0,0,0,0
"tau8","open-location-code",5,0.141778749317312,0.14584370144188,0,1,0.108147614087175,0.86257107076143,0.675532100933396,0.210733705305056
"tau9","closure-templates",1045,1.41220200639971e-39,5.7545911398661e-42,-0.0445116212001737,0.0489197273601806,-0.0587493656189123,0.0576268262774787,-0.0328934428444561,0.288079817086454
"tau10","compile-testing",128,7.36459530650925e-12,4.26491059563467e-19,0.194914296187806,0.00521034808226106,0.245473413869328,0.00522482812233274,-0.0176712035348515,0.843059881824963
"tau11","greenmail",99,2.25614782846111e-12,8.73932906762931e-09,0.0779113804935823,0.287202118786259,0.0931927959881979,0.358891715386514,-0.229856259806999,0.0220949715783804
"tau12","jbehave-core",636,8.22252914069718e-31,1.04683561095419e-33,-0.260546217621449,3.46252096719394e-19,-0.349031188104749,1.17116437860818e-19,-0.279012237775883,7.75852246802673e-13
"tau13","Git-Credential-Manager-for-Mac-and-Linux",24,0.000176452653985639,2.06596232985705e-08,0.122023382522994,0.485242237578591,0.1455213750218,0.497471003819822,0.177855088028218,0.405717161329828
"tau14","spring-data-cosmosdb",105,2.14136713629665e-16,2.64523781450411e-10,-0.148491976238199,0.0463562563291819,-0.211065821676293,0.0306719892618496,-0.0682041021202562,0.489362118872814
"tau15","spring-data-gremlin",86,7.96934572764373e-08,7.73379742664357e-12,-0.292502019017378,0.000351143583356431,-0.371855808053556,0.000423010804277596,-0.489129575791379,1.76393975664981e-06
"tau16","governator",134,8.69999366702849e-12,5.7264769970495e-14,0.0457727005383608,0.479967658816866,0.0645329649300723,0.458816452720982,-0.0211631574996351,0.808227502386514
"tau17","Fenzo",112,2.34565365276731e-06,2.73136792609303e-06,-0.310001942242862,1.04765927285896e-05,-0.417539513926737,4.64392745113561e-06,-0.400205565240321,1.23098996172153e-05
"tau18","hollow",292,7.27455874838056e-27,3.17252547859979e-27,-0.0521754695112464,0.236292874825857,-0.077677573712057,0.185615209977541,-0.161120062524154,0.00578964623902367
"tau19","zuul",32,0.000666203738933408,1.55548819248175e-07,-0.414504928081143,0.00360908816654635,-0.566047533425201,0.000733388651029347,-0.292556195191123,0.104188271755255
"tau20","shopizer",29,1.22296939499956e-06,3.7758175244517e-08,-0.368013507094632,0.0149926670936723,-0.442641538098122,0.0161921770726902,-0.727679895987587,7.71182369304992e-06
"tau21","ambrose",3,0.165688869155107,0,-0.816496580927726,0.220671361919847,-0.866025403784439,0.333333333333333,-0.573156976992775,0.611437043614963
"tau22","GraphJet",46,6.99819741349084e-06,2.12028928931224e-08,-0.569315270281674,1.02910835426002e-06,-0.698276907215212,6.85270310599041e-08,-0.71570771945295,2.26469761817809e-08
"tau23","hbc",60,0.000207761614433021,2.09434574762212e-09,-0.135386637275938,0.188444824780229,-0.162572696729076,0.214580549338415,-0.098865933397174,0.452323735687733
"tau24","hraven",55,2.15572341687999e-08,1.10869378355365e-06,0.067984272542747,0.490000595251468,0.0978944419977796,0.477059617714674,-0.0285136247896092,0.836285081088033
"tau25","lavagna",265,6.98160546469685e-13,2.93474466251311e-13,-0.148333380241243,0.000649589236686998,-0.210761541174327,0.000553148202037055,-0.188339410117373,0.00207660761137365
"12","protostuff-core",91,0,0,0,0,0,0,0,0
"tau26","initializr",518,8.58064520339995e-27,2.35023134335668e-27,-0.0600933977588732,0.0695641848730182,-0.0768904942436276,0.0804018337831171,-0.178021791926792,4.61113478036417e-05
"13","jbot",1,0,0,0,0,0,0,0,0
"tau27","javaanpr",23,1.03230674879964e-06,2.01947039837856e-07,-0.286902292026516,0.10283178746785,-0.351570367060936,0.0999596179475745,-0.59737957968674,0.00261347301271335
"tau28","hibernate-ogm",600,5.69545259822765e-28,4.23297946284191e-36,-0.117516138287895,9.8565967134618e-05,-0.157009510268661,0.00011251351219582,-0.119491067894443,0.00337517650432867
"tau29","hibernate-search",1316,4.49756796900463e-40,1.17152068813723e-41,-0.0269619203035373,0.176347206545138,-0.034811326888654,0.206940500615307,-0.00588667973346119,0.831055287814829
"tau30","nanohttpd",13,0.000764805995518123,0.000167269284334729,0.753370803500884,0.00252091900897031,0.87203536766077,0.000101752201702694,0.629532282338458,0.0211328066998968
"tau31","objenesis",16,1.61954327657711e-05,0.00035530127809588,0.187607801998212,0.378368765462682,0.23280926589919,0.385552794286123,0.287783620209868,0.279772303380536
"14","optaplanner-core",350,0,0,0,0,0,0,0,0
