"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"1","all",25319,0,0,0,0,0,0,0,0
"2","spring-cloud-azure",113,0,0,0,0,0,0,0,0
"3","hibernate-ogm",719,0,0,0,0,0,0,0,0
"4","javaparser",252,0,0,0,0,0,0,0,0
"5","compile-testing",128,0,0,0,0,0,0,0,0
"6","hibernate-search",2474,0,0,0,0,0,0,0,0
"7","jbehave-core",559,0,0,0,0,0,0,0,0
"8","ambrose",8,0,0,0,0,0,0,0,0
"9","Git-Credential-Manager-for-Mac-and-Linux",17,0,0,0,0,0,0,0,0
"10","error-prone",1974,0,0,0,0,0,0,0,0
"11","nanohttpd",124,0,0,0,0,0,0,0,0
"12","spring-data-cosmosdb",107,0,0,0,0,0,0,0,0
"13","lavagna",277,0,0,0,0,0,0,0,0
"14","Nodes",10,0,0,0,0,0,0,0,0
"15","jimfs",185,0,0,0,0,0,0,0,0
"16","gson",10,0,0,0,0,0,0,0,0
"17","closure-templates",1176,0,0,0,0,0,0,0,0
"18","initializr",738,0,0,0,0,0,0,0,0
"19","hbc",49,0,0,0,0,0,0,0,0
"20","optaplanner-core",359,0,0,0,0,0,0,0,0
"21","greenmail",85,0,0,0,0,0,0,0,0
"22","closure-compiler",14204,0,0,0,0,0,0,0,0
"23","governator",120,0,0,0,0,0,0,0,0
"24","truth",875,0,0,0,0,0,0,0,0
"25","jbot",2,0,0,0,0,0,0,0,0
"26","docx4j",78,0,0,0,0,0,0,0,0
"27","shopizer",29,0,0,0,0,0,0,0,0
"28","spring-data-gremlin",102,0,0,0,0,0,0,0,0
"29","open-location-code",2,0,0,0,0,0,0,0,0
"30","ion-java",225,0,0,0,0,0,0,0,0
"31","protostuff-core",21,0,0,0,0,0,0,0,0
"32","GraphJet",84,0,0,0,0,0,0,0,0
"33","objenesis",19,0,0,0,0,0,0,0,0
"34","google-java-format",100,0,0,0,0,0,0,0,0
"35","hraven",66,0,0,0,0,0,0,0,0
"36","guice",6,0,0,0,0,0,0,0,0
"37","javaanpr",22,0,0,0,0,0,0,0,0
