"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",243,8.21514348364288e-26,1.53967051773698e-24,-0.33728181013724,1.10865844180489e-09,-0.390151869492374,2.93777941473128e-10,-0.194039071070148,0.00238074286629391
"tau1","spring-cloud-azure",19,3.69868495334629e-08,5.26448860207087e-05,-0.123975880619305,0.545541458002673,-0.142471310749587,0.560675165716351,-0.159538211145524,0.514143606044699
"tau2","hibernate-ogm",8,0.000432995694476067,0.324095287636655,-0.476330511622467,0.161004047124852,-0.50873004848438,0.197931155027466,-0.473557601394524,0.235896736757354
"1","javaparser",0,0,0,0,0,0,0,0,0
"11","compile-testing",0,0,0,0,0,0,0,0,0
"tau3","hibernate-search",29,1.31476307581397e-11,1.33009077662272e-09,0.010647942749999,0.950377814517564,0.0117608054386825,0.95171764590151,-0.0453728391699881,0.815208189411158
"12","jbehave-core",29,0,0,0,0,0,0,0,0
"13","ambrose",0,0,0,0,0,0,0,0,0
"14","Git-Credential-Manager-for-Mac-and-Linux",0,0,0,0,0,0,0,0,0
"15","error-prone",3,0,0,0,0,0,0,0,0
"tau4","nanohttpd",4,0.00124072593197728,0.00124072593197728,-0.333333333333333,0.563702861650773,-0.333333333333333,0.666666666666667,-0.333333333333333,0.666666666666667
"16","spring-data-cosmosdb",11,0,0,0,0,0,0,0,0
"17","lavagna",21,0,0,0,0,0,0,0,0
"18","Nodes",0,0,0,0,0,0,0,0,0
"tau5","jimfs",11,5.14581420995166e-05,2.54182324943158e-05,0.333562192497496,0.277647016276419,0.343303281162798,0.30130900475099,0.285593603856435,0.394591966181077
"19","gson",0,0,0,0,0,0,0,0,0
"tau6","closure-templates",4,0.00124072593197728,0.272453161730903,-0.516397779494322,0.34577858615116,-0.544331053951817,0.455668946048183,-0.522232967867094,0.477767032132906
"110","initializr",0,0,0,0,0,0,0,0,0
"111","hbc",9,0,0,0,0,0,0,0,0
"112","optaplanner-core",3,0,0,0,0,0,0,0,0
"tau7","greenmail",3,0,0,0.5,0.479500122186953,0.5,0.666666666666667,0.5,0.666666666666667
"113","closure-compiler",1,0,0,0,0,0,0,0,0
"tau8","governator",10,9.53178920998599e-05,0.000493002069654672,-0.0379049021789452,0.899494142445329,-0.0674655216740375,0.853089067264187,-0.159730460419501,0.659368770179307
"114","truth",0,0,0,0,0,0,0,0,0
"115","jbot",0,0,0,0,0,0,0,0,0
"116","docx4j",13,0,0,0,0,0,0,0,0
"117","shopizer",0,0,0,0,0,0,0,0,0
"tau9","spring-data-gremlin",27,2.95183610640308e-09,4.31086615511054e-05,-0.552335922392285,0.00131194611412205,-0.630428425755057,0.000423817875512052,-0.373698316291394,0.0548410466544971
"118","open-location-code",0,0,0,0,0,0,0,0,0
"tau10","ion-java",23,2.19703143027771e-06,9.81003445254006e-06,-0.825114607210388,4.96201601189715e-05,-0.864373930229237,1.05431592044003e-07,-0.807266813749135,3.23455557111465e-06
"119","protostuff-core",0,0,0,0,0,0,0,0,0
"120","GraphJet",0,0,0,0,0,0,0,0,0
"121","objenesis",1,0,0,0,0,0,0,0,0
"tau11","google-java-format",5,0.00013097817585188,0.000130978175851881,1,0.0455002638963585,1,3.97186241008171e-24,1,0
"122","hraven",5,0,0,0,0,0,0,0,0
"123","guice",0,0,0,0,0,0,0,0,0
"tau12","javaanpr",4,0.0238567944022221,0.00124072593197728,-0.577350269189626,0.317310507862914,-0.577350269189626,0.422649730810374,-0.577350269189626,0.422649730810374
