projectName,typeName,methodName,locCovered
webserver,org.nanohttpd.junit.webserver.TestHttpServer,doArgumentTest,157
webserver,org.nanohttpd.junit.webserver.TestCorsHttpServer,testAccessControlAllowHeaderUsesSystemPropertyWhenSet,105
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testPluginInternalRewrite,150
webserver,org.nanohttpd.junit.webserver.TestCorsHttpServer,doSomeBasicTest,148
webserver,org.nanohttpd.junit.webserver.TestCorsHttpServerWithSingleOrigin,doSomeBasicTest,149
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testRangeHeaderWithStartPositionOnly,146
webserver,org.nanohttpd.junit.webserver.TestCorsHttpServer,testAccessControlAllowHeaderUsesDefaultsWithoutSystemProperty,105
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testRangeHeaderAndIfNoneMatchHeader,141
webserver,org.nanohttpd.junit.webserver.TestCorsHttpServerWithSingleOrigin,doTestOption,106
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testIfNoneMatchHeader,135
webserver,org.nanohttpd.junit.webserver.TestHttpServer,doSomeBasicTest,207
webserver,org.nanohttpd.junit.webserver.TestHttpServer,doPlugin,119
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testRangeStartGreaterThanFileLength,141
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testRangeHeaderWithStartAndEndPosition,146
webserver,org.nanohttpd.junit.webserver.TestCorsHttpServer,doTestOption,105
webserver,org.nanohttpd.junit.webserver.TestHttpServer,doTest404,110
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testURLContainsParentDirectory,98
webserver,org.nanohttpd.junit.webserver.TestHttpServer,testIndexFileIsShownWhenURLEndsWithDirectory,151
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.simplelong.SimpleLongScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.bendablelong.BendableLongScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.bendable.BendableScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.simplebigdecimal.SimpleBigDecimalScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.simple.SimpleScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.bendablebigdecimal.BendableBigDecimalScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.hardsoftlong.HardSoftLongScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.hardsoftbigdecimal.HardSoftBigDecimalScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.hardmediumsoftlong.HardMediumSoftLongScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.PolymorphicScoreJaxbAdapterTest,unmarshall,10
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.hardsoft.HardSoftScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.hardmediumsoftbigdecimal.HardMediumSoftBigDecimalScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.impl.domain.solution.JaxbSolutionFileIOTest,readAndWrite,16
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.PolymorphicScoreJaxbAdapterTest,marshall,9
optaplanner-persistence-jaxb,org.optaplanner.persistence.jaxb.api.score.buildin.hardmediumsoft.HardMediumSoftScoreJaxbAdapterTest,serializeAndDeserialize,4
optaplanner-core-impl,org.optaplanner.core.impl.solver.termination.BestScoreTerminationTest,solveTermination,62
optaplanner-core-impl,org.optaplanner.core.api.score.buildin.simplebigdecimal.SimpleBigDecimalScoreTest,equalsAndHashCode,19
optaplanner-core-impl,org.optaplanner.core.api.score.stream.ConstraintCollectorsTest,maxNotComparable,42
optaplanner-core-impl,org.optaplanner.core.impl.heuristic.selector.entity.decorator.ShufflingEntitySelectorTest,isNeverEnding,41
optaplanner-core-impl,org.optaplanner.core.impl.domain.valuerange.buildin.primlong.LongValueRangeTest,getSize,13
optaplanner-core-impl,org.optaplanner.core.impl.score.buildin.BendableLongScoreDefinitionTest,getLevelLabels,19
optaplanner-core-impl,org.optaplanner.core.impl.domain.common.accessor.gizmo.GizmoMemberDescriptorTest,testMemberDescriptorTypeNameIsCorrect,53
optaplanner-core-impl,org.optaplanner.core.config.util.ConfigUtilsTest,newInstanceOwnerDescription,10
optaplanner-core-impl,org.optaplanner.core.impl.domain.common.accessor.MemberAccessorFactoryTest,publicField,28
optaplanner-core-impl,org.optaplanner.core.impl.solver.termination.TerminationFactoryTest,unimprovedSpentLimitWithoutJavaTime,100
optaplanner-core-impl,org.optaplanner.core.api.score.buildin.hardsoftlong.HardSoftLongScoreTest,parseScore,46
optaplanner-core-impl,org.optaplanner.core.impl.heuristic.selector.move.generic.chained.SubChainSwapMoveTest,sameChainWithNoneBetween,891
optaplanner-core-impl,org.optaplanner.core.impl.score.buildin.BendableBigDecimalScoreDefinitionTest,createScore,34
optaplanner-core-impl,org.optaplanner.core.impl.heuristic.selector.move.generic.chained.SubChainChangeMoveSelectorTest,isCountable,756
optaplanner-core-impl,org.optaplanner.core.impl.heuristic.selector.value.chained.SubChainSelectorFactoryTest,buildSubChainSelector,976
optaplanner-core-impl,org.optaplanner.core.api.score.buildin.bendablelong.BendableLongScoreTest,addHSS,59
optaplanner-core-impl,org.optaplanner.core.impl.util.MutableIntTest,comparison,9
optaplanner-core-impl,org.optaplanner.core.impl.solver.termination.UnimprovedTimeMillisSpentScoreDifferenceThresholdTerminationTest,scoreImprovesTooLate_terminates,61
optaplanner-core-impl,org.optaplanner.core.impl.solver.random.RandomUtilsTest,testNextLong,7
optaplanner-core-impl,org.optaplanner.core.impl.heuristic.selector.value.ValueSelectorFactoryTest,applyFiltering_withFilterClass,84
optaplanner-core-impl,org.optaplanner.core.impl.heuristic.selector.value.ValueSelectorFactoryTest,applySortingFailsFast_withoutAnySorter,69
optaplanner-core-impl,org.optaplanner.core.api.score.stream.ConstraintCollectorsTest,countBi,28
