"","Var1","Freq"
"1","1",3063
"2","2",2158
"3","3",688
"4","4",372
"5","5",321
"6","6",260
"7","7",133
"8","8",95
"9","9",75
"10","10",186
"11","11",89
"12","12",56
"13","13",39
"14","14",28
"15","15",24
"16","16",35
"17","17",31
"18","18",11
"19","19",10
"20","20",10
"21","21",16
"22","22",9
"23","23",8
"24","24",6
"25","25",3
"26","26",5
"27","27",5
"28","28",9
"29","29",7
"30","30",8
"31","31",2
"32","32",5
"33","33",2
"34","34",19
"35","35",9
"36","36",3
"37","37",4
"38","39",7
"39","43",10
"40","44",1
"41","45",1
"42","50",1
"43","51",1
"44","53",1
"45","58",1
