project,filePath,methodName,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
initializr,/initializr-version-resolver/src/test/java/io/spring/initializr/versionresolver/MavenResolverDependencyManagementVersionResolverTests.java,springBootDependencies,0,0,0,0
initializr,/initializr-version-resolver/src/test/java/io/spring/initializr/versionresolver/MavenResolverDependencyManagementVersionResolverTests.java,springCloudDependencies,0,0,0,0
initializr,/initializr-version-resolver/src/test/java/io/spring/initializr/versionresolver/MavenResolverDependencyManagementVersionResolverTests.java,milestoneBomCanBeResolved,0,0,0,0
initializr,/initializr-version-resolver/src/test/java/io/spring/initializr/versionresolver/MavenResolverDependencyManagementVersionResolverTests.java,snapshotBomCanBeResolved,0,0,0,0
initializr,/initializr-version-resolver/src/test/java/io/spring/initializr/versionresolver/MavenResolverDependencyManagementVersionResolverTests.java,nonExistentDependency,0,0,0,0
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/score/stream/SingleConstraintAssertionTest.java,penalizesAndDoesNotReward,79,31,391.3815085205632,4.157915347309234
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/score/stream/SingleConstraintAssertionTest.java,rewardsButDoesNotPenalize,79,32,395.0,4.1832318030054365
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/score/stream/SingleConstraintAssertionTest.java,impacts,322,38,1689.8326593288343,4.202208703311943
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/score/stream/SingleConstraintAssertionTest.java,impactsBy,322,40,1713.6608465537308,4.219319805809854
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/score/stream/SingleConstraintAssertionTest.java,penalizesByCountAndDoesNotReward,81,32,405.0,4.222277574877691
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/score/stream/SingleConstraintAssertionTest.java,rewardsByCountButDoesNotPenalize,81,33,408.59592366803474,4.246968932902383
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/score/stream/SingleConstraintAssertionTest.java,uniquePairShouldWorkOnStringPlanningId,77,29,374.0645366248231,4.246163488241103
optaplanner,/optaplanner-test/src/test/java/org/optaplanner/test/api/solver/change/MockProblemChangeDirectorTest.java,problemChange,339,77,2124.440637295572,5.1138340451000275
protostuff,/protostuff-api/src/test/java/io/protostuff/ListAdapterTest.java,checkConvertedValues,107,40,569.4463061529478,4.7879553665721915
protostuff,/protostuff-api/src/test/java/io/protostuff/ByteStringTest.java,testToString_emptyString,24,18,100.07820003461549,3.9182958340544904
protostuff,/protostuff-api/src/test/java/io/protostuff/ByteStringTest.java,testToString,44,28,211.52361657053456,4.587510528260019
protostuff,/protostuff-api/src/test/java/io/protostuff/UnsignedNumberUtilTest.java,testParseUnsignedInt,21,18,87.56842503028855,4.070656113151927
protostuff,/protostuff-api/src/test/java/io/protostuff/UnsignedNumberUtilTest.java,testUnsignedIntToString,21,18,87.56842503028855,4.070656113151927
protostuff,/protostuff-api/src/test/java/io/protostuff/UnsignedNumberUtilTest.java,testParseUnsignedLong,21,18,87.56842503028855,4.070656113151927
protostuff,/protostuff-api/src/test/java/io/protostuff/UnsignedNumberUtilTest.java,testUnsignedLongToString,21,18,87.56842503028855,4.070656113151928
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/BreadcrumbsTest.java,describeTreePath,27,16,108.0,3.4956282429042105
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/BreadcrumbsTest.java,getDescriptor_method,49,18,204.3263250706733,3.479947416888111
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/BreadcrumbsTest.java,getDescriptor_literal,49,18,204.3263250706733,3.479947416888111
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/BreadcrumbsTest.java,getDescriptor_class,49,18,204.3263250706733,3.479947416888111
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/BreadcrumbsTest.java,getDescriptor_variable,49,18,204.3263250706733,3.479947416888111
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/BreadcrumbsTest.java,getDescriptor_others,34,21,149.33879237447786,3.9476132088337663
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_singleQualifiedType,35,27,166.4210625757214,4.547439360470672
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_manyQualifiedTypes,38,29,184.60327781484776,4.6593873035330535
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_singleSimpleTypes,34,26,159.81495041679716,4.4885061360562135
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_manySimpleTypes,37,28,177.87213211613133,4.605006663558672
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_worksForAnnotationTypes,31,23,140.2304206377674,4.297276053077188
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_worksForEnums,34,26,159.81495041679716,4.4885061360562135
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_worksForInterfaces,33,25,153.24725426256592,4.427287210976628
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TypeEnumeratorTest.java,getTopLevelTypes_worksForNull,18,14,68.53238859703687,3.614369445886757
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferenceTest.java,isEmpty,62,17,253.42269615752107,3.176986588121906
