project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testDefaultToCurrentApiVersion,4,4,0,37,28,177.87213211613133,4.571354974427955
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testCanSetApiVersion,4,4,0,39,26,183.31714900750262,4.387465039153174
hbc,hbc-core/src/test/java/com/twitter/hbc/common/DelimitedStreamReaderTest.java,testReadlineMultipleSmallBuffer,1,1,0,112,39,591.9650485125719,4.676500212952422
hbc,hbc-core/src/test/java/com/twitter/hbc/common/DelimitedStreamReaderTest.java,testMultipleStreamReads,1,1,0,124,42,668.6473604245663,4.756795683619823
hbc,hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,testRateTracking,6,3,0,71,33,358.15198247445016,4.5267534657410415
hbc,hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,testRateConsistency,6,3,0,112,35,574.4796978978362,4.452193602910855
hbc,hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,testSlidingWindow,6,3,0,135,35,692.4532072875704,4.129691597789282
hbc,hbc-core/src/test/java/com/twitter/hbc/RateTrackerTest.java,testPausing,6,3,0,164,38,860.660112204748,4.1461309662810315
hbc,hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,testLinearBackoff,24,3,0,88,22,392.42998244008214,3.7862679790584037
hbc,hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,testExponentialBackoff,24,3,0,88,22,392.42998244008214,3.7862679790584037
hbc,hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,testBackoffSwitching,24,3,0,129,24,591.4601625930293,3.830465193093515
hbc,hbc-core/src/test/java/com/twitter/hbc/ReconnectionManagerTest.java,testRetries,24,3,0,67,26,314.9294611154532,4.1417167575191325
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testStatusesFilterEndpointTest,4,4,0,88,36,454.9534001269235,4.566211630749483
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testLanguages,4,4,0,39,26,183.31714900750262,4.332549412228141
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testStatusListener,8,2,0,36,26,169.21582985307933,4.380859113759903
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testStatusDeletionListener,8,2,0,36,26,169.21582985307933,4.380859113759903
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testLimitListener,8,2,0,33,23,149.27754454988144,4.2064703480129015
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testScrubGeoListener,8,2,0,35,23,158.32466846199546,4.136286231168866
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testDirectMessageListener,8,2,0,36,26,169.21582985307933,4.380859113759903
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testDirectMessageDeleteListener,8,2,0,35,24,160.4736875252405,4.214997302659251
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testFriendsListListener,8,2,0,37,27,175.93083758004835,4.441713583019038
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testFavoriteListener,8,2,0,55,32,275.0,4.57583675854651
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testUnfavoriteListener,8,2,0,55,32,275.0,4.57583675854651
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testRetweetListener,8,2,0,55,32,275.0,4.57583675854651
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testFollowListener,8,2,0,50,31,247.70981551934378,4.5965656302427185
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testUnfollowListener,8,2,0,50,31,247.70981551934378,4.5965656302427185
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testListMemberAddedListener,8,2,0,55,32,275.0,4.57583675854651
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testListMemberDeletedListener,8,2,0,55,32,275.0,4.57583675854651
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testListSubscribedListener,8,2,0,55,32,275.0,4.57583675854651
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testListUnsubscribedListener,8,2,0,55,32,275.0,4.575836758546511
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testListCreatedListener,8,2,0,50,32,250.0,4.6365656302427185
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testListDestroyedListener,8,2,0,50,32,250.0,4.6365656302427185
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testListUpdatedListener,8,2,0,50,32,250.0,4.6365656302427185
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testBlockedListener,8,2,0,50,31,247.70981551934378,4.5965656302427185
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testUnblockedListener,8,2,0,50,31,247.70981551934378,4.5965656302427185
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testUserUpdateListener,8,2,0,45,31,222.9388339674094,4.638378163961527
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testControlStreamMessage,8,2,0,31,23,140.2304206377674,4.2603326005698765
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,testDisconnectListener,8,2,0,34,25,157.89111045234063,4.373796296941798
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testParseStatusDelete,6,2,0,42,25,195.04195997053841,4.317049340428043
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testTrackLimitNotice,6,2,0,26,20,112.37013046707143,4.161978179679553
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testParseTestList,6,2,0,58,32,290.0,4.474552875170203
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testParseSitestreamUserId,6,2,0,34,22,151.6206750336681,4.175123135113461
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testParseSitestreamMessage,6,2,0,74,31,366.6105269686288,4.448742841810871
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testMissingFields,6,2,0,33,22,147.1612434150308,4.222593650305008
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testParseControlStreamMessage,6,2,0,47,25,218.26124091941205,4.254175756384791
hbc,hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,testParseDisconnectMessage,6,2,0,66,30,323.85477931016226,4.305352440587375
hbc,hbc-core/src/test/java/com/twitter/hbc/SitestreamControllerTest.java,testFailControlStreamRequestOnNon200s,2,2,0,74,37,385.4995490565423,4.555699359616178
hbc,hbc-core/src/test/java/com/twitter/hbc/SitestreamControllerTest.java,testProperlyCloseEntityContent,2,2,0,71,36,367.0646751024042,4.5502030150638815
hbc,hbc-core/src/test/java/com/twitter/hbc/SitestreamControllerTest.java,testCloseEntityContentOnError,2,2,0,101,43,548.0527402249119,4.626718478556897
hbc,hbc-core/src/test/java/com/twitter/hbc/SitestreamControllerTest.java,testAddUsersPrecondition,2,2,0,44,31,217.98463765702255,4.708987300258801
hbc,hbc-core/src/test/java/com/twitter/hbc/SitestreamControllerTest.java,testRemoveUsersPrecondition,2,2,0,44,31,217.98463765702255,4.708987300258801
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testDefaultParams,4,4,0,74,34,376.47225025252516,4.543950700697584
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testChangeDefaultParamValues,4,4,0,101,36,522.1624251456735,4.468045959303721
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testFilterLevel,4,4,0,32,21,140.55415752892034,4.090018266288633
hbc,hbc-core/src/test/java/com/twitter/hbc/httpclient/RestartableHttpClientTest.java,testRestart,1,1,0,47,29,228.32510677099592,4.474356938205999
hbc,hbc-core/src/test/java/com/twitter/hbc/EndpointTest.java,testBackfillParamOnEnterpriseStreamEndpoint,3,2,0,30,22,133.78294855911892,4.253235913127291
