projectName,kind,testCase,filePath,CountLineCode,Cyclomatic,CyclomaticModified,CyclomaticStrict,projectName2,filePath2,testCase2,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
spring-cloud-azure,Method,createFileWhenPropertiesFound,spring-cloud-azure-markdown-appdendix-generator/src/test/java/com/azure/spring/cloud/internal/GeneratorTests.java,16,1,1,1,spring-cloud-azure,/spring-cloud-azure-markdown-appdendix-generator/src/test/java/com/azure/spring/cloud/internal/GeneratorTests.java,createFileWhenPropertiesFound,84,42,452.9546635134159,4.881178173141291
spring-cloud-azure,Method,notCreateFileWhenNoPropertiesFound,spring-cloud-azure-markdown-appdendix-generator/src/test/java/com/azure/spring/cloud/internal/GeneratorTests.java,13,1,1,1,spring-cloud-azure,/spring-cloud-azure-markdown-appdendix-generator/src/test/java/com/azure/spring/cloud/internal/GeneratorTests.java,notCreateFileWhenNoPropertiesFound,64,33,322.841223638941,4.657603078152579
spring-cloud-azure,Method,notCreateFileWhenNoParentDirectoryFound,spring-cloud-azure-markdown-appdendix-generator/src/test/java/com/azure/spring/cloud/internal/MainTests.java,6,1,1,1,spring-cloud-azure,/spring-cloud-azure-markdown-appdendix-generator/src/test/java/com/azure/spring/cloud/internal/MainTests.java,notCreateFileWhenNoParentDirectoryFound,30,18,125.09775004326937,3.8477426785812736
error-prone,Public Method,basicBugPattern,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,11,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,basicBugPattern,49,29,238.04106876125107,4.579422987927442
error-prone,Public Method,customSuppressionAnnotation,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,12,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,customSuppressionAnnotation,54,30,264.97209216286,4.573879400111297
error-prone,Public Method,linkTypeCustomAndIncludesLink,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,13,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,linkTypeCustomAndIncludesLink,57,33,287.53046480343187,4.698310462181281
error-prone,Public Method,linkTypeCustomButNoLink,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,12,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,linkTypeCustomButNoLink,59,32,295.0,4.604237592324204
error-prone,Public Method,linkTypeNoneAndNoLink,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,12,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,linkTypeNoneAndNoLink,54,31,267.5266007608913,4.633974075997159
error-prone,Public Method,linkTypeNoneButIncludesLink,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,13,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,linkTypeNoneButIncludesLink,62,34,315.4226961575211,4.670847416591765
error-prone,Public Method,multipleCustomSuppressionAnnotations,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,15,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,multipleCustomSuppressionAnnotations,58,31,287.3433860024388,4.577279703101817
error-prone,Public Method,spacesInNameNotAllowed,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,12,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,spacesInNameNotAllowed,65,33,327.8856177582995,4.581617959309308
error-prone,Public Method,suppressionAnnotationsIncludesSuppressWarnings,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,13,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,suppressionAnnotationsIncludesSuppressWarnings,58,31,287.3433860024388,4.577279703101817
error-prone,Public Method,unsuppressible,annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,13,1,1,1,error-prone,/annotation/src/test/java/com/google/errorprone/BugPatternValidatorTest.java,unsuppressible,55,31,272.4807970712782,4.62634539651865
greenmail,Public Method,testPop3ConnectAuth,greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,9,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,testPop3ConnectAuth,61,33,307.70804128086564,4.6417342148892695
greenmail,Public Method,testPop3ConnectNoAuth,greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,9,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,testPop3ConnectNoAuth,55,31,272.4807970712782,4.591797495975193
greenmail,Public Method,testReceiveWithAuthDisabled,greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,9,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,testReceiveWithAuthDisabled,50,29,242.89904975637864,4.508758439731454
greenmail,Public Method,testReceiveWithAuthDisabledAndProvisionedUser,greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,10,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,testReceiveWithAuthDisabledAndProvisionedUser,58,31,287.3433860024388,4.525939943986516
greenmail,Public Method,testSendMailAndReceiveWithAuthDisabled,greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,18,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/AuthenticationDisabledTest.java,testSendMailAndReceiveWithAuthDisabled,144,46,795.3929216722099,4.759842099976561
greenmail,Public Method,testSmtpServerBasic,greenmail-core/src/test/java/com/icegreen/greenmail/CatchAllTest.java,13,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/CatchAllTest.java,testSmtpServerBasic,108,32,540.0,4.222140880525448
greenmail,Public Method,concurrentCloseTest,greenmail-core/src/test/java/com/icegreen/greenmail/ConcurrentCloseIT.java,12,3,3,4,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/ConcurrentCloseIT.java,concurrentCloseTest,80,37,416.756269250316,4.799058720398253
greenmail,Public Method,testLoadDefaultKeyStore,greenmail-core/src/test/java/com/icegreen/greenmail/DummySSLServerSocketFactoryTest.java,6,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/DummySSLServerSocketFactoryTest.java,testLoadDefaultKeyStore,35,22,156.0801066523054,4.185867302411998
greenmail,Public Method,testLoadKeyStoreViaSystemProperty,greenmail-core/src/test/java/com/icegreen/greenmail/DummySSLServerSocketFactoryTest.java,31,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/DummySSLServerSocketFactoryTest.java,testLoadKeyStoreViaSystemProperty,213,71,1309.8961364544973,5.239328023334274
greenmail,Public Method,test20Senders,greenmail-core/src/test/java/com/icegreen/greenmail/MultiRequestTest.java,9,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/MultiRequestTest.java,test20Senders,61,29,296.33684070278196,4.39093322631801
greenmail,Public Method,test20Senders20x4Retrievers,greenmail-core/src/test/java/com/icegreen/greenmail/MultiRequestTest.java,14,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/MultiRequestTest.java,test20Senders20x4Retrievers,104,46,574.4504434299294,4.892074899686795
greenmail,Public Method,test20Senders20x4RetrieversAtTheSameTime,greenmail-core/src/test/java/com/icegreen/greenmail/MultiRequestTest.java,13,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/MultiRequestTest.java,test20Senders20x4RetrieversAtTheSameTime,92,45,505.2504848623301,4.911641441182042
greenmail,Public Method,testSendIso8859EncodedMessage,greenmail-core/src/test/java/com/icegreen/greenmail/SendReceiveWithDifferentEncodingsTest.java,4,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/SendReceiveWithDifferentEncodingsTest.java,testSendIso8859EncodedMessage,16,15,62.5102495297363,3.875
greenmail,Public Method,testSendUtf8EncodedMessage,greenmail-core/src/test/java/com/icegreen/greenmail/SendReceiveWithDifferentEncodingsTest.java,4,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/SendReceiveWithDifferentEncodingsTest.java,testSendUtf8EncodedMessage,16,15,62.5102495297363,3.875
greenmail,Public Method,testSend,greenmail-core/src/test/java/com/icegreen/greenmail/SendReceiveWithInternationalAddressTest.java,16,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/SendReceiveWithInternationalAddressTest.java,testSend,129,54,742.3804877790875,4.783639910513061
greenmail,Public Method,testServerStartupTimeout,greenmail-core/src/test/java/com/icegreen/greenmail/ServerStartStopTest.java,26,4,4,4,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/ServerStartStopTest.java,testServerStartupTimeout,135,44,737.0232685160352,4.768550044520903
greenmail,Public Method,testStartStop,greenmail-core/src/test/java/com/icegreen/greenmail/ServerStartStopTest.java,13,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/ServerStartStopTest.java,testStartStop,51,20,220.4183328392555,3.780969883784503
greenmail,Public Method,testUsersAccessible,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailConfigurationTest.java,12,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailConfigurationTest.java,testUsersAccessible,42,22,187.29612798276648,4.058602841088201
greenmail,Public Method,testUsersAccessible,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailRuleConfigurationTest.java,4,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/GreenMailRuleConfigurationTest.java,testUsersAccessible,13,11,44.97261104228487,3.3927474104487847
greenmail,Public Method,testBuildForListOfUsers,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,11,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildForListOfUsers,106,39,560.2526351993984,4.384735252999317
greenmail,Public Method,testBuildForListOfUsersWithEmailAsLogin,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,12,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildForListOfUsersWithEmailAsLogin,115,40,612.0217309120467,4.419487809779599
greenmail,Public Method,testBuildForSingleUser,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,9,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildForSingleUser,66,32,330.0,4.352462348367443
greenmail,Public Method,testBuildWithAuthenticationDisabledSetting,greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,7,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/configuration/PropertiesBasedGreenMailConfigurationBuilderTest.java,testBuildWithAuthenticationDisabledSetting,45,24,206.32331253245206,4.138656363227874
greenmail,Public Method,testExistingUserNotRecreated,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,8,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,testExistingUserNotRecreated,51,26,239.7224256251957,4.215201610373445
greenmail,Public Method,testNoAuthIMAP,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,7,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleDisableAuthenticationTest.java,testNoAuthIMAP,37,23,167.37179237410948,4.225497366802823
greenmail,Public Method,testSend,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleFindUserByAuthLoginTest.java,26,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleFindUserByAuthLoginTest.java,testSend,211,81,1337.708350608656,5.300675236032174
greenmail,Public Method,testSendAndReceive,greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleJavaMailTest.java,30,1,1,1,greenmail,/greenmail-core/src/test/java/com/icegreen/greenmail/examples/ExampleJavaMailTest.java,testSendAndReceive,246,63,1470.4108611809795,4.748855891087073
