projectName,typeName,methodName,locCovered
atestproject2,com.dlucredio.test.TestSuite1,testCase1,17
atestproject2,com.dlucredio.test.TestSuite1,testCase2,17
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,featureManagerNotEnabledCorrectly,74
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledFeatureOff,65
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureSetTest,invalidFeatureFlagTest,88
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledFeatureHasNoFilters,67
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledFeatureNotFound,63
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureSetTest,multipartFeatureFlagNameTest,86
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledON,73
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,loadFeatureManagerWithLinkedHashSet,53
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,bootstrapConfiguration,80
spring-cloud-azure-feature-management,com.microsoft.azure.spring.cloud.feature.manager.FeatureManagerTest,isEnabledOnBoolean,73
protostuff-parser,io.protostuff.parser.ProtoUtilTest,testToUnderscoreCase,1071
protostuff-parser,io.protostuff.parser.ProtoUtilTest,testToCamelCase,1041
protostuff-parser,io.protostuff.parser.FieldTest,testBasicProtoTypes,32
protostuff-parser,io.protostuff.parser.ProtoUtilTest,testToPascalCase,1046
initializr-generator-spring,io.spring.initializr.generator.spring.code.kotlin.KotlinMavenBuildCustomizerTests,kotlinMavenPluginIsConfigured,0
initializr-generator-spring,io.spring.initializr.generator.spring.documentation.HelpDocumentTests,renderSingleSection,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.gradle.GradleBuildProjectContributorTests,groovyDslGradleBuildIsContributedToProject,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.maven.DefaultMavenBuildCustomizerTests,customizeWithCustomParentAndSpringBootBomShouldAddBom,0
initializr-generator-spring,io.spring.initializr.generator.spring.documentation.GettingStartedSectionTests,gettingStartedWithGuideLinkIsNotEmpty,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.SimpleBuildCustomizerTests,customizeVersion,0
initializr-generator-spring,io.spring.initializr.generator.spring.code.kotlin.KotlinProjectGenerationConfigurationTests,jacksonKotlinModuleShouldBeAddedWhenJsonFacetPresent,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.maven.MavenBuildProjectContributorTests,pomIsContributedUsingMavenContentId,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.DefaultStarterBuildCustomizerTests,defaultStarterIsNotAddedIfCompileScopedStarterExists,0
initializr-generator-spring,io.spring.initializr.generator.spring.code.SourceCodeProjectGenerationConfigurationTests,springBoot20WarServletInitializerContributor,0
initializr-generator-spring,io.spring.initializr.generator.spring.code.groovy.GroovyProjectGenerationConfigurationTests,servletInitializerIsContributedWhenGeneratingProjectThatUsesWarPackaging,0
initializr-generator-spring,io.spring.initializr.generator.spring.code.groovy.GroovyMavenBuildCustomizerTests,groovyMavenPluginIsConfigured,0
initializr-generator-spring,io.spring.initializr.generator.spring.code.kotlin.KotlinProjectGenerationConfigurationTests,mainClassIsContributedWhenGeneratingProject,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.maven.MavenProjectGenerationConfigurationTests,mavenPomIsContributedWhenGeneratingMavenProject,0
initializr-generator-spring,io.spring.initializr.generator.spring.code.kotlin.KotlinJacksonBuildCustomizerTests,jacksonModuleKotlinIsNotAddedWithoutKotlin,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.SpringBootVersionRepositoriesBuildCustomizerTests,addMavenCentralAndMilestonesWhenUsingReleaseCandidate,0
initializr-generator-spring,io.spring.initializr.generator.spring.code.kotlin.KotlinProjectGenerationConfigurationTests,servletInitializerIsContributedWhenGeneratingProjectThatUsesWarPackaging,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.gradle.GradleConfigurationBuildCustomizerTests,providedRuntimeConfigurationIsNotAddedWithNonMatchingDependency,0
initializr-generator-spring,io.spring.initializr.generator.spring.build.gradle.GradleProjectGenerationConfigurationTests,testStarterExcludesVintageEngineWithCompatibleVersion,0
initializr-generator-spring,io.spring.initializr.generator.spring.documentation.HelpDocumentProjectContributorTests,helpDocumentWithLinksToReferenceDoc,0
initializr-generator-spring,io.spring.initializr.generator.spring.documentation.HelpDocumentGitIgnoreCustomizerTests,gitIgnoreIsNotUpdatedWithEmptyHelpDocument,0
