GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ambrose Common,com.twitter.ambrose.server,ScriptStatusServer.new SocketConnector() {...},27,0,0,0,6,0,2,0,2,0
Ambrose Common,com.twitter.ambrose.server,ScriptStatusServer,193,0,4,0,47,0,9,0,7,0
Ambrose Common,com.twitter.ambrose.server,APIHandler,262,0,24,0,71,0,21,0,9,0
Ambrose Common,com.twitter.ambrose.util,JSONUtil,71,82,0,0,15,20,4,5,4,5
Ambrose Common,com.twitter.ambrose.util,AmbroseUtils,45,0,0,0,16,0,5,0,5,0
Ambrose Common,com.twitter.ambrose.model.hadoop,CounterGroup,97,0,8,0,25,0,11,0,7,0
Ambrose Common,com.twitter.ambrose.model.hadoop,MapReduceJobState,234,0,22,0,66,0,39,0,28,0
Ambrose Common,com.twitter.ambrose.model.hadoop,CounterInfo,36,0,0,0,13,0,5,0,5,0
Ambrose Common,com.twitter.ambrose.model.hadoop,MapReduceJob,144,0,20,0,41,0,19,0,9,0
Ambrose Common,com.twitter.ambrose.model.hadoop,CounterGroupId,82,0,0,0,7,0,4,0,4,0
Ambrose Common,com.twitter.ambrose.model.hadoop,CounterId,692,0,0,0,65,0,4,0,4,0
Ambrose Common,com.twitter.ambrose.model.hadoop,MapReduceHelper,176,0,6,0,43,0,11,0,8,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenWorkflowIndexReadService,198,0,8,0,41,0,11,0,7,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenStatsWriteService.new Object() {...},33,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenStatsWriteService.new Thread() {...},10,0,0,0,3,0,2,0,2,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenStatsWriteService.HRavenQueueRunnable,142,0,8,0,25,0,7,0,3,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenStatsReadService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenStatsReadService,151,0,8,0,41,0,11,0,7,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenStatsWriteService,670,0,57,0,150,0,46,0,16,0
Ambrose Common,com.twitter.ambrose.service.impl.hraven,HRavenStatsWriteService.HRavenEventRunnable,43,0,0,0,11,0,2,0,2,0
Ambrose Common,com.twitter.ambrose.model,Event.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Event.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Event.new Object() {...},40,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Event.JobStartedEvent,6,0,0,0,2,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Event.WorkflowProgressField,28,0,0,0,2,0,4,0,4,0
Ambrose Common,com.twitter.ambrose.model,Event.JobFailedEvent,6,0,0,0,2,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,DAGNode.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Event.JobProgressEvent,6,0,0,0,2,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Event.JobFinishedEvent,6,0,0,0,2,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,WorkflowSummary.Status,48,0,0,0,4,0,4,0,4,0
Ambrose Common,com.twitter.ambrose.model,DAGNode,86,57,13,3,17,17,11,8,4,7
Ambrose Common,com.twitter.ambrose.model,Workflow,31,0,0,0,10,0,6,0,6,0
Ambrose Common,com.twitter.ambrose.model,Workflow.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Event,129,0,8,0,30,0,18,0,12,0
Ambrose Common,com.twitter.ambrose.model,WorkflowId,105,0,0,0,18,0,9,0,9,0
Ambrose Common,com.twitter.ambrose.model,Event.WorkflowProgressEvent,6,0,0,0,2,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,Job.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.model,PaginatedList,16,0,0,0,7,0,4,0,4,0
Ambrose Common,com.twitter.ambrose.model,DAGNode.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Ambrose Common,com.twitter.ambrose.model,WorkflowSummary,66,0,0,0,28,0,14,0,14,0
Ambrose Common,com.twitter.ambrose.model,Event.Type,68,0,0,0,1,0,4,0,4,0
Ambrose Common,com.twitter.ambrose.model,Job,51,55,6,6,14,15,13,5,7,5
Ambrose Common,com.twitter.ambrose.service.impl,InMemoryStatsService.new Object() {...},19,0,0,0,1,0,1,0,1,0
Ambrose Common,com.twitter.ambrose.service.impl,InMemoryStatsService,261,0,31,0,66,0,30,0,14,0
