GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Closure Compiler,com.google.javascript.jscomp.deps,PathUtil,232,0,30,0,48,0,23,0,8,0
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathEscaper.new ModuleLoader.PathEscaper() {...},3,6,0,0,1,1,1,1,1,1
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathEscaper.new ModuleLoader.PathEscaper() {...},0,9,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,BrowserWithTransformedPrefixesModuleResolver.Factory,16,0,0,0,4,0,2,0,2,0
Closure Compiler,com.google.javascript.jscomp.deps,Es6SortedDependencies,417,0,62,0,96,0,41,0,10,0
Closure Compiler,com.google.javascript.jscomp.deps,NodeModuleResolver.Factory,20,0,0,0,6,0,3,0,3,0
Closure Compiler,com.google.javascript.jscomp.deps,WebpackModuleResolver,30,0,2,0,7,0,3,0,2,0
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Require.Type,9,59,0,0,0,6,2,2,2,2
Closure Compiler,com.google.javascript.jscomp.deps,SimpleDependencyInfo.Builder,36,8,2,0,10,3,3,2,2,2
Closure Compiler,com.google.javascript.jscomp.deps,JsFileRegexParser.new Object() {...},2,17,0,0,0,1,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathEscaper,9,29,0,0,0,3,2,2,2,2
Closure Compiler,com.google.javascript.jscomp.deps,DepsGenerator.InclusionStrategy,48,0,0,0,4,0,4,0,4,0
Closure Compiler,com.google.javascript.jscomp.deps,AutoValue_BrowserWithTransformedPrefixesModuleResolver_PrefixReplacement,99,0,12,0,24,0,12,0,6,0
Closure Compiler,com.google.javascript.jscomp.deps,JsFileRegexParser,303,286,98,37,61,74,65,13,0,10
Closure Compiler,com.google.javascript.jscomp.deps,NodeModuleResolver,434,0,54,0,83,0,38,0,11,0
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver.new ModuleLoader.PathResolver() {...},0,8,0,0,0,2,0,2,0,2
Closure Compiler,com.google.javascript.jscomp.deps,ModuleLoader.PathResolver.new ModuleLoader.PathResolver() {...},7,6,0,0,1,1,1,1,1,1
Closure Compiler,com.google.javascript.jscomp.deps,DependencyInfo.Require.Builder,0,3,0,0,0,1,0,1,0,1
Closure Compiler,com.google.javascript.jscomp.deps,DepsGenerator.new Object() {...},40,0,0,0,1,0,1,0,1,0
Closure Compiler,com.google.javascript.jscomp.deps,ClosureBundler.EvalMode.new ClosureBundler.EvalMode() {...},40,0,0,0,11,0,3,0,3,0
