GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
error-prone check api,com.google.errorprone.apply,DiffNotApplicableException,13,0,0,0,6,0,3,0,3,0
error-prone check api,com.google.errorprone.apply,ImportOrganizer,0,21,0,0,0,6,0,1,0,1
error-prone check api,com.google.errorprone.apply,SourceFile,246,0,18,0,47,0,22,0,13,0
error-prone check api,com.google.errorprone.apply,AndroidImportOrganizer,104,13,8,0,34,5,8,2,4,2
error-prone check api,com.google.errorprone.apply,StaticOrder,24,38,0,0,2,8,3,2,3,2
error-prone check api,com.google.errorprone.apply,ImportOrganizer.Import,44,0,4,0,8,0,5,0,3,0
error-prone check api,com.google.errorprone.apply,DiffApplier,155,0,6,0,45,0,9,0,6,0
error-prone check api,com.google.errorprone.apply,ImportStatements,223,0,18,0,59,0,20,0,11,0
error-prone check api,com.google.errorprone.apply,FsFileSource,20,0,0,0,5,0,2,0,2,0
error-prone check api,com.google.errorprone.apply,ImportOrganizer.OrganizedImports,70,0,8,0,16,0,10,0,6,0
error-prone check api,com.google.errorprone.apply,PatchFileDestination,92,0,2,0,21,0,7,0,6,0
error-prone check api,com.google.errorprone.apply,AutoValue_ImportOrganizer_Import,77,0,12,0,21,0,11,0,5,0
error-prone check api,com.google.errorprone.apply,BasicImportOrganizer,19,6,0,0,7,3,1,1,1,1
error-prone check api,com.google.errorprone.apply,DiscardingFileDestination,21,0,0,0,5,0,4,0,4,0
error-prone check api,com.google.errorprone.apply,FsFileDestination,23,0,0,0,7,0,3,0,3,0
error-prone check api,com.google.errorprone.apply,DescriptionBasedDiff,200,0,24,0,44,0,20,0,8,0
error-prone check api,com.google.errorprone.apply,ImportStatements.new Function() {...},16,0,0,0,5,0,2,0,2,0
error-prone check api,com.google.errorprone.apply,DiffApplier.Task,90,0,2,0,16,0,3,0,2,0
error-prone check api,com.google.errorprone.predicates,TypePredicates,105,0,10,0,20,0,20,0,15,0
error-prone check api,com.google.errorprone,ErrorProneOptions.PatchingOptions,2,24,2,2,0,7,2,3,0,3
error-prone check api,com.google.errorprone,MaskedClassLoader,27,0,4,0,10,0,5,0,3,0
error-prone check api,com.google.errorprone,MaskedClassLoader.MaskedFileManager,22,0,0,0,6,0,3,0,3,0
error-prone check api,com.google.errorprone,ImportOrderParser,49,0,13,0,7,0,10,0,2,0
error-prone check api,com.google.errorprone,BaseErrorProneJavaCompiler,327,0,32,0,83,0,32,0,15,0
error-prone check api,com.google.errorprone,BugCheckerInfo,266,0,16,0,84,0,32,0,23,0
error-prone check api,com.google.errorprone,RefactoringCollection.DelegatingDescriptionListener,21,0,0,0,7,0,2,0,2,0
error-prone check api,com.google.errorprone,ErrorProneOptions.PatchingOptions.Builder,6,22,3,3,2,6,3,2,0,2
error-prone check api,com.google.errorprone,ErrorProneOptions,342,125,75,9,72,32,59,6,15,5
error-prone check api,com.google.errorprone,VisitorState,800,0,108,0,204,0,107,0,49,0
error-prone check api,com.google.errorprone,AutoValue_CompositeCodeTransformer,60,0,6,0,19,0,8,0,5,0
error-prone check api,com.google.errorprone,BaseErrorProneCompiler,135,0,10,0,39,0,10,0,5,0
error-prone check api,com.google.errorprone,ErrorProneFlags.Builder,43,12,2,0,9,3,3,2,2,2
error-prone check api,com.google.errorprone,RefactoringCollection.RefactoringResultType,50,0,0,0,4,0,4,0,4,0
error-prone check api,com.google.errorprone,ErrorProneError,237,0,2,0,59,0,6,0,5,0
error-prone check api,com.google.errorprone,SuppressionInfo.SuppressedState,50,0,0,0,4,0,4,0,4,0
error-prone check api,com.google.errorprone,SuppressionInfo.new SimpleTreeVisitor() {...},32,0,4,0,4,0,4,0,2,0
error-prone check api,com.google.errorprone,SuppressionInfo,300,0,40,0,65,0,29,0,9,0
error-prone check api,com.google.errorprone,RefactoringCollection.new Function() {...},45,0,0,0,11,0,2,0,2,0
error-prone check api,com.google.errorprone,StatisticsCollector,13,0,0,0,4,0,3,0,3,0
error-prone check api,com.google.errorprone,VisitorState.SharedState,48,0,0,0,14,0,1,0,1,0
error-prone check api,com.google.errorprone,ErrorProneOptions.Severity,70,0,0,0,6,0,4,0,4,0
error-prone check api,com.google.errorprone,BaseErrorProneCompiler.Builder,46,0,0,0,12,0,5,0,5,0
error-prone check api,com.google.errorprone,JavacErrorDescriptionListener,248,0,28,0,61,0,25,0,10,0
error-prone check api,com.google.errorprone,ErrorProneFlags,159,17,4,0,31,5,20,3,18,3
error-prone check api,com.google.errorprone,RefactoringCollection,233,0,12,0,63,0,15,0,9,0
error-prone check api,com.google.errorprone,JavacInvocationInstance,20,0,2,0,6,0,3,0,2,0
error-prone check api,com.google.errorprone,SubContext,34,0,4,0,7,0,5,0,3,0
error-prone check api,com.google.errorprone,RefactoringCollection.RefactoringResult,9,0,0,0,2,0,2,0,2,0
error-prone check api,com.google.errorprone,ErrorProneAnalyzer,313,0,25,0,76,0,22,0,9,0
error-prone check api,com.google.errorprone,ErrorProneOptions.Builder,157,71,10,0,41,26,21,2,16,2
error-prone check api,com.google.errorprone,AutoValue_RefactoringCollection_RefactoringResult,100,0,12,0,27,0,12,0,6,0
error-prone check api,com.google.errorprone,ErrorProneTimings,69,0,2,0,14,0,10,0,9,0
error-prone check api,com.google.errorprone,VisitorState.Cache,61,0,6,0,17,0,5,0,2,0
error-prone check api,com.google.errorprone,ErrorPronePlugins,36,0,4,0,12,0,4,0,2,0
error-prone check api,com.google.errorprone,InvalidCommandLineOptionException,4,0,0,0,2,0,1,0,1,0
error-prone check api,com.google.errorprone,ErrorProneVersion,59,0,12,0,9,0,8,0,2,0
error-prone check api,com.google.errorprone,MaskedClassLoader.new Context.Factory() {...},8,0,0,0,2,0,2,0,2,0
error-prone check api,com.google.errorprone,StatisticsCollector.new StatisticsCollector() {...},17,0,0,0,5,0,3,0,3,0
error-prone check api,com.google.errorprone,StatisticsCollector.new StatisticsCollector() {...},6,0,0,0,3,0,3,0,3,0
error-prone check api,com.google.errorprone,CompositeCodeTransformer,33,0,2,0,7,0,6,0,5,0
error-prone check api,com.google.errorprone,BaseErrorProneJavaCompiler.RefactoringTask,54,0,4,0,18,0,5,0,3,0
error-prone check api,com.google.errorprone,BaseErrorProneJavaCompiler.CFCacheClearingListener,9,0,2,0,4,0,3,0,2,0
error-prone check api,com.google.errorprone,AutoValue_ErrorProneOptions_PatchingOptions.Builder,75,66,10,8,12,26,10,6,1,6
error-prone check api,com.google.errorprone,AutoValue_ErrorProneOptions_PatchingOptions,145,30,16,0,30,11,12,5,4,5
error-prone check api,com.google.errorprone.names,NeedlemanWunschEditDistance,364,0,22,0,58,0,16,0,5,0
error-prone check api,com.google.errorprone.names,TermEditDistance,202,0,4,0,45,0,17,0,15,0
error-prone check api,com.google.errorprone.names,LevenshteinEditDistance,194,0,28,0,34,0,20,0,6,0
