GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,UserIdentifier,73,0,16,0,12,0,15,0,7,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureAuthority.new Object() {...},26,0,0,0,1,0,1,0,1,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureAuthority.new Action() {...},10,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseAuthentication,3,0,0,0,1,0,1,0,1,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseVsoAuthentication.new Action() {...},7,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAzureAuthority,628,0,96,0,129,0,64,0,16,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,GithubAuthenticationResultType,58,0,0,0,5,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Where,326,0,60,0,77,0,38,0,8,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,PromptValue,3,0,0,0,1,0,1,0,1,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseSecureStore,104,0,4,0,25,0,10,0,8,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,GithubTokenScope,230,0,0,0,35,0,10,0,10,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Configuration,358,164,53,21,70,34,41,7,9,2
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,SecretCache,263,0,24,0,61,0,22,0,10,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureAuthority,531,0,50,0,129,0,39,0,13,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAdalTokenCache,34,0,0,0,7,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAzureAuthority.new Action() {...},10,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAzureAuthority.new Action() {...},10,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BaseVsoAuthentication,412,0,50,0,95,0,37,0,12,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,DeviceFlowImpl,268,0,18,0,70,0,16,0,7,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,GithubAuthenticationResult,37,0,2,0,12,0,7,0,6,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Configuration.Entry,12,0,0,0,4,0,1,0,1,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureDeviceFlow,40,0,4,0,13,0,9,0,7,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Where.new Func() {...},10,0,0,0,2,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Where.new FileFilter() {...},6,0,0,0,2,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,UserIdentifierType,48,0,0,0,4,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoMsaAuthentication,107,0,4,0,28,0,7,0,5,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,SecretStore,201,0,18,0,51,0,18,0,9,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,SecretStoreAdapter,71,0,8,0,19,0,10,0,6,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,DeviceFlowResponse,86,0,0,0,24,0,8,0,8,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,PromptBehavior,58,0,0,0,5,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,VsoAadAuthentication,126,0,8,0,31,0,11,0,7,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,BasicAuthentication,52,0,4,0,18,0,6,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,AzureDeviceFlowResponse,62,0,0,0,14,0,3,0,3,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,Global,3,45,1,1,1,10,2,2,1,2
Git Credential Manager for Mac and Linux,com.microsoft.alm.authentication,OAuthParameter,3,0,0,0,1,0,1,0,1,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,InsecureStore,645,0,64,0,159,0,48,0,16,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,OperationArguments,223,0,24,0,55,0,17,0,5,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.DefaultFileChecker,7,0,0,0,2,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,AuthorityType,78,0,0,0,7,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Callable() {...},11,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Callable() {...},11,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Callable() {...},11,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Callable() {...},11,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Action() {...},30,0,0,0,10,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Callable() {...},11,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Callable() {...},11,0,0,0,3,0,2,0,2,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.new Object() {...},40,0,0,0,1,0,1,0,1,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program,2395,0,260,0,477,0,172,0,39,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Interactivity,48,0,0,0,4,0,4,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.gitcredentialmanager,Program.ComponentFactory,74,0,6,0,20,0,7,0,4,0
Git Credential Manager for Mac and Linux,com.microsoft.alm.helpers,Trace,50,0,4,0,13,0,8,0,6,0
Git Credential Manager for Mac and Linux,org.slf4j.impl,TraceLogger,246,0,10,0,76,0,40,0,35,0
Git Credential Manager for Mac and Linux,org.slf4j.impl,TraceLoggerFactory,36,0,4,0,8,0,4,0,2,0
Git Credential Manager for Mac and Linux,org.slf4j.impl,StaticLoggerBinder,25,0,0,0,9,0,5,0,5,0
