GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.FirstDeclarationsOrNot,45,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,Formatter,335,0,12,0,74,0,17,0,11,0
Google Java Format,com.google.googlejavaformat.java,JavacTokens,187,0,20,0,32,0,13,0,3,0
Google Java Format,com.google.googlejavaformat.java,JavaInput.Token,39,0,0,0,13,0,5,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BracesOrNot,45,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,ModifierOrderer,275,0,41,0,71,0,33,0,7,0
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Builder,28,0,0,0,8,0,4,0,4,0
Google Java Format,com.google.googlejavaformat.java,Main,585,0,78,0,131,0,46,0,7,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.JavaCaseFormat,120,0,14,0,22,0,12,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BreakOrNot,45,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.new Object() {...},33,0,0,0,1,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.SnippetKind,58,0,0,0,5,0,4,0,4,0
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.UnusedImportScanner.DocTreeScanner,57,0,6,0,12,0,6,0,3,0
Google Java Format,com.google.googlejavaformat.java,Replacement,89,0,12,0,17,0,12,0,6,0
Google Java Format,com.google.googlejavaformat.java,ImportOrderer.StringAndIndex,9,0,0,0,4,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,JavacTokens.AccessibleScanner,5,0,0,0,2,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,FormatterException,46,0,0,0,11,0,7,0,7,0
Google Java Format,com.google.googlejavaformat.java,StringWrapper.new SimpleJavaFileObject() {...},11,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,JavaInput.new SimpleJavaFileObject() {...},11,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.new SimpleJavaFileObject() {...},11,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,CommandLineOptions.Builder,182,0,0,0,55,0,19,0,19,0
Google Java Format,com.google.googlejavaformat.java,StringWrapper.new TreePathScanner() {...},74,0,10,0,15,0,7,0,2,0
Google Java Format,com.google.googlejavaformat.java,DimensionHelpers.new Object() {...},19,0,0,0,1,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Style,46,0,0,0,7,0,5,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.Direction,45,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},20,0,3,0,5,0,4,0,2,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},24,0,5,0,7,0,6,0,2,0
Google Java Format,com.google.googlejavaformat.java,JavaOutput,884,0,114,0,182,0,75,0,17,0
Google Java Format,com.google.googlejavaformat.java,JavacTokens.CommentSavingTokenizer,27,0,0,0,4,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.DeclarationKind,48,0,0,0,4,0,4,0,4,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},22,0,4,0,6,0,5,0,2,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},9,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,UsageException,251,0,2,0,21,0,7,0,6,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},9,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.new Object() {...},33,0,0,0,1,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,Trees,138,0,14,0,30,0,18,0,11,0
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions,27,0,0,0,9,0,6,0,6,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.AllowTrailingBlankLine,44,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavacTokens.RawTok,27,0,0,0,10,0,5,0,5,0
Google Java Format,com.google.googlejavaformat.java,DimensionHelpers.TypeWithDims,9,0,0,0,4,0,1,0,1,0
