GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.FirstDeclarationsOrNot,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,Formatter,22,313,2,10,7,67,3,14,1,10
Google Java Format,com.google.googlejavaformat.java,JavacTokens,5,182,2,18,2,30,3,10,1,2
Google Java Format,com.google.googlejavaformat.java,JavaInput.Token,16,23,0,0,5,8,1,4,1,4
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BracesOrNot,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,ModifierOrderer,5,270,2,39,2,69,3,30,1,6
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Builder,0,28,0,0,0,8,0,4,0,4
Google Java Format,com.google.googlejavaformat.java,Main,211,374,29,49,47,84,25,21,2,5
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.JavaCaseFormat,6,114,1,13,0,22,2,10,1,4
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BreakOrNot,16,29,2,0,1,3,4,2,3,2
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.new Object() {...},4,29,0,0,0,1,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.SnippetKind,5,53,0,0,0,5,1,3,1,3
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.UnusedImportScanner.DocTreeScanner,51,6,6,0,11,1,5,1,2,1
Google Java Format,com.google.googlejavaformat.java,Replacement,21,68,6,6,3,14,7,5,1,5
Google Java Format,com.google.googlejavaformat.java,ImportOrderer.StringAndIndex,0,9,0,0,0,4,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,JavacTokens.AccessibleScanner,0,5,0,0,0,2,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,FormatterException,0,46,0,0,0,11,0,7,0,7
Google Java Format,com.google.googlejavaformat.java,StringWrapper.new SimpleJavaFileObject() {...},11,0,0,0,2,0,2,0,2,0
