GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.FirstDeclarationsOrNot,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,Formatter,61,274,6,6,14,60,7,10,1,10
Google Java Format,com.google.googlejavaformat.java,JavacTokens,17,170,3,17,2,30,4,9,1,2
Google Java Format,com.google.googlejavaformat.java,JavaInput.Token,16,23,0,0,5,8,1,4,1,4
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BracesOrNot,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,ModifierOrderer,5,270,2,39,2,69,3,30,1,6
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Builder,0,28,0,0,0,8,0,4,0,4
Google Java Format,com.google.googlejavaformat.java,Main,242,343,34,44,52,79,29,17,2,5
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.JavaCaseFormat,7,113,2,12,0,22,3,9,1,4
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BreakOrNot,16,29,2,0,1,3,4,2,3,2
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.new Object() {...},4,29,0,0,0,1,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.SnippetKind,58,0,0,0,5,0,4,0,4,0
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.UnusedImportScanner.DocTreeScanner,51,6,6,0,11,1,5,1,2,1
Google Java Format,com.google.googlejavaformat.java,Replacement,45,44,10,2,8,9,8,4,2,4
Google Java Format,com.google.googlejavaformat.java,ImportOrderer.StringAndIndex,0,9,0,0,0,4,0,1,0,1
