GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.FirstDeclarationsOrNot,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,Formatter,139,196,11,1,28,46,10,7,4,7
Google Java Format,com.google.googlejavaformat.java,JavacTokens,17,170,3,17,2,30,4,9,1,2
Google Java Format,com.google.googlejavaformat.java,JavaInput.Token,16,23,0,0,5,8,1,4,1,4
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BracesOrNot,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,ModifierOrderer,5,270,2,39,2,69,3,30,1,6
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Builder,0,28,0,0,0,8,0,4,0,4
Google Java Format,com.google.googlejavaformat.java,Main,388,197,55,23,80,51,40,6,3,4
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.JavaCaseFormat,14,106,6,8,2,20,6,6,1,4
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BreakOrNot,45,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.new Object() {...},4,29,0,0,0,1,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.SnippetKind,58,0,0,0,5,0,4,0,4,0
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.UnusedImportScanner.DocTreeScanner,51,6,6,0,11,1,5,1,2,1
Google Java Format,com.google.googlejavaformat.java,Replacement,45,44,10,2,8,9,8,4,2,4
Google Java Format,com.google.googlejavaformat.java,ImportOrderer.StringAndIndex,9,0,0,0,4,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,JavacTokens.AccessibleScanner,0,5,0,0,0,2,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,FormatterException,46,0,0,0,11,0,7,0,7,0
Google Java Format,com.google.googlejavaformat.java,StringWrapper.new SimpleJavaFileObject() {...},11,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,JavaInput.new SimpleJavaFileObject() {...},3,8,0,0,1,1,1,1,1,1
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.new SimpleJavaFileObject() {...},3,8,0,0,1,1,1,1,1,1
Google Java Format,com.google.googlejavaformat.java,CommandLineOptions.Builder,78,104,0,0,29,26,15,4,15,4
Google Java Format,com.google.googlejavaformat.java,StringWrapper.new TreePathScanner() {...},74,0,10,0,15,0,7,0,2,0
Google Java Format,com.google.googlejavaformat.java,DimensionHelpers.new Object() {...},2,17,0,0,0,1,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Style,9,37,0,0,0,7,2,3,2,3
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.Direction,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},13,7,3,0,4,1,3,1,1,1
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},10,14,4,1,4,3,4,2,0,2
Google Java Format,com.google.googlejavaformat.java,JavaOutput,168,716,33,81,39,143,29,46,3,14
Google Java Format,com.google.googlejavaformat.java,JavacTokens.CommentSavingTokenizer,0,27,0,0,0,4,0,2,0,2
