GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.FirstDeclarationsOrNot,16,29,2,0,1,3,4,2,3,2
Google Java Format,com.google.googlejavaformat.java,Formatter,139,196,11,1,28,46,10,7,4,7
Google Java Format,com.google.googlejavaformat.java,JavacTokens,43,144,6,14,5,27,7,6,1,2
Google Java Format,com.google.googlejavaformat.java,JavaInput.Token,16,23,0,0,5,8,1,4,1,4
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BracesOrNot,10,35,1,1,0,4,3,3,2,3
Google Java Format,com.google.googlejavaformat.java,ModifierOrderer,213,62,32,9,52,19,27,6,3,4
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Builder,10,18,0,0,4,4,2,2,2,2
Google Java Format,com.google.googlejavaformat.java,Main,585,0,78,0,131,0,46,0,7,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.JavaCaseFormat,120,0,14,0,22,0,12,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.BreakOrNot,45,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.new Object() {...},33,0,0,0,1,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.SnippetKind,58,0,0,0,5,0,4,0,4,0
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.UnusedImportScanner.DocTreeScanner,57,0,6,0,12,0,6,0,3,0
Google Java Format,com.google.googlejavaformat.java,Replacement,45,44,10,2,8,9,8,4,2,4
Google Java Format,com.google.googlejavaformat.java,ImportOrderer.StringAndIndex,9,0,0,0,4,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,JavacTokens.AccessibleScanner,0,5,0,0,0,2,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,FormatterException,46,0,0,0,11,0,7,0,7,0
Google Java Format,com.google.googlejavaformat.java,StringWrapper.new SimpleJavaFileObject() {...},11,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,JavaInput.new SimpleJavaFileObject() {...},3,8,0,0,1,1,1,1,1,1
Google Java Format,com.google.googlejavaformat.java,RemoveUnusedImports.new SimpleJavaFileObject() {...},11,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,CommandLineOptions.Builder,182,0,0,0,55,0,19,0,19,0
Google Java Format,com.google.googlejavaformat.java,StringWrapper.new TreePathScanner() {...},74,0,10,0,15,0,7,0,2,0
Google Java Format,com.google.googlejavaformat.java,DimensionHelpers.new Object() {...},19,0,0,0,1,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions.Style,9,37,0,0,0,7,2,3,2,3
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.Direction,16,29,2,0,1,3,4,2,3,2
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},20,0,3,0,5,0,4,0,2,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},24,0,5,0,7,0,6,0,2,0
Google Java Format,com.google.googlejavaformat.java,JavaOutput,194,690,43,71,45,137,37,38,3,14
Google Java Format,com.google.googlejavaformat.java,JavacTokens.CommentSavingTokenizer,0,27,0,0,0,4,0,2,0,2
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.DeclarationKind,48,0,0,0,4,0,4,0,4,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},22,0,4,0,6,0,5,0,2,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},9,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,UsageException,251,0,2,0,21,0,7,0,6,0
Google Java Format,com.google.googlejavaformat.java,TypeNameClassifier.TyParseState.new TypeNameClassifier.TyParseState() {...},9,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.new Object() {...},33,0,0,0,1,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,Trees,138,0,14,0,30,0,18,0,11,0
Google Java Format,com.google.googlejavaformat.java,JavaFormatterOptions,3,24,0,0,1,8,1,5,1,5
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.AllowTrailingBlankLine,44,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavacTokens.RawTok,3,24,0,0,1,9,1,4,1,4
Google Java Format,com.google.googlejavaformat.java,DimensionHelpers.TypeWithDims,9,0,0,0,4,0,1,0,1,0
Google Java Format,com.google.googlejavaformat.java,FormatFileCallable,145,0,16,0,30,0,12,0,4,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.AllowLeadingBlankLine,44,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.new Object() {...},23,151,0,0,0,3,0,1,0,1
Google Java Format,com.google.googlejavaformat.java,GoogleJavaFormatVersion,5,0,0,0,2,0,2,0,2,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.new TreeScanner() {...},54,0,11,0,13,0,8,0,2,0
Google Java Format,com.google.googlejavaformat.java,SnippetFormatter.SnippetWrapper,49,0,2,0,10,0,5,0,4,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor.DimensionsOrNot,45,0,2,0,4,0,6,0,5,0
Google Java Format,com.google.googlejavaformat.java,JavaInputAstVisitor,7682,383,896,25,1953,96,603,19,127,18
Google Java Format,com.google.googlejavaformat.java,ModifierOrderer.new Object() {...},12,77,0,0,0,1,0,1,0,1
