GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
== GreenMail Core ==,com.icegreen.greenmail.server,AbstractServer,102,416,9,19,21,107,9,30,0,25
== GreenMail Core ==,com.icegreen.greenmail.server,BuildInfo,9,21,0,0,0,2,2,3,2,3
== GreenMail Core ==,com.icegreen.greenmail.server,AbstractServer.new Runnable() {...},8,19,0,0,0,5,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.user,UserException,16,0,0,0,8,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.user,UserManager,74,121,16,6,13,27,15,10,4,10
== GreenMail Core ==,com.icegreen.greenmail.user,UserImpl,146,46,7,1,29,16,12,6,8,6
== GreenMail Core ==,com.icegreen.greenmail.user,NoSuchUserException,16,0,0,0,8,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,SmtpCommandRegistry,83,0,0,0,14,0,3,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,VrfyCommand,7,0,0,0,3,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,AuthCommand.AuthMechanism,28,0,0,0,2,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,SmtpCommand,8,0,0,0,2,0,1,0,1,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,NoopCommand,7,0,0,0,3,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,DataCommand,93,0,6,0,26,0,5,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,QuitCommand,21,0,0,0,5,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,RcptCommand,60,0,6,0,20,0,6,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,MailCommand,66,0,6,0,24,0,6,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,RsetCommand,9,0,0,0,4,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,HeloCommand,46,0,2,0,11,0,4,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,AuthCommand,186,0,18,0,43,0,15,0,6,0
== GreenMail Core ==,com.icegreen.greenmail.store,SimpleMessageAttributes,1342,0,118,0,300,0,81,0,22,0
== GreenMail Core ==,com.icegreen.greenmail.store,ListBasedStoredMessageCollection,284,34,23,1,53,8,23,4,11,4
== GreenMail Core ==,com.icegreen.greenmail.store,SimpleMessageAttributes.Header,204,0,18,0,38,0,14,0,5,0
== GreenMail Core ==,com.icegreen.greenmail.store,HierarchicalFolder,791,194,57,5,158,50,60,18,30,17
== GreenMail Core ==,com.icegreen.greenmail.store,FolderException,102,0,4,0,23,0,12,0,10,0
== GreenMail Core ==,com.icegreen.greenmail.store,StoredMessage.UidAwareMimeMessage,20,0,0,0,8,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.store,RootFolder,0,8,0,0,0,3,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.store,StoredMessage,140,0,0,0,31,0,10,0,10,0
== GreenMail Core ==,com.icegreen.greenmail.store,MapBasedStoredMessageCollection,346,0,30,0,77,0,28,0,13,0
== GreenMail Core ==,com.icegreen.greenmail.store,InMemoryStore,539,146,61,17,100,37,49,8,13,5
== GreenMail Core ==,com.icegreen.greenmail.store,MessageFlags,19,108,9,9,4,28,10,2,1,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.UidSearchTerm,24,0,2,0,8,0,3,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,DeleteCommand,45,0,4,0,12,0,4,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ExpungeCommand,65,0,10,0,19,0,8,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.NoopCharValidator,5,0,0,0,2,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,IdRange,306,0,38,0,59,0,33,0,14,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,AuthenticatedStateCommand,1,14,1,3,0,3,1,3,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,FetchCommand.FetchCommandParser,424,0,60,0,95,0,36,0,6,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StatusCommand.StatusCommandParser,109,0,14,0,24,0,10,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ListCommand.ListCommandParser,5,25,1,2,2,7,1,3,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,UnsubscribeCommand,27,0,0,0,8,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,NoopCommand,16,0,0,0,6,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.MessageSetCharValidator,19,0,8,0,2,0,6,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,QuotaRootCommand,102,0,6,0,19,0,5,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ImapCommandFactory,21,198,2,2,4,37,2,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.MessageNumberSearchTerm,10,0,0,0,3,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchCommandParser,369,0,82,0,87,0,43,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ListCommand,94,169,18,12,25,38,15,5,1,4
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoredMessageSorter,199,0,33,0,49,0,26,0,6,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SetQuotaCommand,91,0,4,0,20,0,4,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand.StoreCommandParser,71,0,8,0,18,0,6,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,QuotaCommand,152,0,12,0,34,0,11,0,5,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CloseCommand,5,22,1,1,2,8,1,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,LsubCommand,11,0,0,0,3,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,FetchCommand.FetchRequest,28,0,2,0,9,0,5,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand.StoreDirective,15,0,0,0,6,0,3,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.DigitCharValidator,16,0,6,0,2,0,5,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand,127,0,18,0,27,0,12,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StatusCommand.StatusDataItems,3,0,0,0,1,0,1,0,1,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoredMessageSorter.new Object() {...},61,0,0,0,1,0,1,0,1,0
