GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
== GreenMail Core ==,com.icegreen.greenmail.server,AbstractServer,102,416,9,19,21,107,9,30,0,25
== GreenMail Core ==,com.icegreen.greenmail.server,BuildInfo,9,21,0,0,0,2,2,3,2,3
== GreenMail Core ==,com.icegreen.greenmail.server,AbstractServer.new Runnable() {...},8,19,0,0,0,5,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.user,UserException,16,0,0,0,8,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.user,UserManager,44,151,13,9,6,34,12,13,2,12
== GreenMail Core ==,com.icegreen.greenmail.user,UserImpl,126,66,7,1,21,24,9,9,5,9
== GreenMail Core ==,com.icegreen.greenmail.user,NoSuchUserException,16,0,0,0,8,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,SmtpCommandRegistry,0,83,0,0,0,14,0,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,VrfyCommand,4,3,0,0,2,1,1,1,1,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,AuthCommand.AuthMechanism,5,23,0,0,0,2,1,3,1,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,SmtpCommand,0,8,0,0,0,2,0,1,0,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,NoopCommand,4,3,0,0,2,1,1,1,1,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,DataCommand,21,72,3,3,9,17,3,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,QuitCommand,0,21,0,0,0,5,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,RcptCommand,15,45,3,3,6,14,3,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,MailCommand,19,47,3,3,8,16,3,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,RsetCommand,6,3,0,0,3,1,1,1,1,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,HeloCommand,2,44,1,1,1,10,1,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,AuthCommand,153,33,16,2,37,6,11,4,3,3
== GreenMail Core ==,com.icegreen.greenmail.store,SimpleMessageAttributes,465,877,57,61,100,200,49,32,5,17
== GreenMail Core ==,com.icegreen.greenmail.store,ListBasedStoredMessageCollection,176,142,17,7,32,29,15,12,5,10
== GreenMail Core ==,com.icegreen.greenmail.store,SimpleMessageAttributes.Header,73,131,9,9,13,25,7,7,0,5
== GreenMail Core ==,com.icegreen.greenmail.store,HierarchicalFolder,601,384,46,16,110,98,47,31,20,27
== GreenMail Core ==,com.icegreen.greenmail.store,FolderException,102,0,4,0,23,0,12,0,10,0
== GreenMail Core ==,com.icegreen.greenmail.store,StoredMessage.UidAwareMimeMessage,10,10,0,0,4,4,3,1,3,1
== GreenMail Core ==,com.icegreen.greenmail.store,RootFolder,0,8,0,0,0,3,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.store,StoredMessage,83,57,0,0,13,18,2,8,2,8
== GreenMail Core ==,com.icegreen.greenmail.store,MapBasedStoredMessageCollection,346,0,30,0,77,0,28,0,13,0
== GreenMail Core ==,com.icegreen.greenmail.store,InMemoryStore,484,201,52,26,87,50,43,14,12,6
== GreenMail Core ==,com.icegreen.greenmail.store,MessageFlags,19,108,5,13,4,28,6,6,1,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.UidSearchTerm,24,0,2,0,8,0,3,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,DeleteCommand,45,0,4,0,12,0,4,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ExpungeCommand,65,0,10,0,19,0,8,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.NoopCharValidator,5,0,0,0,2,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,IdRange,252,54,32,6,47,12,27,6,9,5
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,AuthenticatedStateCommand,1,14,1,3,0,3,1,3,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,FetchCommand.FetchCommandParser,155,269,24,36,29,66,19,17,0,6
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StatusCommand.StatusCommandParser,109,0,14,0,24,0,10,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ListCommand.ListCommandParser,5,25,1,2,2,7,1,3,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,UnsubscribeCommand,27,0,0,0,8,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,NoopCommand,16,0,0,0,6,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.MessageSetCharValidator,10,9,7,1,0,2,4,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,QuotaRootCommand,102,0,6,0,19,0,5,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ImapCommandFactory,21,198,2,2,4,37,2,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.MessageNumberSearchTerm,10,0,0,0,3,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchCommandParser,369,0,82,0,87,0,43,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ListCommand,94,169,18,12,25,38,15,5,1,4
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoredMessageSorter,199,0,33,0,49,0,26,0,6,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SetQuotaCommand,91,0,4,0,20,0,4,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand.StoreCommandParser,71,0,8,0,18,0,6,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,QuotaCommand,152,0,12,0,34,0,11,0,5,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CloseCommand,5,22,1,1,2,8,1,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,LsubCommand,11,0,0,0,3,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,FetchCommand.FetchRequest,0,28,1,1,0,9,1,4,0,4
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand.StoreDirective,15,0,0,0,6,0,3,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.DigitCharValidator,16,0,6,0,2,0,5,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand,127,0,18,0,27,0,12,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StatusCommand.StatusDataItems,3,0,0,0,1,0,1,0,1,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoredMessageSorter.new Object() {...},61,0,0,0,1,0,1,0,1,0
