GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hosebird Client Core,com.twitter.hbc.core.endpoint,EnterpriseStreamingEndpoint,19,111,0,4,9,22,8,8,8,6
Hosebird Client Core,com.twitter.hbc.core.endpoint,StatusesFilterEndpoint,9,28,0,0,2,8,1,4,1,4
Hosebird Client Core,com.twitter.hbc.core.endpoint,StatusesFirehoseEndpoint,14,0,0,0,4,0,2,0,2,0
Hosebird Client Core,com.twitter.hbc.core.endpoint,StatusesSampleEndpoint,0,6,0,0,0,2,0,1,0,1
Hosebird Client Core,com.twitter.hbc.core.endpoint,ReplayEnterpriseStreamingEndpoint,6,76,0,0,2,10,2,3,2,3
Hosebird Client Core,com.twitter.hbc.core.endpoint,UserstreamEndpoint,37,6,6,0,17,2,7,1,4,1
Hosebird Client Core,com.twitter.hbc.core.endpoint,RealTimeEnterpriseStreamingEndpoint,0,13,0,0,0,4,0,2,0,2
Hosebird Client Core,com.twitter.hbc.core.endpoint,Location.Coordinate,3,25,0,0,1,6,1,3,1,3
Hosebird Client Core,com.twitter.hbc.core.endpoint,RawEndpoint,76,34,2,0,21,11,12,2,11,2
Hosebird Client Core,com.twitter.hbc.core.endpoint,SitestreamEndpoint,16,72,2,2,1,9,3,4,1,4
Hosebird Client Core,com.twitter.hbc.core.endpoint,DefaultStreamingEndpoint,18,61,4,4,7,22,4,8,2,6
Hosebird Client Core,com.twitter.hbc.core.endpoint,Location,6,26,0,0,2,5,2,2,2,2
Hosebird Client Core,com.twitter.hbc.core.endpoint,BaseEndpoint,7,121,0,2,2,29,1,14,1,13
Hosebird Client Core,com.twitter.hbc.httpclient,ControlStreamException,10,19,0,0,4,3,2,1,2,1
Hosebird Client Core,com.twitter.hbc.httpclient,RestartableHttpClient,124,26,4,0,22,7,14,1,12,1
Hosebird Client Core,com.twitter.hbc.httpclient,Connection,71,0,6,0,18,0,7,0,4,0
Hosebird Client Core,com.twitter.hbc.httpclient,BasicClient,125,44,5,1,30,10,14,2,11,2
Hosebird Client Core,com.twitter.hbc.httpclient,ClientBase,529,287,36,14,104,62,32,13,12,8
Hosebird Client Core,com.twitter.hbc.core.processor,StringDelimitedProcessor,85,0,12,0,25,0,11,0,5,0
Hosebird Client Core,com.twitter.hbc.core.processor,LineStringProcessor,36,0,4,0,12,0,6,0,4,0
Hosebird Client Core,com.twitter.hbc.core.processor,AbstractProcessor,31,0,2,0,10,0,4,0,3,0
Hosebird Client Core,com.twitter.hbc.core.event,Event,12,36,0,0,4,11,3,3,3,3
Hosebird Client Core,com.twitter.hbc.core.event,HttpResponseEvent,3,11,0,0,1,3,1,1,1,1
Hosebird Client Core,com.twitter.hbc.core.event,ConnectionEvent,3,9,0,0,1,3,1,1,1,1
Hosebird Client Core,com.twitter.hbc.core.event,EventType,21,89,0,0,1,17,2,2,2,2
Hosebird Client Core,com.twitter.hbc,ClientBuilder,95,193,1,1,26,50,12,9,11,9
Hosebird Client Core,com.twitter.hbc,BasicRateTracker.RateUpdater,20,159,0,8,2,37,1,10,1,6
Hosebird Client Core,com.twitter.hbc,BasicRateTracker,39,58,5,3,8,18,7,6,3,6
Hosebird Client Core,com.twitter.hbc,BasicReconnectionManager,28,100,3,5,8,24,6,10,3,9
Hosebird Client Core,com.twitter.hbc,SitestreamController,105,227,4,10,24,46,9,13,5,10
Hosebird Client Core,com.twitter.hbc.httpclient.auth,BasicAuth,13,13,0,0,5,4,2,1,2,1
Hosebird Client Core,com.twitter.hbc.httpclient.auth,OAuth1,306,0,12,0,56,0,12,0,6,0
Hosebird Client Core,com.twitter.hbc.core,StatsReporter,12,86,0,0,3,18,3,8,3,8
Hosebird Client Core,com.twitter.hbc.core,Constants,3,3,0,0,1,1,1,1,1,1
Hosebird Client Core,com.twitter.hbc.core,Constants.FilterLevel,21,48,0,0,1,10,2,3,2,3
Hosebird Client Core,com.twitter.hbc.core,HttpHosts,2,78,1,7,0,17,1,7,0,4
Hosebird Client Core,com.twitter.hbc.core,HttpConstants,29,84,7,9,4,24,7,6,2,3
Hosebird Client Core,com.twitter.hbc.core,HttpConstants.Codes,6,0,0,0,1,0,1,0,1,0
Hosebird Client Core,com.twitter.hbc.core,Constants.DisconnectCode,6,0,0,0,1,0,1,0,1,0
Hosebird Client Core,com.twitter.hbc.core,StatsReporter.StatsTracker,35,16,0,0,7,3,7,3,7,3
Hosebird Client Core,com.twitter.hbc.common,DelimitedStreamReader,4,408,8,46,0,88,8,28,0,9
Hosebird Client Core,com.twitter.hbc.common,IOUtils,3,48,0,4,1,10,1,3,1,1
