GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch,ElasticsearchExtension,100,0,14,0,26,0,17,0,10,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch,ElasticsearchVersion,25,157,4,26,4,33,5,19,2,7
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchIndexFieldTypeFactoryImpl,297,0,42,0,75,0,49,0,28,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchNativeIndexFieldTypeMappingStepImpl,35,0,0,0,8,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchIntegerIndexFieldTypeOptionsStep,10,0,0,0,4,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchDoubleIndexFieldTypeOptionsStep,10,0,0,0,4,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,AbstractElasticsearchTemporalIndexFieldTypeOptionsStep,25,0,0,0,7,0,2,0,2,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchOffsetDateTimeIndexFieldTypeOptionsStep,12,0,0,0,4,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,AbstractElasticsearchScalarFieldTypeOptionsStep,71,0,0,0,10,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchShortIndexFieldTypeOptionsStep,10,0,0,0,4,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,AbstractElasticsearchIndexFieldTypeOptionsStep,77,0,4,0,16,0,11,0,9,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchOffsetTimeIndexFieldTypeOptionsStep,12,0,0,0,4,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchZonedDateTimeIndexFieldTypeOptionsStep,12,0,0,0,4,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchLongIndexFieldTypeOptionsStep,10,0,0,0,4,0,3,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,AbstractElasticsearchSimpleStandardFieldTypeOptionsStep,118,0,6,0,30,0,10,0,7,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchGeoPointIndexFieldTypeOptionsStep,63,0,4,0,9,0,5,0,3,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,AbstractElasticsearchStandardIndexFieldTypeOptionsStep.new Object() {...},101,0,0,0,4,0,1,0,1,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchBigDecimalIndexFieldTypeOptionsStep,69,0,4,0,16,0,8,0,6,0
Hibernate Search Backend - Elasticsearch,org.hibernate.search.backend.elasticsearch.types.dsl.impl,ElasticsearchBooleanIndexFieldTypeOptionsStep,20,0,0,0,5,0,4,0,4,0
