GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.scope.model.impl,LuceneSucceedingCompatibilityChecker,6,0,0,0,3,0,3,0,3,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.scope.model.impl,LuceneScopeModel,447,0,48,0,121,0,37,0,13,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.scope.model.impl,LuceneFailingFieldCompatibilityChecker,32,0,0,0,9,0,3,0,3,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.scope.model.impl,LuceneScopedIndexFieldComponent,34,0,0,0,12,0,7,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.scope.model.impl,LuceneScopedIndexRootComponent,22,0,0,0,8,0,5,0,5,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.scope.model.impl,LuceneFailingIdCompatibilityChecker,29,0,0,0,8,0,4,0,4,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.multitenancy,MultiTenancyStrategyName,62,0,0,0,10,0,6,0,6,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneGeoPointSpatialWithinBoundingBoxPredicateBuilder,24,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneTextMatchPredicateBuilder,146,0,12,0,32,0,12,0,6,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneObjectPredicateBuilderFactoryImpl,134,0,18,0,31,0,13,0,4,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneTextRangePredicateBuilder,67,0,8,0,9,0,6,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneNumericRangePredicateBuilder,75,0,8,0,14,0,8,0,4,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,AbstractLuceneFieldPredicateBuilderFactory,95,0,6,0,29,0,16,0,13,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneExistsCompositePredicateBuilder,41,0,2,0,9,0,4,0,3,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneGeoPointSpatialWithinPolygonPredicateBuilder,58,0,2,0,10,0,3,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneExistsPredicateBuilder,17,0,0,0,6,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneTextPhrasePredicateBuilder,110,0,8,0,29,0,11,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneNumericFieldPredicateBuilderFactory,41,0,0,0,6,0,3,0,3,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneSimpleQueryStringPredicateBuilderFieldState,27,0,2,0,9,0,5,0,4,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,AbstractLuceneStandardFieldPredicateBuilderFactory,28,0,0,0,10,0,3,0,3,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneGeoPointSpatialWithinCirclePredicateBuilder,16,0,0,0,3,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneTextFieldPredicateBuilderFactory,95,0,2,0,17,0,8,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneGeoPointFieldPredicateBuilderFactory,56,0,0,0,17,0,9,0,9,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneNumericMatchPredicateBuilder,20,0,0,0,3,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.types.predicate.impl,LuceneTextWildcardPredicateBuilder,31,0,0,0,8,0,3,0,3,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneCompositeBiFunctionProjection,27,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneDocumentProjection,24,0,0,0,11,0,7,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneEntityReferenceProjectionBuilder,12,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneFieldProjection,75,0,0,0,21,0,7,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneDistanceToFieldProjectionBuilder,37,0,0,0,10,0,3,0,3,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneScoreProjectionBuilder,12,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneDocumentReferenceProjection,24,0,0,0,11,0,7,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneEntityProjectionBuilder,12,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,AbstractLuceneCompositeProjection,128,0,8,0,23,0,11,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneSearchProjectionBuilderFactory.ProjectionBuilderFactoryRetrievalStrategy,23,0,0,0,6,0,6,0,6,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneDistanceToFieldProjection,133,0,10,0,32,0,16,0,11,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneFieldProjectionBuilder,32,0,0,0,8,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneScoreProjection,23,0,0,0,10,0,7,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneDocumentReferenceProjectionBuilder,12,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneEntityProjection,34,0,2,0,14,0,8,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneCompositeFunctionProjection,20,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneReferenceProjection,26,0,0,0,11,0,7,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,SearchProjectionTransformContext,23,0,0,0,10,0,5,0,5,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneCompositeTriFunctionProjection,34,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneCompositeListProjection,18,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneExplanationProjection,26,0,0,0,11,0,7,0,7,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,SearchProjectionExtractContext,46,0,0,0,12,0,5,0,5,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneSearchProjectionBuilderFactory,226,0,8,0,40,0,19,0,15,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneDocumentProjectionBuilder,12,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneSearchProjectionBuilderFactory.new Object() {...},19,0,0,0,1,0,1,0,1,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneCompositeProjectionBuilder,9,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneExplanationProjectionBuilder,12,0,0,0,4,0,2,0,2,0
Hibernate Search Backend - Lucene,org.hibernate.search.backend.lucene.search.projection.impl,LuceneSearchProjection,6,0,0,0,1,0,1,0,1,0
