GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search Engine,org.hibernate.search.engine.cfg,IndexSettings,3,0,0,0,2,0,1,0,1,0
Hibernate Search Engine,org.hibernate.search.engine.cfg,EngineSettings.Radicals,3,0,0,0,2,0,1,0,1,0
Hibernate Search Engine,org.hibernate.search.engine.cfg,ConfigurationPropertyCheckingStrategyName,62,0,0,0,10,0,6,0,6,0
Hibernate Search Engine,org.hibernate.search.engine.cfg,BackendSettings,3,0,0,0,2,0,1,0,1,0
Hibernate Search Engine,org.hibernate.search.engine.cfg,EngineSettings,3,0,0,0,2,0,1,0,1,0
Hibernate Search Engine,org.hibernate.search.engine.cfg,EngineSettings.Defaults,10,0,0,0,5,0,2,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.spi,AbstractPredicateFinalStep,19,0,2,0,6,0,3,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.spi,DelegatingSearchPredicateFactory,67,0,0,0,18,0,16,0,16,0
Hibernate Search Engine,org.hibernate.search.engine.backend.work.execution.spi,IndexIndexingPlanExecutionReport,75,0,10,0,17,0,10,0,5,0
Hibernate Search Engine,org.hibernate.search.engine.backend.work.execution.spi,IndexIndexingPlan,14,0,0,0,4,0,3,0,3,0
Hibernate Search Engine,org.hibernate.search.engine.backend.work.execution.spi,IndexIndexingPlanExecutionReport.Builder,64,0,8,0,17,0,9,0,5,0
Hibernate Search Engine,org.hibernate.search.engine.logging.spi,MappingKeyFormatter,10,0,0,0,4,0,2,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.logging.spi,SimpleNameClassFormatter,10,0,0,0,4,0,2,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.logging.spi,MappableTypeModelFormatter,10,0,0,0,4,0,2,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.logging.spi,AggregationKeyFormatter,10,0,0,0,4,0,2,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,MaskedConfigurationPropertySource,24,63,0,0,6,9,1,4,1,4
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,MapConfigurationPropertySource,68,0,6,0,19,0,8,0,5,0
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,OptionalPropertyContextImpl,9,47,0,0,1,9,1,7,1,7
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,PrefixedConfigurationPropertySource,103,0,4,0,20,0,7,0,5,0
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,AbstractConfigurationProperty,5,77,2,2,2,18,2,7,0,7
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,EngineConfigurationUtils,3,18,0,0,2,3,1,3,1,3
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,DefaultedConfigurationProperty,0,22,0,0,0,6,0,2,0,2
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,DefaultedPropertyContextImpl,0,22,0,0,0,6,0,2,0,2
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,OptionalConfigurationPropertyImpl,17,48,0,0,1,7,2,7,2,7
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,FallbackConfigurationPropertySource,29,24,0,2,7,8,2,3,2,2
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,KeyContextImpl,26,32,0,0,3,6,4,5,4,5
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,OverriddenConfigurationPropertySource,53,0,2,0,15,0,5,0,4,0
Hibernate Search Engine,org.hibernate.search.engine.cfg.impl,EmptyConfigurationPropertySource,31,0,0,0,11,0,8,0,8,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.impl,PhrasePredicateFieldMoreStepImpl,90,0,4,0,21,0,9,0,7,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.impl,PhrasePredicateFieldMoreStepImpl.CommonState,134,0,20,0,31,0,16,0,6,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.impl,DefaultSearchPredicateFactory,98,0,0,0,20,0,15,0,15,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.impl,MatchPredicateFieldStepImpl,17,0,0,0,4,0,2,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.impl,SpatialPredicateInitialStepImpl,12,0,0,0,4,0,2,0,2,0
Hibernate Search Engine,org.hibernate.search.engine.search.predicate.dsl.impl,MatchAllPredicateOptionsStepImpl.MatchAllExceptState,59,0,2,0,13,0,5,0,4,0
