GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.repository.indexsearch,IndexSearchDocumentRepositoryImpl,214,112,27,3,45,26,26,12,11,12
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.repository.indexsearch,IndexSearchPersonRepositoryImpl,45,47,2,2,8,7,8,4,6,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.repository.indexsearch,IndexSearchLibraryRepositoryImpl,144,40,14,2,35,8,13,4,5,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,AdminService,0,8,0,0,0,2,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,LibraryService,9,82,0,0,1,17,1,5,1,5
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,BorrowalService,38,96,0,0,3,17,4,8,4,8
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,DocumentService,17,55,0,0,2,8,2,8,2,8
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library,Application,0,3,0,0,0,1,0,1,0,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.attributeconverter,ISBNAttributeConverter,4,15,2,2,0,3,2,3,0,3
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,ISBNBridge,17,8,3,1,2,3,4,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,AccountBorrowalSummaryBridge.Binder,0,17,0,0,0,6,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,MultiKeywordStringBridge.Binder,5,40,2,2,1,11,2,4,0,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,AccountBorrowalSummaryBridge.new Object() {...},2,17,0,0,0,1,0,1,0,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,AccountBorrowalSummaryBridge,1,108,2,5,1,29,2,7,0,5
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,MultiKeywordStringBridge,0,50,1,3,0,13,1,4,0,3
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,ISBNBridge.Binder,0,16,0,0,0,4,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.dto,LibraryFacetedSearchResult,27,0,0,0,10,0,5,0,5,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Video,0,11,0,0,0,4,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Person,30,26,0,0,12,11,6,5,6,5
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,VideoMedium,9,39,0,0,0,4,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,BorrowalType,5,33,0,0,0,3,1,3,1,3
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,DocumentCopy,22,25,0,0,4,9,3,6,3,6
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,LibraryServiceOption,9,49,0,0,0,5,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,ISBN,5,22,2,2,1,5,3,3,1,3
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Library,44,45,0,0,18,13,12,4,12,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Borrowal,37,21,0,0,11,9,7,4,7,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,VideoCopy,3,7,0,0,1,3,1,2,1,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Account,25,25,0,0,8,8,5,4,5,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Document,39,38,0,0,17,12,11,4,11,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Book,7,17,0,0,3,5,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,AbstractEntity,29,26,1,5,8,7,3,4,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,BookMedium,9,29,0,0,0,3,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,BookCopy,3,7,0,0,1,3,1,2,1,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge.annotation,MultiKeywordStringBinding.Processor,0,17,0,0,0,5,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.analysis,ElasticsearchLibraryAnalysisConfigurer,41,3,0,0,8,1,1,1,1,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.analysis,LibraryAnalyzers,3,0,0,0,2,0,1,0,1,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.analysis,LuceneLibraryAnalysisConfigurer,0,34,0,0,0,10,0,2,0,2
