GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.repository.indexsearch,IndexSearchDocumentRepositoryImpl,300,26,29,1,65,6,34,4,19,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.repository.indexsearch,IndexSearchPersonRepositoryImpl,89,3,4,0,14,1,11,1,9,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.repository.indexsearch,IndexSearchLibraryRepositoryImpl,181,3,16,0,42,1,16,1,8,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,AdminService,5,3,0,0,1,1,1,1,1,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,LibraryService,88,3,0,0,17,1,5,1,5,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,BorrowalService,131,3,0,0,19,1,11,1,11,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.service,DocumentService,64,8,0,0,8,2,8,2,8,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library,Application,0,3,0,0,0,1,0,1,0,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.attributeconverter,ISBNAttributeConverter,4,15,2,2,0,3,2,3,0,3
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,ISBNBridge,17,8,3,1,2,3,4,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,AccountBorrowalSummaryBridge.Binder,0,17,0,0,0,6,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,MultiKeywordStringBridge.Binder,5,40,2,2,1,11,2,4,0,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,AccountBorrowalSummaryBridge.new Object() {...},19,0,0,0,1,0,1,0,1,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,AccountBorrowalSummaryBridge,58,51,7,0,17,13,5,4,1,4
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,MultiKeywordStringBridge,0,50,1,3,0,13,1,4,0,3
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge,ISBNBridge.Binder,0,16,0,0,0,4,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.dto,LibraryFacetedSearchResult,27,0,0,0,10,0,5,0,5,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Video,11,0,0,0,4,0,2,0,2,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Person,56,0,0,0,23,0,11,0,11,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,VideoMedium,9,39,0,0,0,4,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,BorrowalType,9,29,0,0,0,3,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,DocumentCopy,39,8,0,0,11,2,8,1,8,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,LibraryServiceOption,9,49,0,0,0,5,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,ISBN,5,22,2,2,1,5,3,3,1,3
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Library,89,0,0,0,31,0,16,0,16,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Borrowal,55,3,0,0,18,2,10,1,10,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,VideoCopy,7,3,0,0,3,1,2,1,2,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Account,42,8,0,0,13,3,8,1,8,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Document,45,32,0,0,19,10,13,2,13,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,Book,7,17,0,0,3,5,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,AbstractEntity,52,3,6,0,14,1,6,1,3,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,BookMedium,9,29,0,0,0,3,2,2,2,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.model,BookCopy,7,3,0,0,3,1,2,1,2,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.bridge.annotation,MultiKeywordStringBinding.Processor,0,17,0,0,0,5,0,2,0,2
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.analysis,ElasticsearchLibraryAnalysisConfigurer,41,3,0,0,8,1,1,1,1,1
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.analysis,LibraryAnalyzers,3,0,0,0,2,0,1,0,1,0
Hibernate Search Integration Tests - Showcase - Library,org.hibernate.search.integrationtest.showcase.library.analysis,LuceneLibraryAnalysisConfigurer,0,34,0,0,0,10,0,2,0,2
