GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.work.impl,SearchIndexingPlanImpl,92,0,4,0,30,0,12,0,10,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.work.impl,SearchIndexingPlanExecutionReportImpl,92,0,10,0,23,0,12,0,7,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.work.impl,SearchWorkspaceImpl,33,0,0,0,12,0,7,0,7,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,MutableEntityLoadingOptions,17,0,0,0,7,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,HibernateOrmCriteriaEntityLoader,127,0,4,0,29,0,7,0,5,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,HibernateOrmByIdEntityLoader.new Object() {...},26,0,0,0,1,0,1,0,1,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,HibernateOrmComposableEntityLoader,33,0,2,0,7,0,2,0,1,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,HibernateOrmByIdEntityLoader,216,0,22,0,54,0,20,0,9,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,HibernateOrmByIdEntityLoader.Factory,195,0,22,0,49,0,20,0,8,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,HibernateOrmByTypeEntityLoader,121,0,8,0,26,0,9,0,5,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,PersistenceContextThenSecondLevelCacheLookupStrategy,92,0,8,0,27,0,8,0,4,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,HibernateOrmCriteriaEntityLoader.Factory,161,0,16,0,29,0,14,0,6,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,EntityLoaderBuilder,166,0,10,0,37,0,11,0,6,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.impl,PersistenceContextLookupStrategy,34,0,0,0,9,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session,SearchSession,40,0,0,0,7,0,7,0,7,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session,AutomaticIndexingSynchronizationStrategy,6,0,0,0,3,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.spi,HibernateOrmIntegrationBooter,6,0,0,0,1,0,1,0,1,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateOrmContainedBeanBeanHolderAdapter,19,0,2,0,7,0,4,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateSearchSessionFactoryObserver,35,0,2,0,12,0,4,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateOrmBeanContainerBeanProvider,55,0,0,0,13,0,5,0,5,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateOrmIntegrationBooterImpl,419,0,20,0,112,0,28,0,18,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateOrmClassLoaderServiceClassAndResourceAndServiceResolver,102,0,6,0,28,0,9,0,6,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateSearchIntegrator,215,0,4,0,56,0,7,0,5,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateSearchIntegrator.KeepIfSameClassDuplicationStrategy,22,0,4,0,5,0,5,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,ExtendedBeanManagerSynchronizer,55,0,4,0,15,0,7,0,5,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateOrmIntegrationBooterImpl.HibernateOrmIntegrationPartialBuildState,25,0,0,0,7,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateOrmBeanContainerBeanProvider.new BeanContainer.LifecycleOptions() {...},7,0,0,0,3,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.bootstrap.impl,HibernateOrmBeanContainerBeanProvider.new BeanInstanceProducer() {...},24,0,0,0,4,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.context.impl,HibernateOrmSessionContextImpl,13,12,0,0,4,5,4,1,4,1
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,InTransactionWorkQueueSynchronization,48,0,0,0,13,0,4,0,4,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,SynchronizationAdapter,87,0,6,0,30,0,11,0,8,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,HibernateOrmSearchSession,411,0,26,0,109,0,43,0,30,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,QueuedAutomaticIndexingSynchronizationStrategy,98,0,8,0,27,0,10,0,6,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,LazyInitSearchSession,72,0,2,0,18,0,13,0,12,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,HibernateOrmSearchSession.SearchSessionClosingListener,26,0,4,0,10,0,4,0,2,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,PostTransactionWorkQueueSynchronization,68,0,2,0,19,0,5,0,4,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,ConfiguredAutomaticIndexingSynchronizationStrategy.Builder,50,0,0,0,19,0,7,0,7,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,HibernateOrmSearchSession.HibernateOrmSearchSessionBuilder,38,0,0,0,9,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,SearchableAutomaticIndexingSynchronizationStrategy,51,0,0,0,13,0,6,0,6,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,ConfiguredAutomaticIndexingSynchronizationStrategy,36,0,0,0,12,0,4,0,4,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.session.impl,CommittedAutomaticIndexingSynchronizationStrategy,51,0,0,0,13,0,6,0,6,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.logging.impl,HibernateOrmEventContextMessages_.bundle,24,0,0,0,7,0,6,0,6,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.logging.impl,Log_.logger,816,0,0,0,148,0,84,0,84,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.query.dsl.impl,HibernateOrmSearchQueryHitTypeStepImpl,19,0,0,0,7,0,3,0,3,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.context.impl,HibernateOrmLoadingContext,36,0,0,0,13,0,5,0,5,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.search.loading.context.impl,HibernateOrmLoadingContext.Builder,53,0,0,0,14,0,4,0,4,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.massindexing.monitor.impl,SimpleIndexingProgressMonitor,132,0,6,0,33,0,13,0,10,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmRawTypeIdentifierResolver.Builder,62,0,0,0,14,0,4,0,4,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmBootstrapIntrospector,318,0,23,0,76,0,26,0,14,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmBasicTypeMetadataProvider,385,0,32,0,107,0,33,0,17,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmBasicTypeMetadataProvider.Builder,34,0,0,0,7,0,2,0,2,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmBasicDynamicMapTypeMetadata,22,0,0,0,7,0,4,0,4,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmRawTypeIdentifierResolver,69,0,2,0,18,0,9,0,8,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmBasicDynamicMapPropertyMetadata,9,0,0,0,4,0,2,0,2,0
Hibernate Search ORM Integration,org.hibernate.search.mapper.orm.model.impl,HibernateOrmPathFilterFactory,357,0,78,0,89,0,47,0,8,0
