GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.mapping.definition.annotation.processing,TypeMappingAnnotationProcessorRef.UndefinedProcessorImplementationType,3,0,0,0,2,0,1,0,1,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.mapping.definition.annotation.processing,PropertyMappingAnnotationProcessorRef.UndefinedProcessorImplementationType,3,0,0,0,2,0,1,0,1,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.path.spi,StringSetPojoPathFilter,57,0,6,0,14,0,6,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.path.spi,PojoPathFilter,2,0,0,0,1,0,1,0,1,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.path.spi,EmptyPojoPathFilter,12,0,0,0,4,0,4,0,4,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.additionalmetadata.building.impl,PojoIndexedTypeAdditionalMetadataBuilder,50,0,4,0,11,0,7,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.additionalmetadata.building.impl,PojoPropertyAdditionalMetadataBuilder,112,0,4,0,23,0,10,0,8,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.additionalmetadata.building.impl,PojoTypeAdditionalMetadataBuilder,141,0,10,0,27,0,14,0,9,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.additionalmetadata.building.impl,PojoEntityTypeAdditionalMetadataBuilder,49,0,2,0,14,0,7,0,6,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.additionalmetadata.building.impl,PojoTypeAdditionalMetadataProvider,69,0,0,0,16,0,5,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.additionalmetadata.building.impl,PojoValueAdditionalMetadataBuilder,68,0,0,0,21,0,8,0,8,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,MapKeyExtractor,11,0,2,0,2,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,OptionalLongValueExtractor,17,0,4,0,5,0,5,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,CollectionElementExtractor,10,0,2,0,2,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,ArrayElementExtractor,10,0,2,0,2,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,MapValueExtractor,11,0,2,0,2,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,OptionalValueExtractor,16,0,2,0,3,0,4,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,IterableElementExtractor,12,0,2,0,2,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,OptionalDoubleValueExtractor,17,0,4,0,5,0,5,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.builtin.impl,OptionalIntValueExtractor,17,0,4,0,5,0,5,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.reporting.impl,PojoEventContextMessages_.bundle,59,0,0,0,11,0,10,0,10,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.reporting.impl,PojoEventContexts,35,0,0,0,7,0,6,0,6,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.reporting.impl,PojoEventContexts.new AbstractSimpleEventContextElement() {...},15,0,2,0,3,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.reporting.impl,PojoEventContexts.new AbstractSimpleEventContextElement() {...},11,0,0,0,3,0,2,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.reporting.impl,PojoEventContexts.new AbstractSimpleEventContextElement() {...},8,0,0,0,2,0,2,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.impl,PojoIndexingProcessor,13,0,0,0,4,0,4,0,4,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.impl,PojoIndexingProcessorPropertyNode,183,0,16,0,32,0,13,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.impl,PojoIndexingProcessorContainerElementNode,179,0,20,0,25,0,16,0,6,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.impl,NoOpPojoIndexingProcessor,19,0,0,0,6,0,5,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.impl,PojoIndexingProcessorTypeNode,204,0,20,0,38,0,15,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.impl,PojoIndexingProcessorValueBridgeNode,106,0,8,0,16,0,9,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.mapping.definition.annotation.impl,AnnotationMappingConfigurationContextImpl.PojoAnnotationTypeMetadataDiscoverer,26,0,2,0,9,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.mapping.definition.annotation.impl,AnnotationMappingConfigurationContextImpl,104,0,4,0,30,0,8,0,6,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.mapping.definition.annotation.impl,AnnotationPojoTypeMetadataContributorFactory,310,0,36,0,67,0,26,0,8,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.logging.spi,OptionalEmptyAsDefaultFormatter,16,0,2,0,4,0,3,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.logging.spi,PojoModelPathFormatter,0,10,0,0,0,4,0,2,0,2
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.logging.spi,PojoTypeModelFormatter,0,10,0,0,0,4,0,2,0,2
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.building.impl,PojoIndexingProcessorValueNodeBuilderDelegate,319,0,22,0,63,0,25,0,14,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.building.impl,PojoIndexingProcessorTypeNodeBuilder,268,0,24,0,51,0,24,0,12,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.building.impl,AbstractPojoProcessorNodeBuilder,50,0,2,0,14,0,4,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.building.impl,PojoIndexingProcessorPropertyNodeBuilder,360,0,36,0,79,0,30,0,12,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.processing.building.impl,PojoIndexingProcessorContainerElementNodeBuilder,126,0,10,0,23,0,11,0,6,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.dependency,PojoOtherEntityIndexingDependencyConfigurationContext,5,0,0,0,1,0,1,0,1,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.dependency,PojoTypeIndexingDependencyConfigurationContext,11,0,0,0,2,0,2,0,2,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.model.dependency,PojoPropertyIndexingDependencyConfigurationContext,28,0,0,0,6,0,5,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.impl,ContainerExtractorBinder,284,6,22,0,65,1,21,1,10,1
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.impl,ContainerExtractorHolder,62,0,8,0,9,0,7,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.impl,ChainingContainerExtractor,80,0,8,0,19,0,9,0,5,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.impl,ContainerExtractorBinder.SingleExtractorContributor,49,0,4,0,14,0,5,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.impl,ContainerExtractorBinder.FirstMatchingExtractorContributor,38,0,4,0,10,0,5,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.impl,BoundContainerExtractorPath,3,25,0,0,1,9,1,4,1,4
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.impl,ContainerExtractorBinder.ExtractorResolutionState,34,0,0,0,10,0,3,0,3,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.extractor.mapping.programmatic,ContainerExtractorPath,50,90,11,7,12,22,11,10,2,10
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.mapping.impl,PojoContainedTypeManagerContainer,34,0,0,0,7,0,4,0,4,0
Hibernate Search Mapper - POJO Base,org.hibernate.search.mapper.pojo.mapping.impl,PojoContainedTypeManagerContainer.Builder,73,0,8,0,10,0,8,0,4,0
