GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,CollectionHelper,167,0,17,0,42,0,25,0,14,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,StreamHelper,81,0,8,0,18,0,13,0,9,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,AbstractCloser.State,0,18,0,2,0,6,0,3,0,2
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,ReflectionHelper,69,0,2,0,17,0,4,0,3,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,CancellableExecutionCompletableFuture,0,22,0,0,0,5,0,2,0,2
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,ToStringTreeBuilder,27,401,5,64,4,107,5,48,0,18
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,ToStringTreeBuilder.new Object() {...},4,29,0,0,0,1,0,1,0,1
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,Closer,0,28,0,0,0,10,0,6,0,6
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,CancellableExecutionCompletableFuture.CompletingRunnable,0,35,0,2,0,12,0,3,0,2
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,TimeHelper,28,0,2,0,9,0,3,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,ToStringTreeBuilder.StructureType,5,53,0,0,0,5,1,3,1,3
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,AbstractCloser,0,60,0,6,0,14,0,7,0,4
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,StringHelper,120,18,18,8,32,2,14,6,5,2
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,TransientReference,9,0,0,0,4,0,2,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,ToStringStyle,0,86,0,0,0,18,0,5,0,5
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,SuppressingCloser,0,36,0,0,0,9,0,6,0,6
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,Contracts,47,13,16,2,17,4,14,3,6,2
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,Throwables,115,0,22,0,33,0,17,0,6,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,Closer.CloseableState,4,36,1,7,1,10,1,5,0,2
Hibernate Search Utils - Common,org.hibernate.search.util.common.impl,Futures,172,3,12,0,53,2,27,1,21,1
Hibernate Search Utils - Common,org.hibernate.search.util.common.data,Range.new Object() {...},19,0,0,0,1,0,1,0,1,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.data,RangeBoundInclusion,38,0,0,0,3,0,4,0,4,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.data,Range,259,0,26,0,52,0,31,0,17,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,MessageConstants,3,0,0,0,2,0,1,0,1,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,LoggerFactory,8,8,0,0,3,2,2,1,2,1
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,EventContextFormatter,10,0,0,0,4,0,2,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,DefaultLogCategories,9,0,0,0,3,0,2,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,Log_.logger,283,45,0,0,45,12,24,6,24,6
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,TypeFormatter,25,0,4,0,8,0,4,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,LogCategory,12,0,0,0,5,0,3,0,3,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,ClassFormatter,14,0,2,0,4,0,3,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,EnumFormatter,10,0,0,0,4,0,2,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.logging.impl,ToStringTreeAppendableMultilineFormatter,15,0,0,0,4,0,2,0,2,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.impl,FieldValueReadHandle,66,0,4,0,13,0,8,0,6,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.impl,GenericTypeContext,93,247,15,29,15,54,14,18,3,7
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.impl,MethodValueReadHandle,87,0,6,0,18,0,9,0,6,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.impl,MethodHandleValueReadHandle,77,0,6,0,18,0,9,0,6,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.impl,ReflectionUtils,29,101,2,18,4,27,3,11,1,3
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.spi,AbstractTypeOrdering,83,0,8,0,25,0,11,0,7,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.spi,MethodHandleValueReadHandleFactory,18,6,0,0,2,3,2,1,2,1
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.spi,MemberValueReadHandleFactory,10,3,0,0,2,1,2,1,2,1
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.spi,ValueReadHandleFactory,0,9,0,0,0,2,0,2,0,2
Hibernate Search Utils - Common,org.hibernate.search.util.common.reflect.spi,AnnotationHelper,95,0,10,0,29,0,9,0,4,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reporting.impl,AbstractSimpleEventContextElement,46,0,6,0,8,0,8,0,5,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reporting.impl,CommonEventContextMessages_.bundle,34,0,0,0,9,0,8,0,8,0
Hibernate Search Utils - Common,org.hibernate.search.util.common.reporting,EventContext,208,0,18,0,39,0,22,0,13,0
Hibernate Search Utils - Common,org.hibernate.search.util.common,AssertionFailure,13,0,0,0,6,0,3,0,3,0
Hibernate Search Utils - Common,org.hibernate.search.util.common,SearchException,65,0,2,0,18,0,9,0,8,0
