GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Actuator,io.spring.initializr.actuate.info,DependencyRangesInfoContributor,112,72,20,8,24,18,15,7,4,4
Spring Initializr :: Actuator,io.spring.initializr.actuate.info,BomRangesInfoContributor,0,66,2,4,0,16,2,5,0,4
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.ClientInformation,90,0,4,0,12,0,8,0,6,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument,250,0,2,0,49,0,29,0,28,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,StatsProperties.Elastic,72,0,4,0,25,0,16,0,14,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.InvalidDependencyInformation,28,0,0,0,7,0,4,0,4,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.ErrorStateInformation,127,0,0,0,25,0,15,0,15,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,StatsProperties,11,0,0,0,3,0,2,0,2,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectGenerationStatPublisher,195,0,6,0,44,0,13,0,10,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocumentFactory,310,0,48,0,65,0,34,0,10,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.VersionInformation,89,0,2,0,11,0,6,0,5,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.stat,ProjectRequestDocument.DependencyInformation,74,0,2,0,14,0,7,0,6,0
Spring Initializr :: Actuator,io.spring.initializr.actuate.autoconfigure,InitializrActuatorEndpointsAutoConfiguration,0,13,0,0,0,3,0,3,0,3
Spring Initializr :: Actuator,io.spring.initializr.actuate.autoconfigure,InitializrStatsAutoConfiguration,52,0,0,0,14,0,3,0,3,0
