GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Generator,io.spring.initializr.generator.project.contributor,MultipleResourcesProjectContributor,111,0,4,0,20,0,7,0,5,0
Spring Initializr :: Generator,io.spring.initializr.generator.project.contributor,ProjectContributor,2,0,0,0,1,0,1,0,1,0
Spring Initializr :: Generator,io.spring.initializr.generator.project.contributor,SingleResourceProjectContributor,54,0,2,0,12,0,3,0,2,0
Spring Initializr :: Generator,io.spring.initializr.generator.io.text,MustacheSection,26,0,0,0,8,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.io.text,BulletedSection,61,0,2,0,17,0,7,0,6,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTask.Builder,67,0,0,0,16,0,7,0,7,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,KotlinDslGradleSettingsWriter,23,0,0,0,3,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSystem,18,0,0,0,8,0,5,0,5,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradlePluginContainer,69,0,4,0,15,0,12,0,10,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GroovyDslGradleSettingsWriter,23,0,0,0,3,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleDependency.Builder,34,0,2,0,9,0,5,0,4,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,StandardGradlePlugin,12,0,0,0,5,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSettings.Builder,15,0,0,0,4,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleConfiguration.Builder,23,0,0,0,7,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildscript,25,0,0,0,6,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,Gradle3BuildWriter,53,0,14,0,17,0,12,0,2,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleDependency,27,0,0,0,6,0,4,0,4,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTaskContainer,94,0,6,0,18,0,13,0,10,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildscript.Builder,33,0,0,0,8,0,4,0,4,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildWriter,560,0,36,0,105,0,53,0,32,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTask.Invocation,15,0,0,0,6,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GroovyDslGradleBuildWriter,654,0,40,0,107,0,59,0,39,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleConfigurationContainer,83,0,12,0,15,0,14,0,8,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTask,64,0,0,0,15,0,8,0,8,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleSettingsWriter,156,0,6,0,38,0,14,0,11,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleConfiguration,21,0,0,0,6,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuild,58,0,0,0,17,0,9,0,9,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSettings,11,0,0,0,4,0,2,0,2,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradlePlugin,15,0,0,0,6,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSystemFactory,33,0,8,0,8,0,7,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,KotlinDslGradleBuildWriter,669,0,48,0,105,0,58,0,34,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPluginContainer,83,0,2,0,13,0,11,0,10,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenBuildSystemFactory,13,0,2,0,4,0,3,0,2,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenBuildSettings.Builder,63,0,0,0,16,0,9,0,9,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenDependency,27,0,0,0,6,0,4,0,4,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.ConfigurationBuilder,138,0,4,0,23,0,11,0,9,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenResource.Builder,44,0,0,0,14,0,6,0,6,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Setting,15,0,0,0,6,0,3,0,3,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenResource,38,0,0,0,12,0,6,0,6,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Dependency,21,0,0,0,8,0,4,0,4,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenResourceContainer,61,0,2,0,10,0,10,0,9,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenDependency.Builder,34,0,2,0,9,0,5,0,4,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Configuration,10,0,0,0,4,0,2,0,2,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.ExecutionBuilder,59,0,4,0,15,0,7,0,5,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Builder,77,0,2,0,19,0,9,0,8,0
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Execution,28,0,0,0,10,0,5,0,5,0
