GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency,546,226,37,13,120,56,64,17,39,17
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env,131,115,1,1,39,25,19,5,18,5
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder,135,0,14,0,31,0,17,0,10,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapability,8,65,0,4,4,19,2,8,2,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin.Mapping,6,11,0,0,2,5,2,3,2,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,Link,224,0,10,0,51,0,25,0,20,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependenciesCapability,189,0,22,0,40,0,25,0,14,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration,10,207,2,30,4,44,4,25,2,11
Spring Initializr :: Metadata,io.spring.initializr.metadata,Type,39,0,2,0,12,0,7,0,6,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyMetadata,34,0,0,0,12,0,6,0,6,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapabilityType,24,56,0,0,2,12,3,2,3,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven.ParentPom,70,3,12,0,24,2,16,1,10,1
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven,57,8,6,0,10,2,7,1,4,1
Spring Initializr :: Metadata,io.spring.initializr.metadata,TextCapability,0,26,0,2,0,10,0,6,0,5
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials,79,331,6,26,17,58,13,29,7,19
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.ResourceInitializrMetadataCustomizer,82,0,8,0,15,0,7,0,3,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyGroup,48,0,0,0,18,0,11,0,11,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DefaultMetadataElement,14,23,0,0,5,7,3,4,3,4
Spring Initializr :: Metadata,io.spring.initializr.metadata,SingleSelectCapability,0,63,1,1,0,13,1,8,0,8
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.PackageCapability,45,0,6,0,11,0,5,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InvalidInitializrMetadataException,9,0,0,0,4,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials.Mapping,173,51,14,0,27,14,21,6,14,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin,83,66,3,7,19,17,7,8,4,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency.Mapping,62,0,0,0,24,0,13,0,13,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Gradle,12,6,0,0,5,2,3,1,3,1
Spring Initializr :: Metadata,io.spring.initializr.metadata,SimpleInitializrMetadataProvider,9,0,0,0,4,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata,652,0,32,0,111,0,40,0,24,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.InitializerPropertiesCustomizer,79,0,0,0,16,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,MetadataElement,20,19,2,0,5,9,4,4,3,4
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties.SimpleElement,52,0,6,0,19,0,11,0,8,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.ArtifactIdCapability,20,0,2,0,5,0,3,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,Repository,172,12,30,0,40,5,25,1,10,1
Spring Initializr :: Metadata,io.spring.initializr.metadata,TypeCapability,57,0,2,0,11,0,8,0,7,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties,105,0,0,0,25,0,13,0,13,0
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemMapper,126,0,29,0,28,0,22,0,5,0
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemResolver,62,0,6,0,16,0,7,0,4,0
