GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency,62,710,6,44,22,154,17,64,12,44
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env,45,201,1,1,18,46,12,12,11,12
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder,19,116,5,9,5,26,5,12,0,10
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapability,4,69,0,4,2,21,1,9,1,7
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin.Mapping,6,11,0,0,2,5,2,3,2,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,Link,124,100,3,7,24,27,13,12,11,9
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependenciesCapability,44,145,6,16,7,33,8,17,2,12
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration,0,217,2,30,0,48,2,27,0,13
Spring Initializr :: Metadata,io.spring.initializr.metadata,Type,14,25,1,1,3,9,3,4,2,4
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyMetadata,34,0,0,0,12,0,6,0,6,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapabilityType,8,72,0,0,1,13,2,3,2,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven.ParentPom,57,16,9,3,21,5,15,2,9,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven,32,33,6,0,5,7,6,2,3,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,TextCapability,0,26,0,2,0,10,0,6,0,5
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials,37,373,6,26,5,70,7,35,1,25
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.ResourceInitializrMetadataCustomizer,28,54,7,1,2,13,4,3,0,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyGroup,21,27,0,0,9,9,4,7,4,7
Spring Initializr :: Metadata,io.spring.initializr.metadata,DefaultMetadataElement,7,30,0,0,1,11,1,6,1,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,SingleSelectCapability,0,63,0,2,0,13,0,9,0,8
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.PackageCapability,26,19,5,1,4,7,3,2,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,InvalidInitializrMetadataException,0,9,0,0,0,4,0,2,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials.Mapping,145,79,14,0,18,23,16,11,9,11
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin,69,80,3,7,15,21,6,9,3,7
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency.Mapping,38,24,0,0,16,8,11,2,11,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Gradle,7,11,0,0,3,4,2,2,2,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,SimpleInitializrMetadataProvider,9,0,0,0,4,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata,324,328,12,20,46,65,16,24,7,17
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.InitializerPropertiesCustomizer,0,79,0,0,0,16,0,2,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,MetadataElement,9,30,2,0,1,13,2,6,1,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties.SimpleElement,25,27,2,4,9,10,7,4,5,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.ArtifactIdCapability,3,17,1,1,0,5,1,2,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,Repository,156,28,29,1,32,13,21,5,6,5
Spring Initializr :: Metadata,io.spring.initializr.metadata,TypeCapability,10,47,0,2,1,10,1,7,1,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties,0,105,0,0,0,25,0,13,0,13
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemMapper,126,0,29,0,28,0,22,0,5,0
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemResolver,62,0,6,0,16,0,7,0,4,0
