GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency,772,0,50,0,176,0,81,0,56,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env,246,0,2,0,64,0,24,0,23,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder,135,0,14,0,31,0,17,0,10,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapability,12,61,1,3,5,18,3,7,2,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin.Mapping,17,0,0,0,7,0,5,0,5,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,Link,224,0,10,0,51,0,25,0,20,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependenciesCapability,189,0,22,0,40,0,25,0,14,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration,217,0,32,0,48,0,29,0,13,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,Type,39,0,2,0,12,0,7,0,6,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyMetadata,34,0,0,0,12,0,6,0,6,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapabilityType,24,56,0,0,2,12,3,2,3,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven.ParentPom,73,0,12,0,26,0,17,0,11,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven,65,0,6,0,12,0,8,0,5,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,TextCapability,0,26,0,2,0,10,0,6,0,5
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials,410,0,32,0,75,0,42,0,26,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.ResourceInitializrMetadataCustomizer,82,0,8,0,15,0,7,0,3,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyGroup,48,0,0,0,18,0,11,0,11,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,DefaultMetadataElement,37,0,0,0,12,0,7,0,7,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,SingleSelectCapability,63,0,2,0,13,0,9,0,8,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.PackageCapability,45,0,6,0,11,0,5,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InvalidInitializrMetadataException,9,0,0,0,4,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials.Mapping,224,0,14,0,41,0,27,0,20,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin,149,0,10,0,36,0,15,0,10,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency.Mapping,62,0,0,0,24,0,13,0,13,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Gradle,18,0,0,0,7,0,4,0,4,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,SimpleInitializrMetadataProvider,9,0,0,0,4,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata,652,0,32,0,111,0,40,0,24,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.InitializerPropertiesCustomizer,79,0,0,0,16,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,MetadataElement,39,0,2,0,14,0,8,0,7,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties.SimpleElement,52,0,6,0,19,0,11,0,8,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.ArtifactIdCapability,20,0,2,0,5,0,3,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,Repository,184,0,30,0,45,0,26,0,11,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,TypeCapability,57,0,2,0,11,0,8,0,7,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties,105,0,0,0,25,0,13,0,13,0
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemMapper,126,0,29,0,28,0,22,0,5,0
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemResolver,62,0,6,0,16,0,7,0,4,0
