GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency,50,722,5,45,18,158,13,68,9,47
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env,24,222,1,1,9,55,6,18,5,18
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder,3,132,1,13,1,30,1,16,0,10
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapability,4,69,0,4,2,21,1,9,1,7
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin.Mapping,6,11,0,0,2,5,2,3,2,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,Link,35,189,0,10,11,40,6,19,6,14
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependenciesCapability,0,189,1,21,0,40,1,24,0,14
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration,0,217,2,30,0,48,2,27,0,13
Spring Initializr :: Metadata,io.spring.initializr.metadata,Type,3,36,0,2,1,11,1,6,1,5
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyMetadata,34,0,0,0,12,0,6,0,6,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,ServiceCapabilityType,8,72,0,0,1,13,2,3,2,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven.ParentPom,32,41,5,7,13,13,12,5,7,4
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Maven,29,36,6,0,4,8,5,3,2,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,TextCapability,0,26,0,2,0,10,0,6,0,5
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials,5,405,5,27,0,75,5,37,0,26
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.ResourceInitializrMetadataCustomizer,28,54,7,1,2,13,4,3,0,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,DependencyGroup,0,48,0,0,0,18,0,11,0,11
Spring Initializr :: Metadata,io.spring.initializr.metadata,DefaultMetadataElement,0,37,0,0,0,12,0,7,0,7
Spring Initializr :: Metadata,io.spring.initializr.metadata,SingleSelectCapability,0,63,0,2,0,13,0,9,0,8
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.PackageCapability,0,45,1,5,0,11,1,4,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,InvalidInitializrMetadataException,0,9,0,0,0,4,0,2,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,BillOfMaterials.Mapping,54,170,7,7,10,31,15,12,8,12
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Kotlin,51,98,3,7,9,27,3,12,0,10
Spring Initializr :: Metadata,io.spring.initializr.metadata,Dependency.Mapping,38,24,0,0,16,8,11,2,11,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrConfiguration.Env.Gradle,7,11,0,0,3,4,2,2,2,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,SimpleInitializrMetadataProvider,9,0,0,0,4,0,2,0,2,0
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata,135,517,4,28,23,88,7,33,4,20
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadataBuilder.InitializerPropertiesCustomizer,0,79,0,0,0,16,0,2,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,MetadataElement,9,30,2,0,1,13,2,6,1,6
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties.SimpleElement,25,27,2,4,9,10,7,4,5,3
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrMetadata.ArtifactIdCapability,0,20,0,2,0,5,0,3,0,2
Spring Initializr :: Metadata,io.spring.initializr.metadata,Repository,100,84,27,3,24,21,16,10,1,10
Spring Initializr :: Metadata,io.spring.initializr.metadata,TypeCapability,0,57,0,2,0,11,0,8,0,7
Spring Initializr :: Metadata,io.spring.initializr.metadata,InitializrProperties,0,105,0,0,0,25,0,13,0,13
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemMapper,45,81,19,10,10,18,16,6,1,4
Spring Initializr :: Metadata,io.spring.initializr.metadata.support,MetadataBuildItemResolver,2,60,1,5,1,15,1,6,0,4
