GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig,14,3,0,0,4,1,2,1,2,1
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig.CommandLineContentNegotiationStrategy,52,0,12,0,13,0,8,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrCacheConfiguration,38,6,0,0,8,2,2,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrWebConfiguration,0,42,0,0,0,9,0,7,0,7
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule.VersionPropertySerializer,5,4,0,0,2,2,1,1,1,1
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,CloudfoundryEnvironmentPostProcessor,37,46,10,4,7,14,8,3,1,3
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration,24,50,3,1,4,11,3,8,1,8
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule,0,10,0,0,0,3,0,1,0,1
Spring Initializr :: Web,io.spring.initializr.web.controller,SpringCliDistributionController,28,6,0,0,4,3,2,1,2,1
Spring Initializr :: Web,io.spring.initializr.web.controller,AbstractMetadataController,42,6,4,0,10,3,5,1,3,1
Spring Initializr :: Web,io.spring.initializr.web.controller,DefaultProjectGenerationController,14,5,0,0,4,2,1,1,1,1
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectMetadataController,126,11,4,0,22,4,12,2,10,2
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectGenerationController,410,13,26,0,67,5,30,2,17,2
Spring Initializr :: Web,io.spring.initializr.web.controller,CommandLineMetadataController,93,10,10,0,17,3,6,1,1,1
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.AgentId,162,0,0,0,28,0,6,0,6,0
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataProvider,10,9,0,0,2,4,1,1,1,1
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataUpdateStrategy,59,13,8,0,13,5,6,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.HelpFormatter,123,0,14,0,25,0,13,0,6,0
Spring Initializr :: Web,io.spring.initializr.web.support,SpringBootMetadataReader,79,0,4,0,13,0,4,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.UserAgentHandler,108,0,14,0,22,0,10,0,3,0
Spring Initializr :: Web,io.spring.initializr.web.support,Agent,18,0,0,0,7,0,4,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator,634,18,26,0,95,7,25,3,12,3
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.TableGenerator,309,0,32,0,59,0,26,0,10,0
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultDependencyMetadataProvider,138,3,16,0,18,1,9,1,1,1
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapper,102,0,8,0,20,0,8,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataVersion,59,0,0,0,10,0,5,0,5,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,DependencyMetadataV21JsonMapper,208,0,12,0,39,0,16,0,10,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV2JsonMapper,531,0,20,0,104,0,27,0,17,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,LinkMapper,103,0,6,0,27,0,11,0,8,0
Spring Initializr :: Web,io.spring.initializr.web.project,DefaultProjectRequestToDescriptionConverter,547,22,54,0,113,3,54,2,27,2
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGeneratedEvent,5,0,0,0,2,0,1,0,1,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectFailedEvent,11,0,0,0,4,0,2,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationInvoker,274,23,4,0,58,8,21,2,19,2
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequest,133,0,6,0,48,0,32,0,29,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequestEvent,21,0,0,0,8,0,4,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.project,InvalidProjectRequestException,4,0,0,0,2,0,1,0,1,0
Spring Initializr :: Web,io.spring.initializr.web.project,WebProjectRequest,35,0,4,0,10,0,6,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationResult,15,0,0,0,6,0,3,0,3,0
