GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig,17,0,0,0,5,0,3,0,3,0
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig.CommandLineContentNegotiationStrategy,52,0,12,0,13,0,8,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrCacheConfiguration,38,6,0,0,8,2,2,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrWebConfiguration,42,0,0,0,9,0,7,0,7,0
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule.VersionPropertySerializer,9,0,0,0,4,0,2,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,CloudfoundryEnvironmentPostProcessor,83,0,14,0,21,0,11,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration,24,50,3,1,4,11,3,8,1,8
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule,10,0,0,0,3,0,1,0,1,0
Spring Initializr :: Web,io.spring.initializr.web.controller,SpringCliDistributionController,34,0,0,0,7,0,3,0,3,0
Spring Initializr :: Web,io.spring.initializr.web.controller,AbstractMetadataController,48,0,4,0,13,0,6,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.controller,DefaultProjectGenerationController,19,0,0,0,6,0,2,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectMetadataController,137,0,4,0,26,0,14,0,12,0
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectGenerationController,423,0,26,0,72,0,32,0,19,0
Spring Initializr :: Web,io.spring.initializr.web.controller,CommandLineMetadataController,103,0,10,0,20,0,7,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.AgentId,162,0,0,0,28,0,6,0,6,0
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataProvider,10,9,0,0,2,4,1,1,1,1
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataUpdateStrategy,59,13,8,0,13,5,6,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.HelpFormatter,123,0,14,0,25,0,13,0,6,0
Spring Initializr :: Web,io.spring.initializr.web.support,SpringBootMetadataReader,79,0,4,0,13,0,4,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.UserAgentHandler,108,0,14,0,22,0,10,0,3,0
Spring Initializr :: Web,io.spring.initializr.web.support,Agent,18,0,0,0,7,0,4,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator,652,0,26,0,102,0,28,0,15,0
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.TableGenerator,309,0,32,0,59,0,26,0,10,0
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultDependencyMetadataProvider,138,3,16,0,18,1,9,1,1,1
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapper,102,0,8,0,20,0,8,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataVersion,59,0,0,0,10,0,5,0,5,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,DependencyMetadataV21JsonMapper,208,0,12,0,39,0,16,0,10,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV2JsonMapper,531,0,20,0,104,0,27,0,17,0
Spring Initializr :: Web,io.spring.initializr.web.mapper,LinkMapper,103,0,6,0,27,0,11,0,8,0
Spring Initializr :: Web,io.spring.initializr.web.project,DefaultProjectRequestToDescriptionConverter,569,0,54,0,116,0,56,0,29,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGeneratedEvent,5,0,0,0,2,0,1,0,1,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectFailedEvent,11,0,0,0,4,0,2,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationInvoker,297,0,4,0,66,0,23,0,21,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequest,133,0,6,0,48,0,32,0,29,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequestEvent,21,0,0,0,8,0,4,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.project,InvalidProjectRequestException,4,0,0,0,2,0,1,0,1,0
Spring Initializr :: Web,io.spring.initializr.web.project,WebProjectRequest,35,0,4,0,10,0,6,0,4,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationResult,15,0,0,0,6,0,3,0,3,0
