GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig,0,17,0,0,0,5,0,3,0,3
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig.CommandLineContentNegotiationStrategy,10,42,7,5,2,11,6,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrCacheConfiguration,38,6,0,0,8,2,2,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrWebConfiguration,0,42,0,0,0,9,0,7,0,7
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule.VersionPropertySerializer,0,9,0,0,0,4,0,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,CloudfoundryEnvironmentPostProcessor,35,48,9,5,6,15,6,5,0,4
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration,19,55,3,1,4,11,2,9,0,9
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule,0,10,0,0,0,3,0,1,0,1
Spring Initializr :: Web,io.spring.initializr.web.controller,SpringCliDistributionController,28,6,0,0,4,3,2,1,2,1
Spring Initializr :: Web,io.spring.initializr.web.controller,AbstractMetadataController,0,48,1,3,0,13,1,5,0,4
Spring Initializr :: Web,io.spring.initializr.web.controller,DefaultProjectGenerationController,0,19,0,0,0,6,0,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectMetadataController,13,124,1,3,3,23,3,11,2,10
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectGenerationController,71,352,9,17,13,59,8,24,2,17
Spring Initializr :: Web,io.spring.initializr.web.controller,CommandLineMetadataController,55,48,7,3,8,12,5,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.AgentId,11,151,0,0,2,26,3,3,3,3
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataProvider,0,19,0,0,0,6,0,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataUpdateStrategy,59,13,8,0,13,5,6,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.HelpFormatter,3,120,0,14,1,24,1,12,1,5
Spring Initializr :: Web,io.spring.initializr.web.support,SpringBootMetadataReader,79,0,4,0,13,0,4,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.UserAgentHandler,57,51,11,3,12,10,8,2,1,2
Spring Initializr :: Web,io.spring.initializr.web.support,Agent,3,15,0,0,1,6,1,3,1,3
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator,237,415,7,19,36,66,12,16,7,8
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.TableGenerator,49,260,7,25,8,51,7,19,2,8
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultDependencyMetadataProvider,13,128,1,15,2,17,1,9,0,2
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapper,1,101,2,6,0,20,2,6,0,4
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataVersion,5,54,0,0,0,10,1,4,1,4
Spring Initializr :: Web,io.spring.initializr.web.mapper,DependencyMetadataV21JsonMapper,7,201,4,8,1,38,4,12,0,10
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV2JsonMapper,22,509,10,10,4,100,9,18,1,16
Spring Initializr :: Web,io.spring.initializr.web.mapper,LinkMapper,3,100,0,6,2,25,1,10,1,7
Spring Initializr :: Web,io.spring.initializr.web.project,DefaultProjectRequestToDescriptionConverter,209,360,32,22,31,85,29,27,3,26
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGeneratedEvent,0,5,0,0,0,2,0,1,0,1
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectFailedEvent,11,0,0,0,4,0,2,0,2,0
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationInvoker,41,256,2,2,11,55,3,20,1,20
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequest,13,120,3,3,6,42,5,27,2,27
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequestEvent,9,12,0,0,3,5,3,1,3,1
Spring Initializr :: Web,io.spring.initializr.web.project,InvalidProjectRequestException,4,0,0,0,2,0,1,0,1,0
Spring Initializr :: Web,io.spring.initializr.web.project,WebProjectRequest,0,35,1,3,0,10,1,5,0,4
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationResult,0,15,0,0,0,6,0,3,0,3
