GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig,0,17,0,0,0,5,0,3,0,3
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrWebConfig.CommandLineContentNegotiationStrategy,0,52,1,11,0,13,1,7,0,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrCacheConfiguration,38,6,0,0,8,2,2,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration.InitializrWebConfiguration,0,42,0,0,0,9,0,7,0,7
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule.VersionPropertySerializer,0,9,0,0,0,4,0,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,CloudfoundryEnvironmentPostProcessor,35,48,9,5,6,15,6,5,0,4
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrAutoConfiguration,19,55,3,1,4,11,2,9,0,9
Spring Initializr :: Web,io.spring.initializr.web.autoconfigure,InitializrModule,0,10,0,0,0,3,0,1,0,1
Spring Initializr :: Web,io.spring.initializr.web.controller,SpringCliDistributionController,0,34,0,0,0,7,0,3,0,3
Spring Initializr :: Web,io.spring.initializr.web.controller,AbstractMetadataController,0,48,1,3,0,13,1,5,0,4
Spring Initializr :: Web,io.spring.initializr.web.controller,DefaultProjectGenerationController,0,19,0,0,0,6,0,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectMetadataController,0,137,0,4,0,26,0,14,0,12
Spring Initializr :: Web,io.spring.initializr.web.controller,ProjectGenerationController,45,378,8,18,7,65,5,27,0,19
Spring Initializr :: Web,io.spring.initializr.web.controller,CommandLineMetadataController,0,103,2,8,0,20,2,5,0,2
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.AgentId,11,151,0,0,2,26,3,3,3,3
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataProvider,0,19,0,0,0,6,0,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultInitializrMetadataUpdateStrategy,13,59,4,4,4,14,4,4,0,4
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.HelpFormatter,3,120,0,14,1,24,1,12,1,5
Spring Initializr :: Web,io.spring.initializr.web.support,SpringBootMetadataReader,0,79,0,4,0,13,0,4,0,2
Spring Initializr :: Web,io.spring.initializr.web.support,Agent.UserAgentHandler,31,77,5,9,5,17,6,4,1,2
Spring Initializr :: Web,io.spring.initializr.web.support,Agent,3,15,0,0,1,6,1,3,1,3
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator,5,647,2,24,1,101,2,26,0,15
Spring Initializr :: Web,io.spring.initializr.web.support,CommandLineHelpGenerator.TableGenerator,49,260,7,25,8,51,7,19,2,8
Spring Initializr :: Web,io.spring.initializr.web.support,DefaultDependencyMetadataProvider,13,128,1,15,2,17,1,9,0,2
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV21JsonMapper,0,102,1,7,0,20,1,7,0,4
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataVersion,5,54,0,0,0,10,1,4,1,4
Spring Initializr :: Web,io.spring.initializr.web.mapper,DependencyMetadataV21JsonMapper,1,207,3,9,0,39,3,13,0,10
Spring Initializr :: Web,io.spring.initializr.web.mapper,InitializrMetadataV2JsonMapper,11,520,5,15,1,103,4,23,0,17
Spring Initializr :: Web,io.spring.initializr.web.mapper,LinkMapper,3,100,0,6,2,25,1,10,1,7
Spring Initializr :: Web,io.spring.initializr.web.project,DefaultProjectRequestToDescriptionConverter,4,565,5,49,1,115,5,51,0,29
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGeneratedEvent,0,5,0,0,0,2,0,1,0,1
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectFailedEvent,0,11,0,0,0,4,0,2,0,2
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationInvoker,13,284,2,2,2,64,2,21,0,21
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequest,3,130,1,5,1,47,1,31,0,29
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectRequestEvent,6,15,0,0,2,6,2,2,2,2
Spring Initializr :: Web,io.spring.initializr.web.project,InvalidProjectRequestException,0,4,0,0,0,2,0,1,0,1
Spring Initializr :: Web,io.spring.initializr.web.project,WebProjectRequest,0,35,1,3,0,10,1,5,0,4
Spring Initializr :: Web,io.spring.initializr.web.project,ProjectGenerationResult,0,15,0,0,0,6,0,3,0,3
