GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX.Chars,23,25,0,0,7,6,4,2,4,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX,3377,684,663,95,917,213,485,56,75,37
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextSystemX,1446,257,258,31,342,76,187,18,25,14
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenConstsX.CharacterSequence,3,0,0,0,1,0,1,0,1,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonTextWriterBuilder.Mutable,0,18,0,0,0,6,0,5,0,5
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader.LocalReader,72,0,6,0,21,0,8,0,5,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_Utils,931,152,197,13,225,46,146,15,41,13
com.amazon.ion:ion-java,com.amazon.ion.impl,SimpleByteBuffer.SimpleByteReader,1255,0,214,0,258,0,134,0,23,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.IonReaderBinarySpan,0,15,0,0,0,6,0,4,0,4
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.ByteTransferReaderFacet,34,0,2,0,7,0,3,0,2,0
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX,233,246,46,23,44,63,33,23,2,19
com.amazon.ion:ion-java,com.amazon.ion.impl,IonWriterSystem,448,301,92,44,108,88,75,30,15,21
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.CommentStrategy,0,34,0,0,0,4,0,1,0,1
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedDataPageX,157,110,15,8,31,25,21,12,10,11
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_ScalarConversions.CantConvertException,13,0,0,0,6,0,3,0,3,0
com.amazon.ion:ion-java,com.amazon.ion.impl,OutputStreamFastAppendable,485,8,45,1,72,2,33,2,10,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader,2642,0,516,0,636,0,323,0,38,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonReaderFactory,240,125,9,7,55,29,25,12,19,10
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextUserX.SpanProviderFacet,10,0,0,0,2,0,2,0,2,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.ProhibitedCharacters.new IonReaderTextRawTokensX.ProhibitedCharacters() {...},2,6,0,0,1,1,1,1,1,1
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.ProhibitedCharacters.new IonReaderTextRawTokensX.ProhibitedCharacters() {...},10,6,4,0,1,1,3,1,1,1
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.ProhibitedCharacters.new IonReaderTextRawTokensX.ProhibitedCharacters() {...},8,11,5,1,0,2,3,2,0,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.IonReaderTextTokenException,4,0,0,0,2,0,1,0,1,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextUserX,314,144,56,21,65,37,40,17,7,11
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonTextAppender,938,685,195,64,233,134,131,34,16,18
com.amazon.ion:ion-java,com.amazon.ion.impl,SymbolTableReader,795,418,211,67,231,143,199,57,27,25
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputStreamX.FromByteStream,6,23,0,0,3,8,1,1,1,1
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputStreamX.FromByteArray,0,29,0,0,0,8,0,1,0,1
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.SpanProviderFacet,0,11,0,0,0,2,0,2,0,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTextBufferedStream,20,0,0,0,4,0,4,0,4,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_Utils.new ListIterator() {...},28,3,0,0,9,1,9,1,9,1
com.amazon.ion:ion-java,com.amazon.ion.impl,IonWriterSystemBinary,1437,0,175,0,372,0,144,0,47,0
com.amazon.ion:ion-java,com.amazon.ion.impl,SubstituteSymbolTable.SymbolIterator,53,0,6,0,15,0,7,0,4,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_ScalarConversions.ValueVariant,897,252,117,23,249,74,150,31,62,28
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX.Bytes,2,35,0,0,1,10,1,4,1,4
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTreeSystem.Children,19,89,6,12,4,23,7,6,1,3
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.NumericState,0,34,0,0,0,4,0,1,0,1
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_ScalarConversions,204,404,49,3,48,13,41,2,5,2
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputStreamX,311,543,71,75,59,135,63,46,11,25
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedSavePointManagerX,239,237,47,19,52,66,36,11,3,11
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_Utils.IntIterator,53,0,4,0,12,0,7,0,5,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextSystemX.Radix.new IonReaderTextSystemX.Radix() {...},6,12,0,0,1,2,1,2,1,2
