GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX.Chars,23,25,0,0,7,6,4,2,4,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX,4022,39,757,1,1118,12,539,2,110,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextSystemX,1682,21,288,1,411,7,203,2,37,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenConstsX.CharacterSequence,3,0,0,0,1,0,1,0,1,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonTextWriterBuilder.Mutable,0,18,0,0,0,6,0,5,0,5
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader.LocalReader,72,0,6,0,21,0,8,0,5,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_Utils,986,97,206,4,241,30,151,10,45,9
com.amazon.ion:ion-java,com.amazon.ion.impl,SimpleByteBuffer.SimpleByteReader,1255,0,214,0,258,0,134,0,23,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.IonReaderBinarySpan,0,15,0,0,0,6,0,4,0,4
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.ByteTransferReaderFacet,34,0,2,0,7,0,3,0,2,0
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX,267,212,49,20,53,54,35,21,3,18
com.amazon.ion:ion-java,com.amazon.ion.impl,IonWriterSystem,611,138,118,18,151,45,92,13,25,11
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.CommentStrategy,34,0,0,0,4,0,1,0,1,0
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedDataPageX,165,102,15,8,34,22,22,11,11,10
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_ScalarConversions.CantConvertException,13,0,0,0,6,0,3,0,3,0
com.amazon.ion:ion-java,com.amazon.ion.impl,OutputStreamFastAppendable,485,8,45,1,72,2,33,2,10,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader,2642,0,516,0,636,0,323,0,38,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonReaderFactory,240,125,9,7,55,29,25,12,19,10
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextUserX.SpanProviderFacet,10,0,0,0,2,0,2,0,2,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.ProhibitedCharacters.new IonReaderTextRawTokensX.ProhibitedCharacters() {...},8,0,0,0,2,0,2,0,2,0
