GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaANPR,net.sf.javaanpr.recognizer,RecognizedPattern,15,0,0,0,6,0,3,0,3,0
JavaANPR,net.sf.javaanpr.recognizer,RecognizedChar,214,0,10,0,40,0,12,0,7,0
JavaANPR,net.sf.javaanpr.recognizer,PatternComparator,27,0,2,0,6,0,3,0,2,0
JavaANPR,net.sf.javaanpr.recognizer,NeuralPatternClassifier,274,0,20,0,56,0,17,0,7,0
JavaANPR,net.sf.javaanpr.recognizer,CharacterRecognizer,406,0,0,0,3,0,2,0,2,0
JavaANPR,net.sf.javaanpr.recognizer,KnnPatternClassifier,220,0,20,0,35,0,15,0,5,0
JavaANPR,net.sf.javaanpr.gui.windows,FrameHelp.FrameHelpContent,38,0,0,0,3,0,4,0,4,0
JavaANPR,net.sf.javaanpr.gui.windows,FrameMain,587,0,16,0,140,0,16,0,8,0
JavaANPR,net.sf.javaanpr.gui.windows,FrameHelp,159,0,4,0,40,0,5,0,3,0
JavaANPR,net.sf.javaanpr.gui.windows,FrameComponentInit,110,0,0,0,28,0,2,0,2,0
JavaANPR,net.sf.javaanpr.gui.windows,FrameMain.RecognizeThread,56,0,0,0,17,0,3,0,3,0
JavaANPR,net.sf.javaanpr.gui.windows,FrameMain.new JPanel() {...},19,0,0,0,4,0,2,0,2,0
JavaANPR,net.sf.javaanpr.gui.windows,FrameMain.LoadImageThread,65,0,0,0,16,0,2,0,2,0
JavaANPR,net.sf.javaanpr.gui.tools,ImageFileFilter,19,38,5,9,7,5,7,4,3,1
JavaANPR,net.sf.javaanpr.gui.tools,FileListModelEntry,28,0,0,0,11,0,6,0,6,0
JavaANPR,net.sf.javaanpr.intelligence,RecognizedPlate,49,0,2,0,12,0,6,0,5,0
JavaANPR,net.sf.javaanpr.intelligence,Intelligence,888,0,92,0,182,0,51,0,5,0
JavaANPR,net.sf.javaanpr.intelligence,SyntaxAnalysisMode,68,0,4,0,9,0,8,0,5,0
JavaANPR,net.sf.javaanpr.intelligence.parser,Parser.FinalPlate,21,0,0,0,6,0,2,0,2,0
JavaANPR,net.sf.javaanpr.intelligence.parser,Parser,496,0,58,0,105,0,39,0,9,0
JavaANPR,net.sf.javaanpr.intelligence.parser,PlateForm,43,0,0,0,14,0,8,0,8,0
JavaANPR,net.sf.javaanpr.intelligence.parser,Parser.new Object() {...},26,0,0,0,1,0,1,0,1,0
JavaANPR,net.sf.javaanpr.intelligence.parser,Position,33,0,4,0,8,0,4,0,2,0
JavaANPR,net.sf.javaanpr.configurator,Configurator,80,340,8,10,29,87,13,15,6,13
JavaANPR,net.sf.javaanpr.gui,ReportGenerator,97,154,7,11,14,29,7,8,1,5
JavaANPR,net.sf.javaanpr.gui,TimeMeter,13,0,0,0,4,0,2,0,2,0
JavaANPR,net.sf.javaanpr.jar,Main,302,0,44,0,50,0,27,0,5,0
JavaANPR,net.sf.javaanpr.imageanalysis,Graph.ProbabilityDistributor,0,80,0,6,0,13,0,6,0,3
JavaANPR,net.sf.javaanpr.imageanalysis,PixelMap.Piece,298,0,18,0,61,0,32,0,23,0
JavaANPR,net.sf.javaanpr.imageanalysis,PixelMap,998,0,184,0,164,0,114,0,18,0
JavaANPR,net.sf.javaanpr.imageanalysis,PlateVerticalGraph,133,0,12,0,22,0,9,0,3,0
JavaANPR,net.sf.javaanpr.imageanalysis,Photo,1114,136,98,4,187,28,83,9,34,7
JavaANPR,net.sf.javaanpr.imageanalysis,Char,704,0,58,0,147,0,48,0,19,0
JavaANPR,net.sf.javaanpr.imageanalysis,Peak,34,21,0,0,12,8,5,4,5,4
JavaANPR,net.sf.javaanpr.imageanalysis,CarSnapshotGraph,0,120,0,8,0,22,0,7,0,3
JavaANPR,net.sf.javaanpr.imageanalysis,Graph,560,448,35,25,94,90,31,22,12,11
JavaANPR,net.sf.javaanpr.imageanalysis,BandGraph,213,0,22,0,42,0,16,0,5,0
JavaANPR,net.sf.javaanpr.imageanalysis,PeakComparator,0,24,0,0,0,5,0,3,0,3
JavaANPR,net.sf.javaanpr.imageanalysis,PixelMap.Point,26,0,4,0,5,0,4,0,2,0
JavaANPR,net.sf.javaanpr.imageanalysis,Band,298,0,12,0,45,0,13,0,7,0
JavaANPR,net.sf.javaanpr.imageanalysis,PositionInPlate,9,0,0,0,4,0,1,0,1,0
JavaANPR,net.sf.javaanpr.imageanalysis,PixelMap.PieceSet,6,0,0,0,1,0,1,0,1,0
JavaANPR,net.sf.javaanpr.imageanalysis,PlateGraph.SpaceComparator,40,0,4,0,11,0,5,0,3,0
JavaANPR,net.sf.javaanpr.imageanalysis,HoughTransformation,499,0,30,0,73,0,24,0,9,0
JavaANPR,net.sf.javaanpr.imageanalysis,PlateGraph,264,0,26,0,49,0,16,0,3,0
JavaANPR,net.sf.javaanpr.imageanalysis,PlateHorizontalGraph,172,0,14,0,31,0,13,0,6,0
JavaANPR,net.sf.javaanpr.imageanalysis,Statistics,102,0,6,0,21,0,5,0,2,0
JavaANPR,net.sf.javaanpr.imageanalysis,PixelMap.PointSet,30,0,4,0,8,0,4,0,2,0
JavaANPR,net.sf.javaanpr.imageanalysis,CarSnapshot,55,178,3,5,11,30,5,8,3,6
JavaANPR,net.sf.javaanpr.imageanalysis,Plate,840,0,46,0,163,0,51,0,28,0
JavaANPR,net.sf.javaanpr.tools,TestStatistics,89,0,8,0,20,0,7,0,3,0
JavaANPR,net.sf.javaanpr.tools,HoughTool,41,0,0,0,12,0,2,0,2,0
JavaANPR,net.sf.javaanpr.tools,TestStatistics.TestReport.TestRecord,118,0,14,0,25,0,13,0,6,0
JavaANPR,net.sf.javaanpr.tools,TestStatistics.TestReport,151,0,6,0,26,0,6,0,3,0
JavaANPR,net.sf.javaanpr.neuralnetwork,NeuralNetwork.Gradients,301,0,18,0,51,0,21,0,12,0
JavaANPR,net.sf.javaanpr.neuralnetwork,NeuralNetwork.SetOfIOPairs,26,0,0,0,8,0,4,0,4,0
JavaANPR,net.sf.javaanpr.neuralnetwork,NeuralNetwork,1299,0,98,0,222,0,65,0,16,0
JavaANPR,net.sf.javaanpr.neuralnetwork,NeuralNetwork.SetOfIOPairs.IOPair,15,0,0,0,4,0,1,0,1,0
JavaANPR,net.sf.javaanpr.neuralnetwork,NeuralNetwork.Neuron,72,0,2,0,15,0,5,0,4,0
JavaANPR,net.sf.javaanpr.neuralnetwork,NeuralNetwork.NeuralLayer,143,0,12,0,25,0,14,0,8,0
JavaANPR,net.sf.javaanpr.neuralnetwork,NeuralNetwork.NeuralInput,26,0,0,0,6,0,1,0,1,0
