GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBehave Ant,org.jbehave.ant,ReportStepdocs,19,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,AbstractEmbedderTask,177,327,9,15,38,97,22,29,13,26
JBehave Ant,org.jbehave.ant,RunStoriesWithAnnotatedEmbedderRunner,15,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,AbstractEmbedderTask.AntEmbedderMonitor,387,219,7,1,56,33,25,14,21,14
JBehave Ant,org.jbehave.ant,ReportStepdocsAsEmbeddables,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,RunStoriesAsPaths,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,MapStoriesAsPaths,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,RunStoriesAsEmbeddables,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,MapStoriesAsEmbeddables,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,GenerateStoriesView,19,0,0,0,5,0,2,0,2,0
