GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBehave Ant,org.jbehave.ant,ReportStepdocs,19,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,AbstractEmbedderTask,242,262,12,12,60,75,32,19,21,18
JBehave Ant,org.jbehave.ant,RunStoriesWithAnnotatedEmbedderRunner,15,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,AbstractEmbedderTask.AntEmbedderMonitor,600,6,8,0,88,1,38,1,34,1
JBehave Ant,org.jbehave.ant,ReportStepdocsAsEmbeddables,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,RunStoriesAsPaths,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,MapStoriesAsPaths,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,RunStoriesAsEmbeddables,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,MapStoriesAsEmbeddables,21,0,0,0,5,0,2,0,2,0
JBehave Ant,org.jbehave.ant,GenerateStoriesView,19,0,0,0,5,0,2,0,2,0
