GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBehave Maven Plugin,org.jbehave.mojo,GenerateStoriesView,7,20,0,0,1,6,0,2,0,2
JBehave Maven Plugin,org.jbehave.mojo,RunWithAnnotatedEmbedderRunner,3,0,0,0,1,0,1,0,1,0
JBehave Maven Plugin,org.jbehave.mojo,ReportStepdocsAsEmbeddables,29,0,0,0,7,0,2,0,2,0
JBehave Maven Plugin,org.jbehave.mojo,RunStoriesAsEmbeddables,0,29,0,0,0,7,0,2,0,2
JBehave Maven Plugin,org.jbehave.mojo,MapStoriesAsPaths,0,29,0,0,0,7,0,2,0,2
JBehave Maven Plugin,org.jbehave.mojo,AbstractEmbedderMojo,32,346,5,25,6,72,5,23,0,13
JBehave Maven Plugin,org.jbehave.mojo,UnpackViewResources,22,243,7,17,2,44,6,14,0,8
JBehave Maven Plugin,org.jbehave.mojo,RunStoriesAsPaths,0,29,0,0,0,7,0,2,0,2
JBehave Maven Plugin,org.jbehave.mojo,AbstractEmbedderMojo.MavenEmbedderMonitor,387,221,7,1,61,37,25,14,21,14
JBehave Maven Plugin,org.jbehave.mojo,MapStoriesAsEmbeddables,0,29,0,0,0,7,0,2,0,2
JBehave Maven Plugin,org.jbehave.mojo,ReportStepdocs,0,27,0,0,0,7,0,2,0,2
JBehave Maven Plugin,org.jbehave.mojo,RunStoriesWithAnnotatedEmbedderRunner,0,23,0,0,0,7,0,2,0,2
