GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBehave Needle,org.jbehave.core.steps.needle.configuration,LoadResourceBundle.new ResourceBundle() {...},7,3,0,0,2,1,2,1,2,1
JBehave Needle,org.jbehave.core.steps.needle.configuration,ReadInjectionProviderClassNames,25,62,4,6,2,12,6,4,2,3
JBehave Needle,org.jbehave.core.steps.needle.configuration,LoadResourceBundle.1.new Enumeration() {...},10,0,0,0,3,0,3,0,3,0
JBehave Needle,org.jbehave.core.steps.needle.configuration,LoadResourceBundle,29,33,2,2,4,6,4,3,2,3
JBehave Needle,org.jbehave.core.steps.needle.configuration,CollectInjectionProvidersFromStepsInstance,49,62,4,4,7,12,5,4,2,3
JBehave Needle,org.jbehave.core.steps.needle.configuration,JBehaveNeedleConfiguration,59,43,7,1,15,10,7,2,3,2
JBehave Needle,org.jbehave.core.steps.needle.configuration,CreateInstanceByDefaultConstructor,36,27,0,0,3,4,2,3,2,3
JBehave Needle,org.jbehave.core.steps.needle,NeedleStepsFactory,55,205,13,15,14,39,14,10,2,8
JBehave Needle,org.jbehave.core.configuration.needle,NeedleAnnotationBuilder,24,117,2,8,4,23,4,8,2,5
JBehave Needle,org.jbehave.core.junit.needle,NeedleAnnotatedPathRunner,10,0,0,0,3,0,2,0,2,0
JBehave Needle,org.jbehave.core.junit.needle,NeedleAnnotatedEmbedderRunner,14,0,0,0,4,0,2,0,2,0
