GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.view,GridPanel.new ActionListener() {...},22,0,0,0,3,0,2,0,2,0
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.view,GridPanel,273,0,16,0,24,0,14,0,6,0
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.view,ComponentNames,6,0,0,0,2,0,2,0,2,0
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.view,NoughtsAndCrossesFrame,36,0,0,0,9,0,1,0,1,0
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.view,GridPanel.OXButton,19,0,0,0,6,0,1,0,1,0
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.view,MessageLabel,45,0,0,0,10,0,3,0,3,0
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.game,Coord,1,43,2,2,0,10,2,3,0,3
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.game,Player,12,45,0,0,1,5,3,2,3,2
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.game,GameModel,24,109,4,10,7,23,5,11,2,7
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses.game,WinningScenario,14,337,4,4,3,18,4,5,1,4
JBehave Noughts And Crosses Example,com.lunivore.noughtsandcrosses,NoughtsAndCrosses,15,0,0,0,5,0,2,0,2,0
