GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JBot,me.ramswaroop.jbot.core.facebook,Bot.new Object() {...},26,0,0,0,1,0,1,0,1,0
JBot,me.ramswaroop.jbot.core.facebook,Bot,567,0,54,0,116,0,48,0,20,0
JBot,me.ramswaroop.jbot.core.facebook,FbService,29,0,0,0,5,0,2,0,2,0
JBot,me.ramswaroop.jbot.core.facebook,FbApiEndpoints,46,0,0,0,6,0,6,0,6,0
JBot,me.ramswaroop.jbot.core.facebook.models,PaymentSummary,51,0,0,0,19,0,13,0,13,0
JBot,me.ramswaroop.jbot.core.facebook.models,Postback,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Delivery,27,0,0,0,10,0,7,0,7,0
JBot,me.ramswaroop.jbot.core.facebook.models,Passenger,51,0,0,0,19,0,13,0,13,0
JBot,me.ramswaroop.jbot.core.facebook.models,FlightInfo,67,0,0,0,25,0,17,0,17,0
JBot,me.ramswaroop.jbot.core.facebook.models,Attachment,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,PaymentCredential,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Event,228,0,0,0,84,0,55,0,55,0
JBot,me.ramswaroop.jbot.core.facebook.models,BoardingPass,83,0,0,0,31,0,21,0,21,0
JBot,me.ramswaroop.jbot.core.facebook.models,Summary,35,0,0,0,13,0,9,0,9,0
JBot,me.ramswaroop.jbot.core.facebook.models,Message,83,0,0,0,31,0,21,0,21,0
JBot,me.ramswaroop.jbot.core.facebook.models,User,99,0,0,0,37,0,25,0,25,0
JBot,me.ramswaroop.jbot.core.facebook.models,Callback,34,0,0,0,12,0,7,0,7,0
JBot,me.ramswaroop.jbot.core.facebook.models,AccountLinking,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Element,75,0,0,0,28,0,19,0,19,0
JBot,me.ramswaroop.jbot.core.facebook.models,ShippingAddress,67,0,0,0,25,0,17,0,17,0
JBot,me.ramswaroop.jbot.core.facebook.models,Response,17,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Field,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Entry,24,0,0,0,10,0,7,0,7,0
JBot,me.ramswaroop.jbot.core.facebook.models,Referral,27,0,0,0,10,0,7,0,7,0
JBot,me.ramswaroop.jbot.core.facebook.models,Amount,43,0,0,0,16,0,11,0,11,0
JBot,me.ramswaroop.jbot.core.facebook.models,Read,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Airport,35,0,0,0,13,0,9,0,9,0
JBot,me.ramswaroop.jbot.core.facebook.models,Button,83,0,0,0,31,0,21,0,21,0
JBot,me.ramswaroop.jbot.core.facebook.models,CheckoutUpdate,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Payload,262,0,0,0,98,0,66,0,66,0
JBot,me.ramswaroop.jbot.core.facebook.models,FlightSchedule,27,0,0,0,10,0,7,0,7,0
JBot,me.ramswaroop.jbot.core.facebook.models,PaymentEvent,19,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.facebook.models,Payment,43,0,0,0,16,0,11,0,11,0
JBot,me.ramswaroop.jbot.core.facebook.models,CheckoutEvent,17,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.slack,SlackService,129,0,4,0,29,0,13,0,11,0
JBot,me.ramswaroop.jbot.core.slack,Bot,498,0,54,0,104,0,47,0,20,0
JBot,me.ramswaroop.jbot.core.slack,SlackApiEndpoints,23,0,0,0,3,0,3,0,3,0
JBot,me.ramswaroop.jbot.core.slack,Bot.PingTask,97,0,8,0,24,0,7,0,3,0
JBot,me.ramswaroop.jbot.core.common,BaseBot,259,0,30,0,63,0,23,0,8,0
JBot,me.ramswaroop.jbot.core.common,BotWebSocketHandler,37,0,0,0,14,0,7,0,7,0
JBot,me.ramswaroop.jbot.core.common,EventType,5,883,0,0,0,14,1,3,1,3
JBot,me.ramswaroop.jbot.core.common,BaseBot.MethodWrapper,149,0,26,0,25,0,26,0,13,0
JBot,me.ramswaroop.jbot.core.common.configuration,DefaultConfiguration,14,0,0,0,4,0,3,0,3,0
JBot,me.ramswaroop.jbot.core.slack.models,Edited,17,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.slack.models,Field,31,0,0,0,13,0,9,0,9,0
JBot,me.ramswaroop.jbot.core.slack.models,ResponseMetadata,10,0,0,0,4,0,3,0,3,0
JBot,me.ramswaroop.jbot.core.slack.models,Error,17,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.slack.models,RTM,17,0,0,0,7,0,5,0,5,0
JBot,me.ramswaroop.jbot.core.slack.models,Comment,45,0,0,0,19,0,13,0,13,0
JBot,me.ramswaroop.jbot.core.slack.models,Channel,59,0,0,0,25,0,17,0,17,0
