GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jimfs,com.google.common.jimfs,DirectoryEntry,18,139,2,16,6,31,3,19,1,12
Jimfs,com.google.common.jimfs,AbstractWatchService,30,89,3,5,6,23,5,11,2,10
Jimfs,com.google.common.jimfs,FileFactory.DirectorySupplier,0,10,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,JimfsFileSystemProvider,98,367,9,11,20,100,13,31,7,27
Jimfs,com.google.common.jimfs,BasicAttributeProvider.Attributes,2,63,0,0,1,18,1,9,1,9
Jimfs,com.google.common.jimfs,FileFactory.RegularFileSupplier,0,10,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,PathService,1,431,4,40,0,82,4,42,0,22
Jimfs,com.google.common.jimfs,PathType,13,144,0,8,4,38,2,18,2,14
Jimfs,com.google.common.jimfs,PollingWatchService.new Runnable() {...},62,6,4,0,16,1,3,1,1,1
Jimfs,com.google.common.jimfs,Configuration.Builder,22,401,10,16,4,104,10,24,0,20
Jimfs,com.google.common.jimfs,DosAttributeProvider.View,0,56,0,0,0,15,0,8,0,8
Jimfs,com.google.common.jimfs,AbstractWatchService.Key,0,145,2,14,0,33,2,17,0,11
Jimfs,com.google.common.jimfs,PathType.ParseResult,0,35,1,5,0,8,1,7,0,5
Jimfs,com.google.common.jimfs,Name.new Function() {...},0,6,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,Name.new Function() {...},0,6,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,UserDefinedAttributeProvider,21,88,2,6,4,25,4,10,2,8
Jimfs,com.google.common.jimfs,Options,42,138,8,28,7,38,7,20,1,8
Jimfs,com.google.common.jimfs,PosixAttributeProvider.Attributes,0,34,0,0,0,9,0,4,0,4
Jimfs,com.google.common.jimfs,Util,49,56,8,6,15,14,8,7,3,5
Jimfs,com.google.common.jimfs,Configuration.WindowsHolder,3,38,0,0,1,10,1,1,1,1
Jimfs,com.google.common.jimfs,UserLookupService.JimfsUserPrincipal,0,19,1,3,0,4,1,3,0,2
Jimfs,com.google.common.jimfs,RegularFile,265,846,27,61,52,200,24,63,2,41
Jimfs,com.google.common.jimfs,Handler,14,49,2,2,2,14,3,4,1,4
Jimfs,com.google.common.jimfs,Directory,4,470,1,43,1,114,1,46,0,25
Jimfs,com.google.common.jimfs,JimfsFileSystem.new Closeable() {...},0,11,0,0,0,3,0,2,0,2
Jimfs,com.google.common.jimfs,FileSystemView.new FileLookup() {...},0,24,0,0,0,2,0,2,0,2
