GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jimfs,com.google.common.jimfs,DirectoryEntry,108,49,14,4,23,14,13,9,6,7
Jimfs,com.google.common.jimfs,AbstractWatchService,119,0,8,0,29,0,16,0,12,0
Jimfs,com.google.common.jimfs,FileFactory.DirectorySupplier,0,10,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,JimfsFileSystemProvider,356,109,19,1,87,33,33,11,23,11
Jimfs,com.google.common.jimfs,BasicAttributeProvider.Attributes,65,0,0,0,19,0,10,0,10,0
Jimfs,com.google.common.jimfs,FileFactory.RegularFileSupplier,0,10,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,PathService,148,284,19,25,23,59,17,29,4,18
Jimfs,com.google.common.jimfs,PathType,103,54,7,1,25,17,12,8,8,8
Jimfs,com.google.common.jimfs,PollingWatchService.new Runnable() {...},68,0,4,0,17,0,4,0,2,0
Jimfs,com.google.common.jimfs,Configuration.Builder,174,249,20,6,46,62,22,12,9,11
Jimfs,com.google.common.jimfs,DosAttributeProvider.View,56,0,0,0,15,0,8,0,8,0
Jimfs,com.google.common.jimfs,AbstractWatchService.Key,145,0,16,0,33,0,19,0,11,0
Jimfs,com.google.common.jimfs,PathType.ParseResult,2,33,3,3,0,8,3,5,0,5
Jimfs,com.google.common.jimfs,Name.new Function() {...},0,6,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,Name.new Function() {...},0,6,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,UserDefinedAttributeProvider,106,3,8,0,28,1,13,1,9,1
Jimfs,com.google.common.jimfs,Options,100,80,17,19,22,23,15,12,4,5
Jimfs,com.google.common.jimfs,PosixAttributeProvider.Attributes,34,0,0,0,9,0,4,0,4,0
Jimfs,com.google.common.jimfs,Util,49,56,8,6,15,14,8,7,3,5
Jimfs,com.google.common.jimfs,Configuration.WindowsHolder,41,0,0,0,11,0,2,0,2,0
Jimfs,com.google.common.jimfs,UserLookupService.JimfsUserPrincipal,14,5,4,0,2,2,3,1,1,1
Jimfs,com.google.common.jimfs,RegularFile,449,662,40,48,92,160,41,46,11,32
Jimfs,com.google.common.jimfs,Handler,22,41,2,2,4,12,5,2,3,2
Jimfs,com.google.common.jimfs,Directory,227,247,27,17,50,65,25,22,7,18
Jimfs,com.google.common.jimfs,JimfsFileSystem.new Closeable() {...},11,0,0,0,3,0,2,0,2,0
Jimfs,com.google.common.jimfs,FileSystemView.new FileLookup() {...},24,0,0,0,2,0,2,0,2,0
Jimfs,com.google.common.jimfs,DosAttributeProvider.Attributes,48,0,0,0,10,0,5,0,5,0
Jimfs,com.google.common.jimfs,Configuration,144,83,22,2,35,26,16,4,4,4
Jimfs,com.google.common.jimfs,DowngradedSeekableByteChannel,48,0,0,0,14,0,9,0,9,0
Jimfs,com.google.common.jimfs,JimfsFileStore,84,151,1,1,20,41,10,19,9,19
Jimfs,com.google.common.jimfs,AttributeProvider,120,9,6,0,15,4,10,4,7,4
Jimfs,com.google.common.jimfs,OwnerAttributeProvider.View,21,0,0,0,6,0,4,0,4,0
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},2,7,0,0,1,1,1,1,1,1
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},4,7,0,0,1,1,1,1,1,1
Jimfs,com.google.common.jimfs,FileTree,8,265,6,46,1,65,6,32,0,12
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},4,7,0,0,1,1,1,1,1,1
Jimfs,com.google.common.jimfs,UserLookupService.JimfsGroupPrincipal,14,5,4,0,1,2,3,1,1,1
Jimfs,com.google.common.jimfs,AclAttributeProvider.View,38,0,0,0,11,0,6,0,6,0
Jimfs,com.google.common.jimfs,PollingWatchService.Snapshot,139,0,16,0,28,0,10,0,2,0
Jimfs,com.google.common.jimfs,AbstractWatchService.Event,96,0,10,0,21,0,12,0,7,0
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},3,7,0,0,1,1,1,1,1,1
Jimfs,com.google.common.jimfs,PathNormalization.new PathNormalization() {...},16,7,0,0,5,1,1,1,1,1
Jimfs,com.google.common.jimfs,PathURLConnection,219,0,16,0,46,0,14,0,6,0
Jimfs,com.google.common.jimfs,JimfsFileSystem,88,117,2,2,21,28,9,14,8,13
Jimfs,com.google.common.jimfs,WatchServiceConfiguration.PollingConfig,30,20,1,1,2,5,3,1,2,1
Jimfs,com.google.common.jimfs,PathMatchers.RegexPathMatcher,22,0,0,0,5,0,3,0,3,0
Jimfs,com.google.common.jimfs,PathService.new Predicate() {...},0,11,0,2,0,2,0,3,0,2
Jimfs,com.google.common.jimfs,JimfsInputStream,231,0,20,0,53,0,20,0,10,0
Jimfs,com.google.common.jimfs,JimfsOutputStream,68,87,6,4,13,25,7,6,2,6
Jimfs,com.google.common.jimfs,JimfsFileSystems,39,188,5,7,6,36,5,7,1,5
Jimfs,com.google.common.jimfs,AttributeService.new Object() {...},19,0,0,0,1,0,1,0,1,0
Jimfs,com.google.common.jimfs,StandardAttributeProviders,3,53,1,3,1,12,2,3,1,2
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream.DirectoryIterator,54,0,6,0,13,0,5,0,2,0
Jimfs,com.google.common.jimfs,WatchServiceConfiguration,0,15,0,0,0,3,0,3,0,3
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel,6,190,1,11,2,48,2,19,1,14
Jimfs,com.google.common.jimfs,PathNormalization,43,77,3,1,8,12,6,3,4,3
Jimfs,com.google.common.jimfs,SystemJimfsFileSystemProvider,175,66,8,4,36,17,25,6,19,6
Jimfs,com.google.common.jimfs,JimfsPath.new AbstractList() {...},0,15,0,0,0,3,0,3,0,3
Jimfs,com.google.common.jimfs,FileFactory.SymbolicLinkSupplier,0,17,0,0,0,4,0,2,0,2
Jimfs,com.google.common.jimfs,AttributeService,562,229,68,19,114,50,54,15,17,8
Jimfs,com.google.common.jimfs,PosixAttributeProvider.View,54,0,0,0,15,0,8,0,8,0
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},40,0,6,0,13,0,7,0,4,0
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},22,0,2,0,8,0,5,0,4,0
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},45,0,8,0,21,0,11,0,4,0
Jimfs,com.google.common.jimfs,PathMatchers,77,0,12,0,10,0,10,0,3,0
Jimfs,com.google.common.jimfs,AttributeService.SimpleFileAttribute,0,18,0,0,0,6,0,3,0,3
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},35,0,6,0,17,0,8,0,3,0
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},16,0,0,0,6,0,4,0,4,0
Jimfs,com.google.common.jimfs,Configuration.new Object() {...},40,0,0,0,1,0,1,0,1,0
Jimfs,com.google.common.jimfs,GlobToRegex.new GlobToRegex.State() {...},27,0,2,0,11,0,5,0,4,0
Jimfs,com.google.common.jimfs,AbstractAttributeView,12,0,0,0,4,0,2,0,2,0
Jimfs,com.google.common.jimfs,DosAttributeProvider,87,14,6,0,23,4,14,2,11,2
Jimfs,com.google.common.jimfs,UnixAttributeProvider,223,43,50,0,49,10,42,5,6,5
Jimfs,com.google.common.jimfs,GlobToRegex,285,0,14,0,72,0,29,0,22,0
Jimfs,com.google.common.jimfs,AttributeCopyOption,48,0,0,0,4,0,4,0,4,0
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.new Callable() {...},0,25,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Jimfs,com.google.common.jimfs,PollingWatchService,227,0,16,0,50,0,19,0,11,0
Jimfs,com.google.common.jimfs,OwnerAttributeProvider,69,26,9,1,15,9,9,5,4,5
Jimfs,com.google.common.jimfs,SystemJimfsFileSystemProvider.new Runnable() {...},0,12,0,0,0,3,0,2,0,2
Jimfs,com.google.common.jimfs,FileSystemView,794,345,95,15,167,82,73,18,19,17
Jimfs,com.google.common.jimfs,GlobToRegex.State,4,0,0,0,2,0,2,0,2,0
Jimfs,com.google.common.jimfs,Configuration.OsxHolder,37,0,0,0,8,0,2,0,2,0
Jimfs,com.google.common.jimfs,File,143,97,16,6,41,33,26,20,18,17
Jimfs,com.google.common.jimfs,Jimfs,62,63,5,3,21,15,8,5,5,4
Jimfs,com.google.common.jimfs,UnixPathType,50,64,7,7,10,16,6,8,2,5
Jimfs,com.google.common.jimfs,UserLookupService,14,18,2,0,4,5,3,3,2,3
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream.new DirectoryStream.Filter() {...},5,0,0,0,2,0,2,0,2,0
Jimfs,com.google.common.jimfs,AbstractWatchService.Key.State,38,0,0,0,4,0,4,0,4,0
Jimfs,com.google.common.jimfs,Name,17,91,8,4,2,23,6,10,0,9
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream,215,0,8,0,57,0,18,0,14,0
Jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream.new FileLookup() {...},28,0,0,0,3,0,2,0,2,0
Jimfs,com.google.common.jimfs,SymbolicLink,5,18,0,0,1,5,1,3,1,3
Jimfs,com.google.common.jimfs,JimfsPath,173,561,45,73,37,111,46,53,8,32
Jimfs,com.google.common.jimfs,BasicAttributeProvider.View,34,0,6,0,12,0,7,0,4,0
Jimfs,com.google.common.jimfs,Feature,5,53,0,0,0,5,1,3,1,3
Jimfs,com.google.common.jimfs,UserDefinedAttributeProvider.View,83,0,2,0,18,0,9,0,8,0
Jimfs,com.google.common.jimfs,WindowsPathType,340,0,48,0,68,0,33,0,9,0
Jimfs,com.google.common.jimfs,FileSystemState,47,88,7,5,9,24,6,6,0,6
Jimfs,com.google.common.jimfs,DowngradedDirectoryStream,16,0,0,0,6,0,3,0,3,0
Jimfs,com.google.common.jimfs,UnixAttributeProvider.new Object() {...},68,0,0,0,1,0,1,0,1,0
Jimfs,com.google.common.jimfs,FileFactory,5,63,0,0,1,14,1,9,1,9
Jimfs,com.google.common.jimfs,PosixAttributeProvider,214,49,34,2,39,17,26,7,6,7
Jimfs,com.google.common.jimfs,FileSystemView.DeleteMode,9,39,0,0,0,4,2,2,2,2
Jimfs,com.google.common.jimfs,JimfsAsynchronousFileChannel.CompletionHandlerCallback,5,45,0,0,3,16,0,4,0,4
Jimfs,com.google.common.jimfs,Configuration.UnixHolder,3,36,0,0,1,8,1,1,1,1
Jimfs,com.google.common.jimfs,Directory.new AbstractIterator() {...},48,0,8,0,6,0,6,0,2,0
Jimfs,com.google.common.jimfs,HeapDisk,15,185,6,10,2,37,6,12,0,10
Jimfs,com.google.common.jimfs,BasicAttributeProvider,250,32,77,0,26,6,57,5,5,5
Jimfs,com.google.common.jimfs,UserLookupService.NamedPrincipal,10,8,0,0,3,3,3,1,3,1
Jimfs,com.google.common.jimfs,JimfsFileChannel.FakeFileLock,0,35,0,0,0,8,0,4,0,4
Jimfs,com.google.common.jimfs,JimfsFileChannel,393,961,2,52,22,314,3,49,1,24
Jimfs,com.google.common.jimfs,InternalCharMatcher,24,0,2,0,6,0,4,0,3,0
Jimfs,com.google.common.jimfs,JimfsFileSystems.new Runnable() {...},1,3,0,0,1,1,1,1,1,1
Jimfs,com.google.common.jimfs,AclAttributeProvider,99,12,10,0,24,4,14,2,9,2
