GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lavagna,io.lavagna.web.support,ResourceController.AngularTemplate,27,0,0,0,6,0,3,0,3,0
lavagna,io.lavagna.web.support,ResourceController.BeforeAfter,2,0,0,0,2,0,2,0,2,0
lavagna,io.lavagna.web.support,ResourceController.JS,34,0,0,0,5,0,3,0,3,0
lavagna,io.lavagna.web.support,ResourceController,770,34,42,0,130,9,36,1,15,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath,80,62,8,2,21,8,8,4,4,3
lavagna,io.lavagna.web.helper,UserArgumentResolver,13,6,0,0,2,3,2,1,2,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.CardDataIdUrlPath,24,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,ExpectPermission.Helper,2,26,2,4,1,7,2,3,0,2
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.LabelListValuedIdPath,23,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,GeneralHandlerExceptionResolver,57,27,4,0,12,6,4,2,2,2
lavagna,io.lavagna.web.helper,GsonHttpMessageConverter,32,41,0,0,4,9,1,3,1,3
lavagna,io.lavagna.web.helper,NoOpOwnershipChecker,2,3,0,0,1,1,1,1,1,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.LabelValueIdUrlPath,23,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.CardIdUrlPath,24,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,PermissionMethodInterceptor,129,234,27,3,29,36,17,3,2,3
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.ColumnDefinitionIdUrlPath,24,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.ColumnIdUrlPath,24,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.BoardShortNameUrlPath,22,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,UserSession,239,117,30,4,54,24,25,5,8,5
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.LabelIdUrlPath,23,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.EventIdUrlPath,24,5,2,0,5,2,2,1,1,1
lavagna,io.lavagna.web.helper,CardCommentOwnershipChecker,31,10,2,0,8,4,2,1,1,1
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.ProjectShortNameUrlPath,2,5,0,0,1,2,1,1,1,1
lavagna,io.lavagna.model.util,DataOutputStreamUtils,3,58,1,11,1,18,2,11,1,6
lavagna,io.lavagna.model.util,CalendarTokenNotFoundException,0,3,0,0,0,1,0,1,0,1
lavagna,io.lavagna.model.util,ShortNameGenerator,8,151,0,18,2,24,1,12,1,3
lavagna,io.lavagna.web.api,BoardColumnController,251,21,4,0,41,8,10,2,8,2
lavagna,io.lavagna.web.api,UsersAdministrationController,53,72,4,2,8,18,4,5,2,4
lavagna,io.lavagna.web.api,ApplicationConfigurationController,5,100,0,4,2,17,1,8,1,6
lavagna,io.lavagna.web.api,ProjectController,544,27,22,0,118,10,34,1,23,1
lavagna,io.lavagna.web.api,LoginInfoController,135,9,8,0,23,4,7,1,3,1
lavagna,io.lavagna.web.api,CardLabelController,389,12,8,0,75,5,20,1,16,1
lavagna,io.lavagna.web.api,UserController,224,18,6,0,40,7,16,1,13,1
lavagna,io.lavagna.web.api,EndpointInfoController,0,85,0,6,0,19,0,6,0,3
lavagna,io.lavagna.web.api,ProjectController.UpdateColumnDefinition,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,CardController,582,55,38,0,99,12,35,2,16,2
lavagna,io.lavagna.web.api,CardController.NewCardFile,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,BulkOperationLabelController,316,12,0,0,46,5,11,1,11,1
lavagna,io.lavagna.web.api,CardController.CardData,67,0,0,0,25,0,15,0,15,0
lavagna,io.lavagna.web.api,CardLabelController.Value,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,LoginInfoController.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
lavagna,io.lavagna.web.api,MilestoneController,315,18,14,0,53,7,12,1,5,1
lavagna,io.lavagna.web.api,UserController.PasswordChange,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,PermissionController.ToggleSearchPermission,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,ExportImportController,79,9,0,0,15,4,4,1,4,1
lavagna,io.lavagna.web.api,SetupController,75,12,0,0,11,5,3,1,3,1
lavagna,io.lavagna.web.api,ProjectPermissionController,212,12,12,0,36,5,14,1,8,1
lavagna,io.lavagna.web.api,CardDataController.Content,7,3,0,0,3,1,2,1,2,1
lavagna,io.lavagna.web.api,LoginInfoController.OAuthProviderInfo,27,0,0,0,9,0,5,0,5,0
lavagna,io.lavagna.web.api,CardLabelController.SwapListValue,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,CalendarController,0,64,0,0,0,16,0,7,0,7
lavagna,io.lavagna.web.api,UsersAdministrationController.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
lavagna,io.lavagna.web.api,Utils,26,0,2,0,6,0,3,0,2,0
lavagna,io.lavagna.web.api,SetupController.ConfWithUser,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,EndpointInfoController.EndpointsInfo,9,33,0,2,3,8,3,2,3,1
lavagna,io.lavagna.web.api,BoardController,41,123,4,0,7,27,4,5,2,5
lavagna,io.lavagna.web.api,UsersAdministrationController.Edit,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,UsersAdministrationController.Update,3,7,0,0,1,3,1,2,1,2
lavagna,io.lavagna.web.api,ConfigurationController,5,6,0,0,1,3,1,1,1,1
lavagna,io.lavagna.web.api,BoardColumnController.BoardColumnToCreate,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,CardController.CardIds,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,CardDataController.OrderData,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,CardDataController,978,192,42,0,167,27,45,7,24,7
lavagna,io.lavagna.web.api,ProjectController.ProjectColumn,33,0,0,0,14,0,7,0,7,0
lavagna,io.lavagna.web.api,UsersAdministrationController.PasswordReset,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,SearchController,115,122,23,7,18,28,17,11,3,10
lavagna,io.lavagna.web.api,EndpointInfoController.EndpointInfo,63,89,14,6,9,12,15,3,6,2
lavagna,io.lavagna.web.api,CalendarController.DisableCalendarRequest,0,6,0,0,0,3,0,1,0,1
lavagna,io.lavagna.web.api,ApiHooksController,62,6,0,0,13,3,7,1,7,1
lavagna,io.lavagna.web.api,CardController.ColumnOrders,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,SearchController.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
lavagna,io.lavagna.web.api,PermissionController,27,161,2,6,7,31,3,12,2,9
lavagna,io.lavagna.query,DB,3,0,0,0,1,0,1,0,1,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver.SimpleMessageCountListener,16,0,2,0,6,0,3,0,2,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver.DefaultSearchTermStrategy,180,0,22,0,39,0,13,0,2,0
lavagna,io.lavagna.service.mailreceiver,AbstractMailReceiver,828,0,88,0,189,0,79,0,35,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver,334,0,32,0,74,0,28,0,12,0
lavagna,io.lavagna.service.mailreceiver,Pop3MailReceiver,73,0,6,0,20,0,9,0,6,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver.IdleCanceler,23,0,2,0,10,0,3,0,2,0
lavagna,io.lavagna.service.mailreceiver,AbstractMailReceiver.IntegrationMimeMessage,76,0,4,0,20,0,7,0,5,0
lavagna,io.lavagna.web.security,Redirector,37,0,4,0,6,0,4,0,2,0
lavagna,io.lavagna.web.security,AnonymousUserFilter,96,0,12,0,18,0,10,0,4,0
lavagna,io.lavagna.web.security,AbstractBaseFilter,31,0,2,0,11,0,5,0,4,0
lavagna,io.lavagna.web.security,SecurityConfiguration.LogoutConfigurer,20,0,0,0,5,0,2,0,2,0
lavagna,io.lavagna.web.security,LoginHandler.AbstractLoginHandler,44,0,0,0,12,0,3,0,3,0
lavagna,io.lavagna.web.security,SecurityConfiguration,155,0,6,0,31,0,14,0,11,0
lavagna,io.lavagna.web.security,SecurityConfiguration.new SecurityConfiguration.LoginHandlerFinder() {...},8,0,0,0,2,0,2,0,2,0
lavagna,io.lavagna.web.security,SecurityConfiguration.LogoutUrlMatcher,48,0,2,0,12,0,4,0,3,0
lavagna,io.lavagna.web.security,RememberMeFilter,47,0,2,0,12,0,5,0,4,0
lavagna,io.lavagna.web.security,CSFRFilter,186,0,32,0,39,0,22,0,6,0
