GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.UriRouter,4,73,0,4,2,21,1,8,1,6
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.NotImplementedHandler,9,0,0,0,4,0,4,0,4,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.DefaultHandler,0,16,0,0,0,3,0,3,0,3
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.DefaultStreamHandler,6,29,0,0,1,5,1,5,1,5
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.InsertionOrderRoutePrioritizer,7,0,0,0,2,0,2,0,2,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD,35,73,2,4,11,19,6,8,4,7
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.new Object() {...},4,29,0,0,0,1,0,1,0,1
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.GeneralHandler,41,48,3,1,9,12,2,5,0,5
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.DefaultRoutePrioritizer,0,7,0,0,0,2,0,2,0,2
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.IndexHandler,9,0,0,0,4,0,4,0,4,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.ProvidedPriorityRoutePrioritizer,43,0,4,0,10,0,5,0,3,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.Error404UriHandler,0,9,0,0,0,4,0,4,0,4
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.BaseRoutePrioritizer,0,80,2,6,0,21,2,7,0,5
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.UriResource,38,293,6,23,9,67,7,22,2,11
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.StaticPageHandler,156,13,18,0,26,3,13,3,4,3
