GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.UriRouter,4,73,1,3,2,21,2,7,1,6
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.NotImplementedHandler,9,0,0,0,4,0,4,0,4,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.DefaultHandler,13,3,0,0,2,1,2,1,2,1
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.DefaultStreamHandler,14,21,0,0,2,4,2,4,2,4
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.InsertionOrderRoutePrioritizer,7,0,0,0,2,0,2,0,2,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD,35,73,3,3,11,19,7,7,4,7
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.new Object() {...},4,29,0,0,0,1,0,1,0,1
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.GeneralHandler,46,43,3,1,10,11,3,4,1,4
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.DefaultRoutePrioritizer,0,7,0,0,0,2,0,2,0,2
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.IndexHandler,9,0,0,0,4,0,4,0,4,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.ProvidedPriorityRoutePrioritizer,43,0,4,0,10,0,5,0,3,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.Error404UriHandler,9,0,0,0,4,0,4,0,4,0
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.BaseRoutePrioritizer,0,80,2,6,0,21,2,7,0,5
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.UriResource,94,237,8,21,18,58,10,19,4,9
NanoHttpd-nano application server,org.nanohttpd.router,RouterNanoHTTPD.StaticPageHandler,169,0,18,0,29,0,16,0,7,0
