GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocketException,39,0,0,0,10,0,5,0,5,0
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,CloseCode,180,0,4,0,21,0,8,0,6,0
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocket,351,56,45,1,87,14,37,2,14,2
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocketFrame,918,0,96,0,179,0,78,0,30,0
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,CloseFrame,111,0,10,0,19,0,11,0,6,0
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,NanoWSD,33,261,5,20,9,46,7,14,2,6
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,State,9,59,0,0,0,6,2,2,2,2
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,OpCode,128,0,10,0,16,0,12,0,7,0
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocket.new Response() {...},25,10,0,0,7,1,1,1,1,1
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,NanoWSD.Interceptor,0,11,0,0,0,3,0,2,0,2
NanoHttpd-Websocket,org.nanohttpd.samples.websockets,DebugWebSocketServer,18,0,0,0,5,0,3,0,3,0
NanoHttpd-Websocket,org.nanohttpd.samples.websockets,DebugWebSocketServer.DebugWebSocket,124,0,16,0,25,0,16,0,8,0
NanoHttpd-Websocket,org.nanohttpd.samples.websockets,EchoSocketSample,48,0,6,0,11,0,5,0,2,0
