GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD.ResponseException,8,10,0,0,3,4,1,2,1,2
NanoHttpd-Core,org.nanohttpd.protocols.http,HTTPSession,971,532,115,47,205,122,78,25,9,13
NanoHttpd-Core,org.nanohttpd.protocols.http,ClientHandler,113,0,8,0,23,0,7,0,3,0
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD,475,106,51,5,123,33,53,10,26,9
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD.new IHandler() {...},0,11,0,0,0,2,0,2,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http,ServerRunnable,88,0,6,0,23,0,7,0,4,0
NanoHttpd-Core,org.nanohttpd.protocols.http.request,Method,2,206,1,1,1,23,1,5,0,5
NanoHttpd-Core,org.nanohttpd.protocols.http.sockets,DefaultServerSocketFactory,4,3,0,0,1,1,1,1,1,1
NanoHttpd-Core,org.nanohttpd.protocols.http.sockets,SecureServerSocketFactory,39,0,2,0,13,0,3,0,2,0
NanoHttpd-Core,org.nanohttpd.protocols.http.threading,DefaultAsyncRunner,66,9,2,0,15,2,6,1,5,1
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFileManagerFactory,4,3,0,0,1,1,1,1,1,1
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFileManager,31,30,2,2,9,8,3,2,1,2
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFile,45,0,2,0,10,0,5,0,4,0
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response,194,448,36,42,46,109,41,29,10,21
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response.new HashMap() {...},18,6,2,0,2,1,2,1,1,1
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response.GzipUsage,9,39,0,0,0,4,2,2,2,2
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Status,36,414,4,0,5,38,6,3,4,3
NanoHttpd-Core,org.nanohttpd.protocols.http.response,ChunkedOutputStream,15,44,1,1,4,11,2,4,1,4
NanoHttpd-Core,org.nanohttpd.protocols.http.content,ContentType,46,68,5,5,9,15,8,6,4,5
NanoHttpd-Core,org.nanohttpd.protocols.http.content,CookieHandler,6,105,2,6,2,21,3,8,1,6
NanoHttpd-Core,org.nanohttpd.protocols.http.content,Cookie,19,55,0,0,7,12,2,3,2,3
NanoHttpd-Core,org.nanohttpd.util,ServerRunner,52,0,0,0,19,0,4,0,4,0
