GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD.ResponseException,8,10,0,0,3,4,1,2,1,2
NanoHttpd-Core,org.nanohttpd.protocols.http,HTTPSession,743,760,94,68,157,170,64,39,6,16
NanoHttpd-Core,org.nanohttpd.protocols.http,ClientHandler,38,75,5,3,1,22,4,3,0,3
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD,161,420,21,35,40,116,25,38,7,28
NanoHttpd-Core,org.nanohttpd.protocols.http,NanoHTTPD.new IHandler() {...},0,11,0,0,0,2,0,2,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http,ServerRunnable,15,73,2,4,3,20,2,5,0,4
NanoHttpd-Core,org.nanohttpd.protocols.http.request,Method,2,206,1,1,1,23,1,5,0,5
NanoHttpd-Core,org.nanohttpd.protocols.http.sockets,DefaultServerSocketFactory,4,3,0,0,1,1,1,1,1,1
NanoHttpd-Core,org.nanohttpd.protocols.http.sockets,SecureServerSocketFactory,5,34,1,1,1,12,1,2,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http.threading,DefaultAsyncRunner,3,72,0,2,1,16,1,6,1,5
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFileManagerFactory,0,7,0,0,0,2,0,2,0,2
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFileManager,31,30,2,2,9,8,3,2,1,2
NanoHttpd-Core,org.nanohttpd.protocols.http.tempfiles,DefaultTempFile,45,0,2,0,10,0,5,0,4,0
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response,176,466,30,48,44,111,34,36,9,22
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response.new HashMap() {...},18,6,2,0,2,1,2,1,1,1
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Response.GzipUsage,9,39,0,0,0,4,2,2,2,2
NanoHttpd-Core,org.nanohttpd.protocols.http.response,Status,7,443,1,3,1,42,2,7,1,6
NanoHttpd-Core,org.nanohttpd.protocols.http.response,ChunkedOutputStream,15,44,1,1,4,11,2,4,1,4
NanoHttpd-Core,org.nanohttpd.protocols.http.content,ContentType,46,68,5,5,9,15,8,6,4,5
NanoHttpd-Core,org.nanohttpd.protocols.http.content,CookieHandler,6,105,1,7,2,21,2,9,1,6
NanoHttpd-Core,org.nanohttpd.protocols.http.content,Cookie,19,55,0,0,7,12,2,3,2,3
NanoHttpd-Core,org.nanohttpd.util,ServerRunner,52,0,0,0,19,0,4,0,4,0
