GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Objenesis,org.objenesis.instantiator.gcj,GCJSerializationInstantiator,33,0,0,0,6,0,2,0,2,0
Objenesis,org.objenesis.instantiator.gcj,GCJInstantiator,28,0,0,0,5,0,2,0,2,0
Objenesis,org.objenesis.instantiator.gcj,GCJInstantiatorBase,41,0,2,0,14,0,4,0,3,0
Objenesis,org.objenesis.instantiator.gcj,GCJInstantiatorBase.DummyStream,3,0,0,0,2,0,1,0,1,0
Objenesis,org.objenesis.instantiator.annotations,Typology,70,0,0,0,10,0,4,0,4,0
Objenesis,org.objenesis.instantiator.android,AndroidSerializationInstantiator,88,0,0,0,19,0,3,0,3,0
Objenesis,org.objenesis.instantiator.android,Android10Instantiator,59,0,0,0,13,0,3,0,3,0
Objenesis,org.objenesis.instantiator.android,Android17Instantiator,93,0,0,0,20,0,4,0,4,0
Objenesis,org.objenesis.instantiator.android,Android18Instantiator,93,0,0,0,20,0,4,0,4,0
Objenesis,org.objenesis.instantiator.sun,UnsafeFactoryInstantiator,24,0,0,0,7,0,2,0,2,0
Objenesis,org.objenesis.instantiator.sun,MagicInstantiator,420,0,10,0,103,0,12,0,7,0
Objenesis,org.objenesis.instantiator.sun,SunReflectionFactorySerializationInstantiator,47,0,0,0,15,0,2,0,2,0
Objenesis,org.objenesis.instantiator.sun,SunReflectionFactoryInstantiator,35,0,0,0,12,0,3,0,3,0
Objenesis,org.objenesis.instantiator.sun,SunReflectionFactoryHelper,79,0,0,0,21,0,5,0,5,0
Objenesis,org.objenesis.strategy,SingleInstantiatorStrategy,37,0,0,0,9,0,2,0,2,0
Objenesis,org.objenesis.strategy,BaseInstantiatorStrategy,0,3,0,0,0,1,0,1,0,1
Objenesis,org.objenesis.strategy,SerializingInstantiatorStrategy,62,22,17,1,13,3,9,2,0,2
Objenesis,org.objenesis.strategy,PlatformDescription,214,0,18,0,61,0,22,0,13,0
Objenesis,org.objenesis.strategy,StdInstantiatorStrategy,86,0,22,0,20,0,13,0,2,0
Objenesis,org.objenesis,ObjenesisException,9,4,0,0,4,2,2,1,2,1
Objenesis,org.objenesis,ObjenesisSerializer,7,6,0,0,2,2,1,1,1,1
Objenesis,org.objenesis,ObjenesisStd,13,0,0,0,4,0,2,0,2,0
Objenesis,org.objenesis,ObjenesisHelper,29,0,0,0,8,0,6,0,6,0
Objenesis,org.objenesis,ObjenesisBase,65,36,9,5,11,11,9,3,2,3
Objenesis,org.objenesis.instantiator.basic,NullInstantiator,5,0,0,0,3,0,2,0,2,0
Objenesis,org.objenesis.instantiator.basic,ObjectInputStreamInstantiator,68,0,2,0,13,0,3,0,2,0
Objenesis,org.objenesis.instantiator.basic,ProxyingInstantiator,257,0,12,0,64,0,11,0,5,0
Objenesis,org.objenesis.instantiator.basic,FailingInstantiator,8,0,0,0,3,0,2,0,2,0
Objenesis,org.objenesis.instantiator.basic,ObjectInputStreamInstantiator.MockStream,250,0,6,0,59,0,10,0,7,0
Objenesis,org.objenesis.instantiator.basic,NewInstanceInstantiator,10,0,0,0,4,0,2,0,2,0
Objenesis,org.objenesis.instantiator.basic,AccessibleInstantiator,11,0,2,0,4,0,2,0,1,0
Objenesis,org.objenesis.instantiator.basic,ObjectStreamClassInstantiator,40,0,2,0,14,0,4,0,3,0
Objenesis,org.objenesis.instantiator.basic,ConstructorInstantiator,26,0,0,0,9,0,2,0,2,0
Objenesis,org.objenesis.instantiator.perc,PercSerializationInstantiator,119,0,2,0,22,0,3,0,2,0
Objenesis,org.objenesis.instantiator.perc,PercInstantiator,55,0,0,0,13,0,2,0,2,0
Objenesis,org.objenesis.instantiator.util,DefineClassHelper.Java8,81,0,4,0,15,0,5,0,3,0
Objenesis,org.objenesis.instantiator.util,ClassUtils,35,0,0,0,9,0,5,0,5,0
Objenesis,org.objenesis.instantiator.util,ClassDefinitionUtils,161,0,18,0,22,0,14,0,5,0
Objenesis,org.objenesis.instantiator.util,UnsafeUtils,32,0,0,0,10,0,3,0,3,0
Objenesis,org.objenesis.instantiator.util,DefineClassHelper,26,0,2,0,4,0,4,0,3,0
Objenesis,org.objenesis.instantiator.util,DefineClassHelper.Java11,167,0,0,0,29,0,7,0,7,0
Objenesis,org.objenesis.instantiator.util,DefineClassHelper.Helper,3,0,0,0,1,0,1,0,1,0
Objenesis,org.objenesis.instantiator,SerializationInstantiatorHelper,22,0,4,0,7,0,4,0,2,0
