GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Objenesis,org.objenesis.instantiator.gcj,GCJSerializationInstantiator,33,0,0,0,6,0,2,0,2,0
Objenesis,org.objenesis.instantiator.gcj,GCJInstantiator,28,0,0,0,5,0,2,0,2,0
Objenesis,org.objenesis.instantiator.gcj,GCJInstantiatorBase,41,0,2,0,14,0,4,0,3,0
Objenesis,org.objenesis.instantiator.gcj,GCJInstantiatorBase.DummyStream,3,0,0,0,2,0,1,0,1,0
Objenesis,org.objenesis.instantiator.annotations,Typology,70,0,0,0,10,0,4,0,4,0
Objenesis,org.objenesis.instantiator.android,AndroidSerializationInstantiator,88,0,0,0,19,0,3,0,3,0
Objenesis,org.objenesis.instantiator.android,Android10Instantiator,59,0,0,0,13,0,3,0,3,0
Objenesis,org.objenesis.instantiator.android,Android17Instantiator,93,0,0,0,20,0,4,0,4,0
Objenesis,org.objenesis.instantiator.android,Android18Instantiator,93,0,0,0,20,0,4,0,4,0
Objenesis,org.objenesis.instantiator.sun,UnsafeFactoryInstantiator,24,0,0,0,7,0,2,0,2,0
Objenesis,org.objenesis.instantiator.sun,MagicInstantiator,39,381,7,3,5,98,5,7,1,6
Objenesis,org.objenesis.instantiator.sun,SunReflectionFactorySerializationInstantiator,22,25,0,0,4,11,0,2,0,2
Objenesis,org.objenesis.instantiator.sun,SunReflectionFactoryInstantiator,12,23,0,0,4,8,0,3,0,3
Objenesis,org.objenesis.instantiator.sun,SunReflectionFactoryHelper,27,52,0,0,9,12,1,4,1,4
Objenesis,org.objenesis.strategy,SingleInstantiatorStrategy,37,0,0,0,9,0,2,0,2,0
Objenesis,org.objenesis.strategy,BaseInstantiatorStrategy,0,3,0,0,0,1,0,1,0,1
Objenesis,org.objenesis.strategy,SerializingInstantiatorStrategy,51,33,14,4,10,6,8,3,0,2
Objenesis,org.objenesis.strategy,PlatformDescription,157,57,13,5,40,21,14,8,5,8
Objenesis,org.objenesis.strategy,StdInstantiatorStrategy,73,13,20,2,16,4,11,2,0,2
Objenesis,org.objenesis,ObjenesisException,0,13,0,0,0,6,0,3,0,3
Objenesis,org.objenesis,ObjenesisSerializer,7,6,0,0,2,2,1,1,1,1
Objenesis,org.objenesis,ObjenesisStd,0,13,0,0,0,4,0,2,0,2
Objenesis,org.objenesis,ObjenesisHelper,15,14,0,0,5,3,4,2,4,2
Objenesis,org.objenesis,ObjenesisBase,5,96,2,12,1,21,2,10,0,5
Objenesis,org.objenesis.instantiator.basic,NullInstantiator,5,0,0,0,3,0,2,0,2,0
Objenesis,org.objenesis.instantiator.basic,ObjectInputStreamInstantiator,68,0,2,0,13,0,3,0,2,0
Objenesis,org.objenesis.instantiator.basic,ProxyingInstantiator,257,0,12,0,64,0,11,0,5,0
Objenesis,org.objenesis.instantiator.basic,FailingInstantiator,8,0,0,0,3,0,2,0,2,0
Objenesis,org.objenesis.instantiator.basic,ObjectInputStreamInstantiator.MockStream,250,0,6,0,59,0,10,0,7,0
Objenesis,org.objenesis.instantiator.basic,NewInstanceInstantiator,10,0,0,0,4,0,2,0,2,0
Objenesis,org.objenesis.instantiator.basic,AccessibleInstantiator,11,0,2,0,4,0,2,0,1,0
Objenesis,org.objenesis.instantiator.basic,ObjectStreamClassInstantiator,40,0,2,0,14,0,4,0,3,0
Objenesis,org.objenesis.instantiator.basic,ConstructorInstantiator,26,0,0,0,9,0,2,0,2,0
Objenesis,org.objenesis.instantiator.perc,PercSerializationInstantiator,119,0,2,0,22,0,3,0,2,0
Objenesis,org.objenesis.instantiator.perc,PercInstantiator,55,0,0,0,13,0,2,0,2,0
Objenesis,org.objenesis.instantiator.util,DefineClassHelper.Java8,24,57,4,0,7,8,2,3,0,3
Objenesis,org.objenesis.instantiator.util,ClassUtils,19,16,0,0,4,5,2,3,2,3
Objenesis,org.objenesis.instantiator.util,ClassDefinitionUtils,109,52,18,0,15,7,12,2,3,2
Objenesis,org.objenesis.instantiator.util,UnsafeUtils,15,17,0,0,3,7,1,2,1,2
Objenesis,org.objenesis.instantiator.util,DefineClassHelper,8,18,1,1,1,3,2,2,1,2
Objenesis,org.objenesis.instantiator.util,DefineClassHelper.Java11,167,0,0,0,29,0,7,0,7,0
Objenesis,org.objenesis.instantiator.util,DefineClassHelper.Helper,0,3,0,0,0,1,0,1,0,1
Objenesis,org.objenesis.instantiator,SerializationInstantiatorHelper,8,14,1,3,2,5,2,2,1,1
