GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: api,io.protostuff,FilterInput,108,0,0,0,29,0,24,0,24,0
protostuff :: api,io.protostuff,ProtostuffException,16,0,0,0,8,0,4,0,4,0
protostuff :: api,io.protostuff,WireFormat.FieldType,260,0,0,0,27,0,7,0,7,0
protostuff :: api,io.protostuff,ListAdapter,0,21,0,0,0,6,0,3,0,3
protostuff :: api,io.protostuff,CustomSchema,49,0,0,0,14,0,10,0,10,0
protostuff :: api,io.protostuff,UninitializedMessageException,38,0,0,0,14,0,6,0,6,0
protostuff :: api,io.protostuff,NumberParser,260,0,36,0,50,0,23,0,5,0
protostuff :: api,io.protostuff,StringSerializer.STRING,342,0,32,0,70,0,23,0,7,0
protostuff :: api,io.protostuff,IntSerializer,376,0,0,0,53,0,10,0,10,0
protostuff :: api,io.protostuff,StringSerializer,3383,0,188,0,491,0,117,0,23,0
protostuff :: api,io.protostuff,StreamedStringSerializer,1324,0,120,0,221,0,74,0,14,0
protostuff :: api,io.protostuff,Pipe.Schema,104,0,8,0,30,0,14,0,10,0
protostuff :: api,io.protostuff,Pipe,17,0,0,0,6,0,3,0,3,0
protostuff :: api,io.protostuff,B64Code,2124,0,158,0,314,0,106,0,21,0
protostuff :: api,io.protostuff,FilterOutput,158,0,0,0,44,0,21,0,21,0
protostuff :: api,io.protostuff,ByteString,303,39,34,0,71,9,41,4,24,4
protostuff :: api,io.protostuff,WriteSession,194,0,16,0,49,0,20,0,12,0
protostuff :: api,io.protostuff,WriteSink.new WriteSink() {...},538,0,30,0,92,0,36,0,21,0
protostuff :: api,io.protostuff,WriteSink.new WriteSink() {...},537,0,26,0,82,0,34,0,21,0
protostuff :: api,io.protostuff,WireFormat,34,0,0,0,13,0,5,0,5,0
protostuff :: api,io.protostuff,LinkedBuffer,212,0,20,0,52,0,27,0,17,0
protostuff :: api,io.protostuff,WireFormat.FieldType.new WireFormat.FieldType() {...},10,0,0,0,2,0,2,0,2,0
protostuff :: api,io.protostuff,WireFormat.JavaType,140,0,0,0,15,0,5,0,5,0
protostuff :: api,io.protostuff,WireFormat.FieldType.new WireFormat.FieldType() {...},10,0,0,0,2,0,2,0,2,0
protostuff :: api,io.protostuff,WriteSink,96,0,0,0,10,0,10,0,10,0
protostuff :: api,io.protostuff,WireFormat.FieldType.new WireFormat.FieldType() {...},10,0,0,0,2,0,2,0,2,0
protostuff :: api,io.protostuff,UnsignedNumberUtil,430,0,56,0,81,0,46,0,18,0
protostuff :: api,io.protostuff,WireFormat.FieldType.new WireFormat.FieldType() {...},10,0,0,0,2,0,2,0,2,0
