GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: compiler,io.protostuff.compiler,CompilerUtil,125,0,18,0,26,0,14,0,5,0
protostuff :: compiler,io.protostuff.compiler,ProtoToGwtOverlayCompiler,125,0,6,0,27,0,5,0,2,0
protostuff :: compiler,io.protostuff.compiler,PluginProtoCompiler,607,0,54,0,138,0,45,0,18,0
protostuff :: compiler,io.protostuff.compiler,ProtoToJavaBeanModelCompiler,414,0,48,0,99,0,29,0,5,0
protostuff :: compiler,io.protostuff.compiler,PluginProtoCompiler.new PluginProtoCompiler.GroupResolver() {...},78,0,6,0,15,0,5,0,2,0
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},11,6,2,0,3,1,2,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},13,6,2,0,3,1,2,1,1,1
protostuff :: compiler,io.protostuff.compiler,ProtoToJavaBeanPrimitiveCompiler,87,0,10,0,18,0,8,0,3,0
protostuff :: compiler,io.protostuff.compiler,ProtoToProtoCompiler,505,0,38,0,99,0,28,0,9,0
protostuff :: compiler,io.protostuff.compiler,ProtoToJavaBeanCompiler,143,0,6,0,33,0,8,0,5,0
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},4,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},3,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,CompilerMain,1344,0,157,0,302,0,109,0,30,0
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},3,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},3,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},0,10,0,0,0,2,0,2,0,2
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN,167,399,24,0,27,87,18,5,6,5
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},6,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},5,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,STCodeGenerator.new StringTemplateErrorListener() {...},27,0,0,0,6,0,3,0,3,0
protostuff :: compiler,io.protostuff.compiler,STCodeGenerator.new AttributeRenderer() {...},28,0,4,0,8,0,5,0,3,0
protostuff :: compiler,io.protostuff.compiler,STCodeGenerator,389,0,50,0,95,0,41,0,16,0
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},4,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},3,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},3,6,0,0,1,1,1,1,1,1
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},0,10,0,0,0,2,0,2,0,2
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},0,12,0,0,0,2,0,2,0,2
protostuff :: compiler,io.protostuff.compiler,CachingProtoLoader,64,0,4,0,16,0,7,0,5,0
protostuff :: compiler,io.protostuff.compiler,Formatter.BUILTIN.new Formatter.BUILTIN() {...},94,6,22,0,15,1,12,1,1,1
protostuff :: compiler,io.protostuff.compiler,ProtoToJavaBeanMeCompiler,119,0,4,0,26,0,4,0,2,0
protostuff :: compiler,io.protostuff.compiler,ProtoModule,121,0,2,0,39,0,23,0,22,0
protostuff :: compiler,io.protostuff.compiler,FilenameUtil,27,0,2,0,7,0,3,0,2,0
protostuff :: compiler,io.protostuff.compiler,ProtoToJavaV2ProtocSchemaCompiler,74,0,2,0,18,0,4,0,3,0
