GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: core,io.protostuff,ProtobufOutput,1285,516,80,48,302,92,75,33,34,10
protostuff :: core,io.protostuff,LinkBuffer,410,0,28,0,101,0,37,0,23,0
protostuff :: core,io.protostuff,ByteArrayInput,924,0,95,0,236,0,91,0,41,0
protostuff :: core,io.protostuff,ProtobufIOUtil,539,0,48,0,132,0,46,0,22,0
protostuff :: core,io.protostuff,CodedInput,1597,0,183,0,399,0,154,0,60,0
protostuff :: core,io.protostuff,ProtostuffOutput,392,0,4,0,168,0,26,0,24,0
protostuff :: core,io.protostuff,LimitedInputStream,88,0,10,0,25,0,12,0,7,0
protostuff :: core,io.protostuff,GraphCodedInput,204,0,24,0,48,0,29,0,17,0
protostuff :: core,io.protostuff,IOUtil,717,0,77,0,161,0,50,0,10,0
protostuff :: core,io.protostuff,ProtobufException,60,0,0,0,22,0,12,0,12,0
protostuff :: core,io.protostuff,GraphProtostuffOutput,71,0,2,0,20,0,4,0,3,0
protostuff :: core,io.protostuff,ProtostuffIOUtil.new Pipe() {...},23,0,6,0,6,0,6,0,3,0
protostuff :: core,io.protostuff,GraphIOUtil,652,0,50,0,173,0,41,0,16,0
protostuff :: core,io.protostuff,LowCopyProtobufOutput,327,0,6,0,75,0,25,0,22,0
protostuff :: core,io.protostuff,ProtostuffIOUtil,482,0,36,0,116,0,40,0,22,0
protostuff :: core,io.protostuff,ProtobufIOUtil.new Pipe() {...},23,0,6,0,6,0,6,0,3,0
protostuff :: core,io.protostuff,ProtobufIOUtil.new Pipe() {...},23,0,6,0,6,0,6,0,3,0
protostuff :: core,io.protostuff,ByteBufferInput,877,0,103,0,228,0,93,0,39,0
protostuff :: core,io.protostuff,ProtostuffIOUtil.new Pipe() {...},23,0,6,0,6,0,6,0,3,0
protostuff :: core,io.protostuff,GraphProtostuffOutput.IdentityMap,272,0,32,0,69,0,24,0,8,0
protostuff :: core,io.protostuff,GraphByteArrayInput,204,0,24,0,48,0,29,0,17,0
protostuff :: core,io.protostuff,LowCopyProtostuffOutput,295,0,4,0,69,0,24,0,22,0
