GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
protostuff :: it,io.protostuff.compiler.it.java_bean_model,JavaBeanModelSimpleMessageSchema,135,0,18,0,38,0,27,0,16,0
protostuff :: it,io.protostuff.compiler.it.java_bean_model,JavaBeanModelSimpleMessage,120,0,16,0,28,0,21,0,13,0
protostuff :: it,core.imports,B,143,0,17,0,41,0,31,0,22,0
protostuff :: it,core.imports,A,146,0,17,0,41,0,31,0,22,0
protostuff :: it,io.protostuff.compiler.it.java_bean_primitives,PrimitiveFields,184,0,20,0,48,0,34,0,23,0
protostuff :: it,io.protostuff.compiler.it.java_bean,EmptyMessage,99,0,14,0,31,0,27,0,20,0
protostuff :: it,io.protostuff.compiler.it.java_bean,NoPackage,143,0,17,0,41,0,31,0,22,0
protostuff :: it,io.protostuff.compiler.it.java_bean,MessageWithoutDefaultValues,225,0,29,0,59,0,42,0,26,0
protostuff :: it,io.protostuff.compiler.it.java_bean,MessageWithEmptyMessage,146,0,17,0,41,0,31,0,22,0
protostuff :: it,io.protostuff.compiler.it.java_bean,MessageWithDefaultValues,256,0,35,0,65,0,45,0,26,0
protostuff :: it,io.protostuff.compiler.it.java_bean,UnmodifiableInt32List,193,0,27,0,49,0,36,0,22,0
protostuff :: it,io.protostuff.compiler.it.java_bean,TestEnum,79,0,4,0,14,0,9,0,6,0
protostuff :: it,io.protostuff.compiler.it.java_bean,Int32List,166,0,23,0,44,0,34,0,22,0
protostuff :: it,io.protostuff.compiler.it.custom,JavaBeanWithProtoDescriptor,229,0,29,0,60,0,43,0,27,0
protostuff :: it,io.protostuff.compiler.it.custom,PluralToSingularTestMessage,398,0,65,0,87,0,69,0,35,0
protostuff :: it,io.protostuff.compiler.it.custom,E,66,0,3,0,12,0,8,0,6,0
